Genome ID,amikacin,ampicillin,ampicillin_sulbactam,aztreonam,carbapenem,cefazolin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftriaxone,ciprofloxacin,doripenem,gentamicin,imipenem,levofloxacin,meropenem,nitrofurantoin,tetracycline,ticarcillin_clavulanic acid,tigecycline,tobramycin,trimethoprim_sulfamethoxazole
470_1556,S,R,R,R,,R,,R,,R,R,R,,R,S,S,S,R,R,,S,R,R
470_1328,R,,,,,,R,,,R,,R,,R,R,R,R,,,,S,,
470_736,R,,R,,,,S,,,R,,R,,R,R,,R,,,R,,R,R
470_7684,S,R,R,R,,R,,R,R,R,R,S,S,S,S,S,,R,S,,,S,R
470_7835,R,R,R,R,,R,,R,R,R,R,R,,R,R,R,,R,R,,,R,R
470_7987,R,R,S,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,R,R
470_8022,S,R,R,R,,R,,S,R,S,S,R,,S,S,S,,R,S,,,S,R
470_7988,R,R,S,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,R,R
470_7414,R,R,R,R,,R,,R,,R,R,R,,R,S,R,,R,R,,S,R,R
470_7746,S,R,S,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,R,R
1398973_3,R,,R,,,,R,,,R,,R,,R,R,,R,,,R,,R,R
470_7932,S,R,R,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,S,R
470_664,R,,R,,,,S,R,,S,,R,,R,,R,R,,R,R,,R,R
470_739,R,,R,,,,R,,,R,,R,,R,R,,R,,,R,,R,R
470_8116,S,,,,,,R,,,R,,R,,R,,,S,,,,,R,
470_8004,S,R,R,R,,R,,R,R,R,R,R,,R,S,S,,R,R,,,R,S
470_700,R,,R,R,,,R,R,,R,,R,,R,R,R,R,,R,R,,R,R
470_8033,S,R,R,R,,R,,R,,R,R,R,,R,S,R,,R,R,,R,S,R
470_7977,S,R,R,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,S,R
1310713_3,,,,,R,,,,,,,,,,R,,,,,,,,
470_1551,R,R,S,R,,R,,R,,S,R,R,,R,S,R,S,R,R,,S,R,R
1409926_6,S,,,,,,R,,,R,R,R,,R,,R,R,,,,,R,R
470_661,S,,S,,,,R,R,,R,,R,,S,R,R,R,,R,R,,S,S
470_8077,S,R,S,R,,R,,R,R,R,R,R,,R,R,R,R,R,R,,R,S,R
470_7639,R,R,R,R,,R,,R,R,R,R,R,S,R,S,R,,R,R,,,R,R
470_749,R,,R,,,,R,,,R,,R,,R,R,,R,,,R,,R,R
470_640,R,,,R,,,R,R,,R,,R,,R,R,R,R,,R,R,,R,R
470_587,R,,,,,,R,,,R,,R,,,R,R,R,,,,,,
1217638_3,,,,,,,,,,S,,,,,,,,,,S,,,
1310564_3,,,,,R,,,,,,,,,,R,,,,,,,,
470_7611,R,R,S,R,,R,,R,R,R,R,R,S,R,S,R,,R,R,,,R,R
470_7891,S,R,R,R,,R,,R,R,R,R,R,,R,S,R,,R,S,,,R,R
470_1563,R,R,R,R,,R,,R,R,R,R,R,,R,R,R,R,R,R,,,R,R
470_7869,S,R,R,R,,R,,R,R,R,R,R,,R,R,R,R,R,R,,,S,R
470_7721,R,R,S,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,R,R
470_8027,S,R,S,R,,R,,R,,S,R,S,,S,S,S,,R,S,,S,S,S
470_24287,,R,,,,,,,,,,R,,,R,,,,R,,,,R
470_7489,R,R,R,R,,R,,R,,R,R,R,,R,S,R,S,R,R,,S,R,R
470_737,S,,R,,,,R,,,R,,R,,R,S,,S,,,R,,S,R
470_7633,S,R,S,R,,R,,R,R,S,R,S,S,R,S,S,,R,S,,,R,S
470_7715,R,R,S,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,R,R
470_7945,S,R,R,R,,R,,R,R,S,S,R,,R,S,S,,R,R,,,S,R
470_7588,R,R,R,R,,R,,R,R,R,R,R,S,R,S,R,,R,R,,,R,R
470_7624,S,R,S,R,,R,,R,R,R,R,R,,R,S,S,,R,S,,,R,R
470_7881,S,R,R,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,R,S
470_7535,S,R,S,R,,R,,R,,R,R,R,,R,S,R,S,R,R,,S,R,R
470_1324,R,,,,,,S,,,R,,R,,R,R,R,R,,,,S,,
470_7527,R,R,S,R,,R,,R,,R,R,R,,R,R,R,S,R,R,,S,R,R
470_7933,R,R,S,R,,R,,R,R,S,R,R,,R,R,R,R,R,R,,,R,R
470_1552,R,R,S,R,,R,,S,,S,R,R,,R,S,R,S,R,R,,S,S,R
470_8069,S,R,R,R,,R,,R,,R,R,R,S,R,S,R,S,R,R,,S,S,S
470_7573,R,R,R,R,,R,,,R,R,R,R,,R,R,R,R,R,R,,,R,R
470_7353,R,,,,,,R,,,,,R,,,R,,,,,,S,,
470_7821,R,R,R,R,,R,,R,R,R,R,R,,R,S,R,,R,R,,,R,R
470_7416,S,R,S,R,,R,,R,,S,S,S,S,S,S,S,,R,S,,S,S,S
470_4829,,R,,,,R,,,,R,R,R,,R,,,,,,,,,R
470_673,R,,R,,,,R,R,,R,,R,,R,R,R,R,,R,R,,R,R
470_8048,R,R,S,R,,R,,R,,R,R,R,,R,R,R,,R,R,,S,R,R
470_593,S,,,,,,R,,,R,,R,,,R,R,R,,,,,,
470_7997,S,R,S,R,,R,,R,R,R,R,R,,R,S,S,,R,R,,,R,R
1398976_3,R,,R,,,,R,,,R,,R,,R,R,,R,,,R,,R,R
470_7942,S,R,R,R,,R,,R,R,R,R,R,,R,S,S,,R,S,,,R,R
