norm_cassette_id,AAC6_Ie_APH2_Ia~~~ErmB~~~IS256@IS256@nan,ErmB~~~ISClsp3@IS1182@nan
1496_33764,0,1
1496_33806,1,0
1496_33744,0,0
1496_33959,0,0
1496_33614,0,0
1496_34036,0,0
1496_33458,0,0
1496_34013,0,0
1496_33493,0,0
1496_33790,0,0
1496_33508,0,0
1496_33700,0,0
1496_33665,0,0
1496_34004,0,0
1496_33931,0,0
1496_33527,0,0
1496_33443,0,0
1496_33536,0,0
1496_34021,0,0
1496_33861,0,0
1496_34005,0,0
1496_33654,0,0
1496_33597,0,0
1496_33722,0,0
1496_33482,0,0
1496_33677,0,0
1496_33467,0,0
1496_33526,0,0
1496_33844,0,0
1496_33584,0,0
1496_33630,0,0
1496_33954,0,0
1496_33593,0,0
1496_33563,0,0
1496_33987,0,0
1496_33966,0,0
1496_33513,0,0
1496_33804,0,0
1496_34098,0,0
1496_33501,0,0
1496_33820,0,0
1496_33516,0,0
1496_33549,0,0
1496_34033,0,0
1496_33556,0,0
1496_33819,0,0
1496_33800,0,0
1496_33624,0,0
1496_33803,0,0
1496_33906,0,0
1496_33578,0,0
1496_33715,0,0
1496_33835,0,0
1496_33982,0,0
1496_33612,0,0
1496_33635,0,0
1496_33475,0,0
1496_33875,0,0
1496_33869,0,0
1496_33787,0,0
1496_33928,0,0
1496_33759,0,0
1496_33967,0,0
1496_33999,0,0
1496_33770,0,0
1496_33707,0,0
1496_33812,0,0
1496_34027,0,0
1496_33854,0,0
1496_33507,0,0
1496_33569,0,0
1496_33574,0,0
1496_33583,0,0
1496_33736,0,0
1496_33739,0,0
1496_33708,0,0
1496_33698,0,0
1496_33693,0,0
1496_33709,0,0
1496_33839,0,0
1496_33631,0,0
1496_33676,0,0
1496_33813,0,0
1496_33657,0,0
1496_33590,0,0
1496_33754,0,0
1496_33758,0,0
1496_33442,0,0
1496_33743,0,0
1496_33976,0,0
1496_33579,0,0
1496_33701,0,0
1496_33617,0,0
1496_33634,0,0
1496_34006,0,0
1496_33515,0,0
1496_33483,0,0
1496_34003,0,0
1496_33891,0,0
1496_33525,0,0
1496_33459,0,0
1496_33871,0,0
1496_33878,0,0
1496_33535,0,0
1496_33890,0,0
1496_33600,0,0
1496_33929,0,0
1496_33843,0,0
1496_33723,0,0
1496_33462,0,0
1496_34035,0,0
1496_34099,0,0
1496_33905,0,0
1496_33860,0,0
1496_33775,0,0
1496_33990,0,0
1496_33961,0,0
1496_33771,0,0
1496_33753,0,0
1496_33852,0,0
1496_33604,0,0
1496_33646,0,0
1496_33965,0,0
1496_33478,0,0
1496_33737,0,0
1496_33710,0,0
1496_33581,0,0
1496_33946,0,0
1496_33607,0,0
1496_33921,0,0
1496_33981,0,0
1496_34012,0,0
1496_34031,0,0
1496_33811,0,0
1496_33652,0,0
1496_34028,0,0
1496_33805,0,0
1496_33951,0,0
1496_33573,0,0
1496_33530,0,0
1496_33480,0,0
1496_33534,0,0
1496_33439,0,0
1496_33553,0,0
1496_33874,0,0
1496_33714,0,0
1496_33544,0,0
1496_33568,0,0
1496_34025,0,0
1496_33833,0,0
1496_34020,0,0
1496_33456,0,0
1496_33801,0,0
1496_34039,0,0
1496_33892,0,0
1496_33671,0,0
1496_33589,0,0
1496_33814,0,0
1496_33638,0,0
1496_33849,0,0
1496_33446,0,0
1496_33484,0,0
1496_33964,0,0
1496_33822,0,0
1496_33742,0,0
1496_33473,0,0
1496_33751,0,0
1496_33637,0,0
1496_33683,0,0
1496_34040,0,0
1496_33799,0,0
1496_33626,0,0
1496_33773,0,0
1496_33621,0,0
1496_33653,0,0
1496_33786,0,0
1496_33919,0,0
1496_33610,0,0
1496_33922,0,0
1496_33901,0,0
1496_33945,0,0
1496_34007,0,0
1496_33625,0,0
1496_33537,0,0
1496_33647,0,0
1496_33957,0,0
1496_33837,0,0
1496_34019,0,0
1496_33598,0,0
1496_33691,0,0
1496_33842,0,0
1496_33672,0,0
1496_33828,0,0
1496_33511,0,0
1496_33572,0,0
1496_33725,0,0
1496_33997,0,0
1496_33752,0,0
1496_33565,0,0
1496_33904,0,0
1496_33494,0,0
1496_34101,0,0
1496_33457,0,0
1496_33851,0,0
1496_34032,0,0
1496_33780,0,0
1496_33492,0,0
1496_33554,0,0
1496_33909,0,0
1496_34030,0,0
1496_33650,0,0
1496_33571,0,0
1496_33815,0,0
1496_33681,0,0
1496_33993,0,0
