Genome ID,instrument,metronidazole,moxifloxacin,vancomycin
1496_33681,R,S,R,S
1496_33700,R,S,S,S
1496_33814,R,S,S,S
1496_33829,R,S,S,S
1496_33630,R,S,S,S
1496_33975,R,S,S,S
1496_33798,R,S,S,S
1496_33505,R,S,S,S
1496_33957,R,S,R,S
1496_33922,R,S,S,S
1496_33541,R,S,S,S
1496_33643,R,R,R,S
1496_33915,R,S,R,S
1496_33792,R,S,S,S
1496_33738,R,S,S,S
1496_33616,R,S,S,S
1496_33735,R,S,S,S
1496_33538,R,S,S,S
1496_33583,R,S,S,S
1496_33916,R,S,S,S
1496_33460,R,S,S,S
1496_34039,R,S,R,R
1496_33870,R,S,S,S
1496_34044,R,S,S,S
1496_33468,R,S,S,S
1496_33632,R,S,R,S
1496_34017,R,S,S,S
1496_33817,R,S,R,S
1496_33445,R,S,S,S
1496_33813,R,S,S,S
1496_33580,R,S,S,S
1496_33666,R,S,R,S
1496_33641,R,S,S,S
1496_33491,R,S,S,S
1496_33452,R,S,S,S
1496_33986,R,S,S,S
1496_33680,R,S,S,S
1496_34020,R,S,S,S
1496_33671,R,S,S,S
1496_33871,R,S,S,S
1496_33999,R,S,S,S
1496_33863,R,S,S,S
1496_33951,R,S,S,S
1496_33467,R,S,S,S
1496_33677,R,S,S,S
1496_33447,R,S,S,S
1496_33901,R,S,S,S
1496_33726,R,S,S,S
1496_33537,R,S,S,S
1496_33598,R,S,S,S
1496_33784,R,S,R,S
1496_33550,R,S,S,S
1496_34030,R,S,R,S
1496_33682,R,S,R,S
1496_33624,R,S,S,S
1496_33477,R,S,S,S
1496_33806,R,S,S,S
1496_33665,R,S,S,S
1496_33706,R,S,S,S
1496_33603,R,S,S,S
1496_33579,R,S,R,S
1496_33713,R,S,S,S
1496_33878,R,S,S,S
1496_33687,R,S,S,S
1496_33958,R,S,S,S
1496_33566,R,S,S,S
1496_33822,R,S,R,S
1496_33819,R,S,S,S
1496_33825,R,S,S,S
1496_33896,R,S,S,S
1496_33535,R,S,S,S
1496_33723,R,S,S,S
1496_33474,R,S,R,S
1496_33585,R,S,S,S
1496_33565,R,S,R,S
1496_33528,R,S,S,S
1496_33860,R,S,S,S
1496_33826,R,S,S,S
1496_33637,R,S,S,S
1496_34007,R,S,S,S
1496_33658,R,S,S,S
1496_33821,R,S,R,S
1496_33801,R,S,R,S
1496_33692,R,S,R,S
1496_33466,R,S,R,S
1496_33808,R,S,S,S
1496_33636,R,S,S,S
1496_33795,R,S,R,S
1496_33877,R,S,S,S
1496_33512,R,S,S,S
1496_33818,R,S,S,S
1496_33515,R,S,R,S
1496_34101,R,S,S,S
1496_33803,R,S,S,S
1496_33969,R,S,S,S
1496_33615,R,S,S,S
1496_33963,R,S,S,S
1496_33919,R,S,S,S
1496_33457,R,S,S,S
1496_33561,R,S,R,R
1496_33810,R,S,S,S
1496_34026,R,S,S,S
1496_33962,R,S,S,S
1496_33852,R,S,R,S
1496_33742,R,S,S,S
1496_33983,R,S,S,S
1496_34010,R,S,S,S
1496_33770,R,S,R,S
1496_33982,R,S,S,S
1496_34019,R,S,R,S
1496_33925,R,R,R,S
1496_33918,R,S,S,S
1496_33799,R,S,S,S
1496_33628,R,S,S,S
1496_33749,R,S,R,S
1496_34013,R,S,S,S
1496_34012,R,S,S,S
1496_33900,R,S,S,S
