,Fluoroquinolone,Glycopeptide,Nitroimidazole
1496_33681,R,S,S
1496_33700,S,S,S
1496_33814,S,S,S
1496_33829,S,S,S
1496_33630,S,S,S
1496_33975,S,S,S
1496_33798,S,S,S
1496_33505,S,S,S
1496_33957,R,S,S
1496_33922,S,S,S
1496_33541,S,S,S
1496_33643,R,S,R
1496_33915,R,S,S
1496_33792,S,S,S
1496_33738,S,S,S
1496_33616,S,S,S
1496_33735,S,S,S
1496_33538,S,S,S
1496_33583,S,S,S
1496_33916,S,S,S
1496_33460,S,S,S
1496_34039,R,R,S
1496_33870,S,S,S
1496_34044,S,S,S
1496_33468,S,S,S
1496_33632,R,S,S
1496_34017,S,S,S
1496_33817,R,S,S
1496_33445,S,S,S
1496_33813,S,S,S
1496_33580,S,S,S
1496_33666,R,S,S
1496_33641,S,S,S
1496_33491,S,S,S
1496_33452,S,S,S
1496_33986,S,S,S
1496_33680,S,S,S
1496_34020,S,S,S
1496_33671,S,S,S
1496_33871,S,S,S
1496_33999,S,S,S
1496_33863,S,S,S
1496_33951,S,S,S
1496_33467,S,S,S
1496_33677,S,S,S
1496_33447,S,S,S
1496_33901,S,S,S
1496_33726,S,S,S
1496_33537,S,S,S
1496_33598,S,S,S
1496_33784,R,S,S
1496_33550,S,S,S
1496_34030,R,S,S
1496_33682,R,S,S
1496_33624,S,S,S
1496_33477,S,S,S
1496_33806,S,S,S
1496_33665,S,S,S
1496_33706,S,S,S
1496_33603,S,S,S
1496_33579,R,S,S
1496_33713,S,S,S
1496_33878,S,S,S
1496_33687,S,S,S
1496_33958,S,S,S
1496_33566,S,S,S
1496_33822,R,S,S
1496_33819,S,S,S
1496_33825,S,S,S
1496_33896,S,S,S
1496_33535,S,S,S
1496_33723,S,S,S
1496_33474,R,S,S
1496_33585,S,S,S
1496_33565,R,S,S
1496_33528,S,S,S
1496_33860,S,S,S
1496_33826,S,S,S
1496_33637,S,S,S
1496_34007,S,S,S
1496_33658,S,S,S
1496_33821,R,S,S
1496_33801,R,S,S
1496_33692,R,S,S
1496_33466,R,S,S
1496_33808,S,S,S
1496_33636,S,S,S
1496_33795,R,S,S
1496_33877,S,S,S
1496_33512,S,S,S
1496_33818,S,S,S
1496_33515,R,S,S
1496_34101,S,S,S
1496_33803,S,S,S
1496_33969,S,S,S
1496_33615,S,S,S
1496_33963,S,S,S
1496_33919,S,S,S
1496_33457,S,S,S
1496_33561,R,R,S
1496_33810,S,S,S
1496_34026,S,S,S
1496_33962,S,S,S
