Genome ID,amoxicillin,azithromycin,cefotaxime,ciprofloxacin,clarithromycin,clindamycin,erythromycin,gentamicin,imipenem,kanamycin,oxacillin,penicillin,pristinamycin,rifampicin,spiramycin,sulfonamides,tetracycline,trimethoprim,trimethoprim_sulfamethoxazole
1717_994,S,S,S,,S,S,S,S,S,S,S,,S,S,S,S,,R,
1717_966,S,S,,S,S,S,S,S,S,R,S,,S,,S,R,,S,
1717_968,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1717_825,S,S,S,S,S,S,,S,S,S,S,S,S,,S,R,,S,
1717_829,S,S,S,,S,,,,S,S,S,S,S,,S,S,,S,S
1717_887,S,S,S,S,S,,,,S,S,R,,S,,S,S,S,R,S
1717_1007,S,S,R,S,S,S,,S,S,S,S,S,S,S,S,S,S,S,S
1717_912,S,S,S,,S,S,S,,S,S,S,S,S,R,S,S,S,S,S
1717_1009,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1717_1006,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1717_993,S,S,R,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S
1717_808,S,S,S,S,S,,S,S,S,S,S,S,S,S,S,R,S,S,S
1717_959,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S,S,S,S
1717_794,S,S,S,,S,S,,,S,S,S,S,S,,S,R,,S,
1717_970,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,S
1717_984,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,,R,
1717_852,S,S,S,S,S,,S,S,S,S,S,S,S,S,S,S,,S,
1717_867,S,S,S,,S,S,,S,S,S,S,S,S,S,S,R,,S,
1717_905,S,S,,S,S,,S,S,S,S,S,S,S,,S,R,S,S,S
1717_910,S,S,S,S,S,,,,S,S,S,S,S,S,S,S,R,S,
1717_952,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1717_935,S,S,S,S,S,,S,S,S,S,S,R,S,S,S,S,,S,S
1717_862,S,S,,,S,,S,S,S,S,S,S,S,,S,R,,S,S
1717_868,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,R,S,R,R
1717_813,S,S,S,,S,,,S,S,S,S,S,S,S,S,R,S,S,
1717_991,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S
1717_1013,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1717_805,S,S,,S,S,S,,S,S,S,S,S,S,,S,R,,S,
1717_907,S,S,S,S,S,,S,S,S,S,S,,S,,S,S,S,S,
1717_795,S,S,S,S,S,S,,,S,S,S,,S,,S,S,S,S,
698964_3,S,S,,,S,,S,,S,S,S,S,S,,S,S,S,S,
1717_839,S,S,,S,S,,S,S,S,S,S,S,S,,S,R,R,S,
1717_923,S,S,R,R,S,S,,S,S,S,S,,S,S,S,S,S,S,S
1717_898,S,S,S,,S,,,,S,S,S,S,S,S,S,S,S,S,
1717_816,S,S,,S,S,,S,S,S,S,S,S,S,,S,S,,S,
1717_948,S,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,,S,S
1717_938,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,R,S,
1717_834,S,S,,S,S,S,S,S,S,S,S,S,S,S,S,R,S,R,R
1717_927,S,S,S,S,S,S,S,S,S,S,S,R,S,,S,S,,S,S
1717_882,S,S,S,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1717_820,S,S,S,,S,,S,,S,S,S,S,S,S,S,S,,S,S
1717_897,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1717_928,S,S,S,S,S,,S,S,S,S,S,S,S,,S,S,,S,S
1717_1014,S,S,R,S,S,S,S,S,S,S,S,R,S,S,S,R,R,R,R
1717_964,S,S,S,S,S,,S,S,S,S,S,S,S,S,S,S,R,R,S
