Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster,,,,,,
1717_994,2017,New Caledonia,Human,,,NCL,13,,,,,,
1717_966,2016,France,Human,,,FRA,58,,,,,,
1717_968,2016,France,Human,,,FRA,5,,,,,,
1717_825,1994,Sweden,Human,,,SWE,32,,,,,,
1717_1028,2016,France,Human,,,FRA,36,,,,,,
1717_815,1993,Russian Federation,Human,,,RUS,148,,,,,,
1717_829,1993,Russian Federation,Human,,,RUS,139,,,,,,
1717_805,1994,Pakistan,Human,,,PAK,9,,,,,,
1717_921,2014,Mayotte,Human,,,MYT,5,,,,,,
1717_882,2011,France,Human,,,FRA,25,,,,,,
1717_887,2011,Mayotte,Human,,,MYT,100,,,,,,
1717_833,1998,Russian Federation,Human,,,RUS,12,,,,,,
1717_797,1984,France,Human,,,FRA,158,,,,,,
1717_932,2014,France,Human,,,FRA,78,,,,,,
1717_863,1992,Australia,Human,,,AUS,110,,,,,,
1717_1007,2017,France,Human,,,FRA,176,,,,,,
1717_912,2013,France,Human,,,FRA,90,,,,,,
1717_1023,1969,USA,Human,,,USA,12,,,,,,
1717_962,2016,France,Human,,,FRA,18,,,,,,
1717_929,2014,France,Human,,,FRA,11,,,,,,
1717_811,1992,Australia,Human,,,AUS,33,,,,,,
1717_1009,2017,French Guiana,Human,,,GUF,175,,,,,,
1717_1006,2017,France,Human,,,FRA,177,,,,,,
1717_993,2017,France,Human,,,FRA,14,,,,,,
1717_808,1996,Thailand,Human,,,THA,154,,,,,,
1717_872,2008,France,Human,,,FRA,106,,,,,,
1717_959,2016,France,Human,,,FRA,19,,,,,,
1717_794,1983,France,Human,,,FRA,161,,,,,,
1717_867,1993,Russian Federation,Human,,,RUS,9,,,,,,
1717_970,2016,France,Human,,,FRA,56,,,,,,
1717_984,2016,France,Human,,,FRA,36,,,,,,
1717_852,1981,USA,Human,,,USA,119,,,,,,
1717_905,2013,Mayotte,Human,,,MYT,6,,,,,,
1717_791,2006,New Caledonia,Human,,,NCL,1,,,,,,
1717_816,1992,Australia,Human,,,AUS,147,,,,,,
1717_967,2016,France,Human,,,FRA,3,,,,,,
1717_910,2013,Mayotte,Human,,,MYT,23,,,,,,
1717_952,2015,New Caledonia,Human,,,NCL,2,,,,,,
1717_866,1951,France,Human,,,FRA,108,,,,,,
1717_842,1963,Romania,Human,,,ROU,127,,,,,,
1717_935,2015,France,Human,,,FRA,77,,,,,,
1717_851,1993,Russian Federation,Human,,,RUS,120,,,,,,
