,Aminoglycoside,Glycopeptide,Lipoglycopeptide,Lipopeptide,Macrolide,Oxazolidinone,Penicilin,Streptogramin,Tetracycline
1352_1864,R,S,S,,,S,R,S,S
1352_1553,,S,,,,,,,
1352_17982,,,,S,,,,,
1352_18065,S,R,R,R,,S,R,S,S
1352_1906,R,R,R,,,S,R,R,S
1352_1871,R,R,R,,,S,R,S,S
1352_11924,,S,,,,,,,
1352_17883,,,,S,,,,,
1352_17878,,,,S,,,,,
1352_1861,R,S,S,,,S,R,S,S
1352_1869,R,S,S,,,S,R,S,S
1352_18072,S,R,R,R,,R,R,S,S
1352_18067,R,R,R,R,,S,R,S,S
1352_11604,,S,,,,,,,
1352_1797,R,R,R,,,S,R,S,S
1352_1822,R,R,R,,,S,R,S,S
1352_17821,,R,,,R,S,R,,
1352_1910,R,R,R,,,S,R,S,S
1352_11266,,R,,,,,,,
1352_11808,,R,,,,,,,
1352_1855,R,S,S,,,S,R,S,S
1352_11812,,R,,,,,,,
1352_1848,R,S,S,,,S,R,S,S
1352_1768,R,R,R,,,S,R,S,S
1352_18050,,,,S,,,,,
1352_8043,S,S,,,R,,S,,
1352_7887,,R,,S,,R,,,
1352_17825,R,R,,,R,S,R,,
1352_18066,S,S,S,R,,S,R,S,R
1352_17837,S,S,,,R,S,R,,
1352_1827,S,R,R,,,S,R,S,S
1352_17807,,R,,,R,S,R,,
1352_1902,R,R,R,,,S,R,S,S
1352_1819,R,S,S,,,S,R,S,S
1352_11398,,R,,,,,,,
1352_17921,,,,S,,,,,
1352_18068,S,S,S,R,,S,R,S,S
1352_7877,,R,,S,,R,,,
1352_1813,S,R,R,,,S,R,R,S
1352_11663,,R,,,,,,,
1352_11322,,R,,,,,,,
1352_1832,R,S,S,,,S,R,S,S
1352_1787,R,R,R,,,S,R,S,S
1352_1932,S,R,R,,,S,R,S,S
1352_17792,,R,,,R,S,R,,
1352_11938,,S,,,,,,,
1352_1866,R,S,S,,,S,R,S,S
1352_11816,,R,,,,,,,
1352_1541,,S,,,,,,,
1352_11424,,S,,,,,,,
1352_11528,,S,,,,,,,
1352_1764,R,R,R,,,S,R,S,S
1352_1893,R,R,R,,,S,R,S,S
1352_11366,,S,,,,,,,
1352_11638,,R,,,,,,,
1352_11546,,R,,,,,,,
1352_1783,R,R,R,,,S,R,S,S
1352_17917,,,,S,,,,,
1352_1854,R,R,R,,,S,R,R,S
1352_11805,,R,,,,,,,
1352_1808,R,R,R,,,S,R,S,S
1352_1818,R,R,R,,,S,R,S,S
1352_1903,R,R,R,,,S,R,S,S
1352_7861,,R,,R,,R,,,
1352_11823,,R,,,,,,,
1352_1820,R,S,S,,,S,R,S,S
1352_1792,R,R,R,,,S,R,S,S
1352_11387,,S,,,,,,,
1352_1826,R,S,S,,,S,R,S,S
1352_1840,S,R,R,,,S,R,S,S
1352_1929,S,R,R,,,S,R,S,S
1352_11525,,S,,,,,,,
1352_17962,,,,S,,,,,
1352_17890,,,,S,,,,,
1352_1926,S,R,R,,,S,R,R,S
1352_11381,,S,,,,,,,
1352_1913,S,R,R,,,S,R,S,S
1352_1837,R,R,R,,,S,R,S,S
