Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
1352_1864,2015,United Kingdom,Human,Human,Human,GBR
1352_1553,2005,Australia,Human,Human,Human,AUS
1352_18057,2018,Denmark,Human,,,DNK
1352_17982,2017,Australia,Human,,,AUS
1352_18065,2013,USA,Human,,,USA
1352_18060,2018,Denmark,Human,,,DNK
1352_1906,2015,United Kingdom,Human,Human,Human,GBR
1352_1871,2015,United Kingdom,Human,Human,Human,GBR
1352_11924,2011,United Kingdom,Human,Human,Human,GBR
1352_7845,2014,Pakistan,Human,Human,Human,PAK
1352_17883,2015,Australia,Human,,,AUS
1352_17878,2015,Australia,Human,,,AUS
1352_1861,2015,United Kingdom,Human,Human,Human,GBR
1352_1869,2015,United Kingdom,Human,Human,Human,GBR
1352_18072,2014,USA,Human,,,USA
1352_18067,2014,USA,Human,,,USA
1352_11604,2011,United Kingdom,Human,Human,Human,GBR
1352_1797,2015,United Kingdom,Human,Human,Human,GBR
1352_1822,2015,United Kingdom,Human,Human,Human,GBR
1352_8055,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_8039,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_17821,2017,Germany,Human,,,DEU
1352_1910,2015,United Kingdom,Human,Human,Human,GBR
1352_11266,2005,United Kingdom,Human,Human,Human,GBR
1352_11808,2009,United Kingdom,Human,Human,Human,GBR
1352_1855,2015,United Kingdom,Human,Human,Human,GBR
1352_11812,2009,United Kingdom,Human,Human,Human,GBR
1352_1848,2015,United Kingdom,Human,Human,Human,GBR
1352_8050,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_1768,2015,United Kingdom,Human,Human,Human,GBR
1352_17817,2017,Germany,Human,,,DEU
1352_18050,2015,Australia,Human,,,AUS
1352_8043,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_7887,2018,USA,Human,Human,Human,USA
1352_17825,2017,Germany,Human,,,DEU
1352_18059,2018,Denmark,Human,,,DNK
1352_18066,2014,USA,Human,,,USA
1352_17837,2017,Germany,Human,,,DEU
1352_1827,2015,United Kingdom,Human,Human,Human,GBR
1352_17807,2017,Germany,Human,,,DEU
1352_1902,2015,United Kingdom,Human,Human,Human,GBR
1352_1819,2015,United Kingdom,Human,Human,Human,GBR
1352_8057,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11398,2007,United Kingdom,Human,Human,Human,GBR
1352_8061,2001,New Zealand,Chicken,Chicken,Avian,NZL
1352_17921,2007,Australia,Human,,,AUS
1352_18068,2016,USA,Human,,,USA
1352_7877,2014,Pakistan,Human,Human,Human,PAK
1352_1813,2015,United Kingdom,Human,Human,Human,GBR
1352_11663,2003,United Kingdom,Human,Human,Human,GBR
1352_11322,2006,United Kingdom,Human,Human,Human,GBR
1352_17832,2017,Germany,Human,,,DEU
1352_1832,2015,United Kingdom,Human,Human,Human,GBR
1352_1787,2015,United Kingdom,Human,Human,Human,GBR
1352_1932,2015,United Kingdom,Human,Human,Human,GBR
1352_17792,2017,Germany,Human,,,DEU
1352_11938,2008,United Kingdom,Human,Human,Human,GBR
1352_1866,2015,United Kingdom,Human,Human,Human,GBR
1352_11816,2010,United Kingdom,Human,Human,Human,GBR
1352_1541,2011,Australia,Human,Human,Human,AUS
1352_7864,2018,USA,Human,Human,Human,USA
1352_11424,2008,United Kingdom,Human,Human,Human,GBR
1352_11528,2010,United Kingdom,Human,Human,Human,GBR
1352_1764,2015,United Kingdom,Human,Human,Human,GBR
1352_1893,2015,United Kingdom,Human,Human,Human,GBR
1352_11366,2001,Ireland,Human,Human,Human,IRL
1352_11638,2003,United Kingdom,Human,Human,Human,GBR
1352_18052,2018,Denmark,Human,,,DNK
1352_7889,2018,USA,Human,Human,Human,USA
1352_11546,2010,United Kingdom,Human,Human,Human,GBR
1352_1783,2015,United Kingdom,Human,Human,Human,GBR
1352_17917,2012,Australia,Human,,,AUS
1352_1854,2015,United Kingdom,Human,Human,Human,GBR
1352_11805,2009,United Kingdom,Human,Human,Human,GBR
1352_1808,2015,United Kingdom,Human,Human,Human,GBR
1352_1818,2015,United Kingdom,Human,Human,Human,GBR
1352_1903,2015,United Kingdom,Human,Human,Human,GBR
1352_7861,2018,USA,Human,Human,Human,USA
1352_11823,2010,United Kingdom,Human,Human,Human,GBR
1352_1820,2015,United Kingdom,Human,Human,Human,GBR
1352_17822,2017,Germany,Human,,,DEU
1352_1792,2015,United Kingdom,Human,Human,Human,GBR
1352_11387,2007,United Kingdom,Human,Human,Human,GBR
1352_1826,2015,United Kingdom,Human,Human,Human,GBR
1352_1840,2015,United Kingdom,Human,Human,Human,GBR
1352_1929,2015,United Kingdom,Human,Human,Human,GBR
1352_11525,2001,United Kingdom,Human,Human,Human,GBR
1352_8064,2001,New Zealand,Chicken,Chicken,Avian,NZL
1352_18056,2018,Denmark,Human,,,DNK
1352_17962,2008,Australia,Human,,,AUS
1352_17890,2015,Australia,Human,,,AUS
1352_18053,2018,Denmark,Human,,,DNK
1352_1926,2015,United Kingdom,Human,Human,Human,GBR
1352_11381,2007,United Kingdom,Human,Human,Human,GBR
1352_1913,2015,United Kingdom,Human,Human,Human,GBR
1352_1837,2015,United Kingdom,Human,Human,Human,GBR
1352_11700,2004,United Kingdom,Human,Human,Human,GBR
1352_17950,2009,Australia,Human,,,AUS
1352_1800,2015,United Kingdom,Human,Human,Human,GBR
1352_1860,2015,United Kingdom,Human,Human,Human,GBR
1352_11649,2003,Ireland,Human,Human,Human,IRL
1352_1916,2015,United Kingdom,Human,Human,Human,GBR
1352_3598,2015,Australia,Human,Human,Human,AUS
1352_1836,2015,United Kingdom,Human,Human,Human,GBR
1352_11275,2005,United Kingdom,Human,Human,Human,GBR
1352_8044,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_8016,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_8019,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_1811,2015,United Kingdom,Human,Human,Human,GBR
1352_1904,2015,United Kingdom,Human,Human,Human,GBR
1352_18070,2016,USA,Human,,,USA
1352_1774,2015,United Kingdom,Human,Human,Human,GBR
1352_18091,2014,USA,Human,,,USA
1352_1772,2015,United Kingdom,Human,Human,Human,GBR
1352_1779,2015,United Kingdom,Human,Human,Human,GBR
1352_10971,2009,Australia,Human,Human,Human,AUS
1352_1788,2015,United Kingdom,Human,Human,Human,GBR
1352_11658,2001,United Kingdom,Human,Human,Human,GBR
1352_18054,2018,Denmark,Human,,,DNK
1352_1927,2015,United Kingdom,Human,Human,Human,GBR
1352_11284,2005,United Kingdom,Human,Human,Human,GBR
1352_1586,2011,Australia,Human,Human,Human,AUS
1352_11680,2001,United Kingdom,Human,Human,Human,GBR
1352_1804,2015,United Kingdom,Human,Human,Human,GBR
1352_8013,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_8021,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_18071,2016,USA,Human,,,USA
1352_1561,2006,Australia,Human,Human,Human,AUS
1352_1894,2015,United Kingdom,Human,Human,Human,GBR
1352_1863,2015,United Kingdom,Human,Human,Human,GBR
1352_17913,2015,Australia,Human,,,AUS
1352_1907,2015,United Kingdom,Human,Human,Human,GBR
1352_11912,2012,United Kingdom,Human,Human,Human,GBR
1352_1781,2015,United Kingdom,Human,Human,Human,GBR
1352_1834,2015,United Kingdom,Human,Human,Human,GBR
1352_11269,2005,United Kingdom,Human,Human,Human,GBR
1352_17818,2017,Germany,Human,,,DEU
1352_1879,2015,United Kingdom,Human,Human,Human,GBR
1352_1908,2015,United Kingdom,Human,Human,Human,GBR
1352_17876,2011,Australia,Human,,,AUS
1352_11894,2011,United Kingdom,Human,Human,Human,GBR
1352_1838,2015,United Kingdom,Human,Human,Human,GBR
1352_1793,2015,United Kingdom,Human,Human,Human,GBR
1352_18063,2013,USA,Human,,,USA
1352_11967,2010,United Kingdom,Human,Human,Human,GBR
1352_17830,2017,Germany,Human,,,DEU
1352_7856,2018,USA,Human,Human,Human,USA
1352_8066,2000,New Zealand,Chicken,Chicken,Avian,NZL
1352_1870,2015,United Kingdom,Human,Human,Human,GBR
1352_18043,2015,Australia,Human,,,AUS
1352_1922,2015,United Kingdom,Human,Human,Human,GBR
1352_11906,2009,United Kingdom,Human,Human,Human,GBR
1352_11786,2009,United Kingdom,Human,Human,Human,GBR
1352_11627,2002,United Kingdom,Human,Human,Human,GBR
1352_7886,2018,USA,Human,Human,Human,USA
1352_1580,2011,Australia,Human,Human,Human,AUS
1352_11430,2008,United Kingdom,Human,Human,Human,GBR
1352_1812,2015,United Kingdom,Human,Human,Human,GBR
1352_17804,2017,Germany,Human,,,DEU
1352_1857,2015,United Kingdom,Human,Human,Human,GBR
1352_8048,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_1801,2015,United Kingdom,Human,Human,Human,GBR
1352_1856,2015,United Kingdom,Human,Human,Human,GBR
1352_1766,2015,United Kingdom,Human,Human,Human,GBR
1352_1917,2015,United Kingdom,Human,Human,Human,GBR
1352_11618,2002,United Kingdom,Human,Human,Human,GBR
1352_7890,2018,USA,Human,Human,Human,USA
1352_11957,2009,United Kingdom,Human,Human,Human,GBR
1352_11835,2010,United Kingdom,Human,Human,Human,GBR
1352_11348,2006,Ireland,Human,Human,Human,IRL
1352_1825,2015,United Kingdom,Human,Human,Human,GBR
1352_11461,2009,Ireland,Human,Human,Human,IRL
1352_11382,2007,United Kingdom,Human,Human,Human,GBR
1352_1767,2015,United Kingdom,Human,Human,Human,GBR
1352_11897,2012,United Kingdom,Human,Human,Human,GBR
1352_1849,2015,United Kingdom,Human,Human,Human,GBR
1352_18058,2018,Denmark,Human,,,DNK
1352_1888,2015,United Kingdom,Human,Human,Human,GBR
1352_8049,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_1824,2015,United Kingdom,Human,Human,Human,GBR
1352_1547,2007,Australia,Human,Human,Human,AUS
1352_11406,2007,United Kingdom,Human,Human,Human,GBR
1352_1810,2015,United Kingdom,Human,Human,Human,GBR
1352_10976,2000,Australia,Human,Human,Human,AUS
1352_8038,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_12009,2007,United Kingdom,Human,Human,Human,GBR
1352_1835,2015,United Kingdom,Human,Human,Human,GBR
1352_18064,2015,USA,Human,,,USA
1352_1853,2015,United Kingdom,Human,Human,Human,GBR
1352_11623,2001,United Kingdom,Human,Human,Human,GBR
1352_8015,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_1878,2015,United Kingdom,Human,Human,Human,GBR
1352_17842,2017,Germany,Human,,,DEU
1352_1889,2015,United Kingdom,Human,Human,Human,GBR
1352_1845,2015,United Kingdom,Human,Human,Human,GBR
1352_7869,2018,USA,Human,Human,Human,USA
1352_11259,2005,United Kingdom,Human,Human,Human,GBR
1352_17803,2017,Germany,Human,,,DEU
1352_7879,2014,Pakistan,Human,Human,Human,PAK
1352_1777,2015,United Kingdom,Human,Human,Human,GBR
1352_17828,2017,Germany,Human,,,DEU
1352_1807,2015,United Kingdom,Human,Human,Human,GBR
1352_18003,2018,Australia,Human,,,AUS
1352_1892,2015,United Kingdom,Human,Human,Human,GBR
1352_11948,2011,United Kingdom,Human,Human,Human,GBR
1352_1924,2015,United Kingdom,Human,Human,Human,GBR
1352_8032,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_8028,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_18048,2015,Australia,Human,,,AUS
1352_1784,2015,United Kingdom,Human,Human,Human,GBR
1352_1874,2015,United Kingdom,Human,Human,Human,GBR
1352_17941,2013,Australia,Human,,,AUS
1352_11758,2008,United Kingdom,Human,Human,Human,GBR
1352_18074,2014,USA,Human,,,USA
1352_11630,2002,United Kingdom,Human,Human,Human,GBR
1352_11466,2009,Ireland,Human,Human,Human,IRL
1352_17877,2015,Australia,Human,,,AUS
1352_1831,2015,United Kingdom,Human,Human,Human,GBR
1352_1865,2015,United Kingdom,Human,Human,Human,GBR
1352_1920,2015,United Kingdom,Human,Human,Human,GBR
1352_1896,2015,United Kingdom,Human,Human,Human,GBR
1352_1868,2015,United Kingdom,Human,Human,Human,GBR
1352_8060,2001,New Zealand,Chicken,Chicken,Avian,NZL
1352_11617,2002,United Kingdom,Human,Human,Human,GBR
1352_1806,2015,United Kingdom,Human,Human,Human,GBR
1352_1775,2015,United Kingdom,Human,Human,Human,GBR
1352_1790,2015,United Kingdom,Human,Human,Human,GBR
1352_8023,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_1882,2015,United Kingdom,Human,Human,Human,GBR
1352_8051,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11994,2012,United Kingdom,Human,Human,Human,GBR
1352_1873,2015,United Kingdom,Human,Human,Human,GBR
1352_8027,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_17824,2017,Germany,Human,,,DEU
1352_17903,2014,Australia,Human,,,AUS
1352_11829,2010,United Kingdom,Human,Human,Human,GBR
1352_1842,2015,United Kingdom,Human,Human,Human,GBR
1352_1940,2015,United Kingdom,Human,Human,Human,GBR
1352_18075,2015,USA,Human,,,USA
1352_1794,2015,United Kingdom,Human,Human,Human,GBR
1352_11337,2006,Ireland,Human,Human,Human,IRL
1352_1919,2015,United Kingdom,Human,Human,Human,GBR
1352_17799,2017,Germany,Human,,,DEU
1352_10977,2000,Australia,Human,Human,Human,AUS
1352_7891,2018,USA,Human,Human,Human,USA
1352_1796,2015,United Kingdom,Human,Human,Human,GBR
1352_1872,2015,United Kingdom,Human,Human,Human,GBR
1352_8037,2001,New Zealand,Chicken,Chicken,Avian,NZL
1352_1901,2015,United Kingdom,Human,Human,Human,GBR
1352_8063,2001,New Zealand,Chicken,Chicken,Avian,NZL
1352_1763,2015,United Kingdom,Human,Human,Human,GBR
1352_17980,2017,Australia,Human,,,AUS
1352_18076,2015,USA,Human,,,USA
1352_17802,2017,Germany,Human,,,DEU
1352_18061,2015,USA,Human,,,USA
1352_11443,2009,Ireland,Human,Human,Human,IRL
1352_1911,2015,United Kingdom,Human,Human,Human,GBR
1352_1487,2012,Australia,Human,Human,Human,AUS
1352_1815,2015,United Kingdom,Human,Human,Human,GBR
1352_11554,2011,United Kingdom,Human,Human,Human,GBR
1352_11543,2010,United Kingdom,Human,Human,Human,GBR
1352_1859,2015,United Kingdom,Human,Human,Human,GBR
1352_1886,2015,United Kingdom,Human,Human,Human,GBR
1352_17793,2017,Germany,Human,,,DEU
1352_11508,2010,Ireland,Human,Human,Human,IRL
1352_7972,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11890,2012,United Kingdom,Human,Human,Human,GBR
1352_1823,2015,United Kingdom,Human,Human,Human,GBR
1352_1776,2015,United Kingdom,Human,Human,Human,GBR
1352_17813,2017,Germany,Human,,,DEU
1352_18016,2018,Australia,Human,,,AUS
1352_11739,2007,United Kingdom,Human,Human,Human,GBR
1352_7883,2018,USA,Human,Human,Human,USA
1352_11473,2009,United Kingdom,Human,Human,Human,GBR
1352_1905,2015,United Kingdom,Human,Human,Human,GBR
1352_17901,2012,Australia,Human,,,AUS
1352_11331,2006,United Kingdom,Human,Human,Human,GBR
1352_17815,2017,Germany,Human,,,DEU
1352_1914,2015,United Kingdom,Human,Human,Human,GBR
1352_1492,2012,Australia,Human,Human,Human,AUS
1352_1941,2015,United Kingdom,Human,Human,Human,GBR
1352_1909,2015,United Kingdom,Human,Human,Human,GBR
1352_1898,2015,United Kingdom,Human,Human,Human,GBR
1352_7870,2018,USA,Human,Human,Human,USA
1352_11644,2003,Ireland,Human,Human,Human,IRL
1352_8056,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_17816,2017,Germany,Human,,,DEU
1352_18009,2017,Australia,Human,,,AUS
1352_11429,2008,United Kingdom,Human,Human,Human,GBR
1352_1895,2015,United Kingdom,Human,Human,Human,GBR
1352_1791,2015,United Kingdom,Human,Human,Human,GBR
1352_1828,2015,United Kingdom,Human,Human,Human,GBR
1352_1829,2015,United Kingdom,Human,Human,Human,GBR
1352_7843,2014,Pakistan,Human,Human,Human,PAK
1352_18077,2015,USA,Human,,,USA
1352_11436,2008,United Kingdom,Human,Human,Human,GBR
1352_11442,2008,United Kingdom,Human,Human,Human,GBR
1352_1890,2015,United Kingdom,Human,Human,Human,GBR
1352_1458,2003,Australia,Human,Human,Human,AUS
1352_1795,2015,United Kingdom,Human,Human,Human,GBR
1352_1921,2015,United Kingdom,Human,Human,Human,GBR
1352_11901,2007,United Kingdom,Human,Human,Human,GBR
1352_8062,2000,New Zealand,Chicken,Chicken,Avian,NZL
1352_8034,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11741,2007,United Kingdom,Human,Human,Human,GBR
1352_18046,2015,Australia,Human,,,AUS
1352_1897,2015,United Kingdom,Human,Human,Human,GBR
1352_11264,2005,United Kingdom,Human,Human,Human,GBR
1352_1841,2015,United Kingdom,Human,Human,Human,GBR
1352_1816,2015,United Kingdom,Human,Human,Human,GBR
1352_1782,2015,United Kingdom,Human,Human,Human,GBR
1352_1771,2015,United Kingdom,Human,Human,Human,GBR
1352_1883,2015,United Kingdom,Human,Human,Human,GBR
1352_10962,2009,Australia,Human,Human,Human,AUS
1352_11299,2005,United Kingdom,Human,Human,Human,GBR
1352_18055,2018,Denmark,Human,,,DNK
1352_8045,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_1809,2015,United Kingdom,Human,Human,Human,GBR
1352_17886,2015,Australia,Human,,,AUS
1352_17836,2017,Germany,Human,,,DEU
1352_1887,2015,United Kingdom,Human,Human,Human,GBR
1352_17879,2015,Australia,Human,,,AUS
1352_1773,2015,United Kingdom,Human,Human,Human,GBR
1352_17809,2017,Germany,Human,,,DEU
1352_17806,2017,Germany,Human,,,DEU
1352_11661,2001,United Kingdom,Human,Human,Human,GBR
1352_11987,2012,United Kingdom,Human,Human,Human,GBR
1352_1839,2015,United Kingdom,Human,Human,Human,GBR
1352_11983,2012,United Kingdom,Human,Human,Human,GBR
1352_12005,2007,United Kingdom,Human,Human,Human,GBR
1352_11871,2012,United Kingdom,Human,Human,Human,GBR
1352_1770,2015,United Kingdom,Human,Human,Human,GBR
1352_11869,2011,United Kingdom,Human,Human,Human,GBR
1352_11713,2004,United Kingdom,Human,Human,Human,GBR
1352_11292,2005,United Kingdom,Human,Human,Human,GBR
1352_17827,2017,Germany,Human,,,DEU
1352_11591,2011,United Kingdom,Human,Human,Human,GBR
1352_11289,2005,United Kingdom,Human,Human,Human,GBR
1352_11624,2002,United Kingdom,Human,Human,Human,GBR
1352_7874,2018,USA,Human,Human,Human,USA
1352_1496,2011,Australia,Human,Human,Human,AUS
1352_18022,2017,Australia,Human,,,AUS
1352_18037,2015,Australia,Human,,,AUS
1352_17943,2015,Australia,Human,,,AUS
1352_17795,2017,Germany,Human,,,DEU
1352_1884,2015,United Kingdom,Human,Human,Human,GBR
1352_11271,2005,United Kingdom,Human,Human,Human,GBR
1352_11831,2010,United Kingdom,Human,Human,Human,GBR
1352_1802,2015,United Kingdom,Human,Human,Human,GBR
1352_1459,2012,Australia,Human,Human,Human,AUS
1352_1852,2015,United Kingdom,Human,Human,Human,GBR
1352_1862,2015,United Kingdom,Human,Human,Human,GBR
1352_17794,2017,Germany,Human,,,DEU
1352_11992,2009,United Kingdom,Human,Human,Human,GBR
1352_7882,2018,USA,Human,Human,Human,USA
1352_17812,2017,Germany,Human,,,DEU
1352_11892,2012,United Kingdom,Human,Human,Human,GBR
1352_18069,2016,USA,Human,,,USA
1352_17927,2012,Australia,Human,,,AUS
1352_18062,2014,USA,Human,,,USA
1352_10965,2008,Australia,Human,Human,Human,AUS
1352_1805,2015,United Kingdom,Human,Human,Human,GBR
1352_1461,2012,Australia,Human,Human,Human,AUS
1352_11338,2006,United Kingdom,Human,Human,Human,GBR
1352_11775,2008,United Kingdom,Human,Human,Human,GBR
1352_1843,2015,United Kingdom,Human,Human,Human,GBR
1352_17835,2017,Germany,Human,,,DEU
1352_11716,2004,United Kingdom,Human,Human,Human,GBR
1352_11690,2004,United Kingdom,Human,Human,Human,GBR
1352_1885,2015,United Kingdom,Human,Human,Human,GBR
1352_11702,2004,Ireland,Human,Human,Human,IRL
1352_1789,2015,United Kingdom,Human,Human,Human,GBR
1352_1912,2015,United Kingdom,Human,Human,Human,GBR
1352_10974,2003,Australia,Human,Human,Human,AUS
1352_10948,2005,Australia,Human,Human,Human,AUS
1352_7867,2018,USA,Human,Human,Human,USA
1352_7846,2014,Pakistan,Human,Human,Human,PAK
1352_1915,2015,United Kingdom,Human,Human,Human,GBR
1352_7872,2018,USA,Human,Human,Human,USA
1352_1786,2015,United Kingdom,Human,Human,Human,GBR
1352_11826,2009,United Kingdom,Human,Human,Human,GBR
1352_11781,2008,United Kingdom,Human,Human,Human,GBR
1352_17800,2017,Germany,Human,,,DEU
1352_1565,2011,Australia,Human,Human,Human,AUS
1352_18034,2015,Australia,Human,,,AUS
1352_17819,2017,Germany,Human,,,DEU
1352_11883,2012,United Kingdom,Human,Human,Human,GBR
1352_11884,2012,United Kingdom,Human,Human,Human,GBR
1352_11600,2011,United Kingdom,Human,Human,Human,GBR
1352_1798,2015,United Kingdom,Human,Human,Human,GBR
1352_11935,2011,United Kingdom,Human,Human,Human,GBR
1352_7847,2014,Pakistan,Human,Human,Human,PAK
1352_11563,2011,Ireland,Human,Human,Human,IRL
1352_10967,2008,Australia,Human,Human,Human,AUS
1352_17823,2017,Germany,Human,,,DEU
1352_11791,2009,United Kingdom,Human,Human,Human,GBR
1352_11364,2006,United Kingdom,Human,Human,Human,GBR
1352_17808,2017,Germany,Human,,,DEU
1352_11456,2009,United Kingdom,Human,Human,Human,GBR
1352_1491,2006,Australia,Human,Human,Human,AUS
1352_11730,2007,United Kingdom,Human,Human,Human,GBR
1352_7878,2014,Pakistan,Human,Human,Human,PAK
1352_11877,2012,United Kingdom,Human,Human,Human,GBR
1352_8031,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_8029,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11315,2005,United Kingdom,Human,Human,Human,GBR
1352_11865,2011,United Kingdom,Human,Human,Human,GBR
1352_1891,2015,United Kingdom,Human,Human,Human,GBR
1352_1799,2015,United Kingdom,Human,Human,Human,GBR
1352_1488,2012,Australia,Human,Human,Human,AUS
1352_11462,2009,Ireland,Human,Human,Human,IRL
1352_7859,2018,USA,Human,Human,Human,USA
1352_7973,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11582,2002,United Kingdom,Human,Human,Human,GBR
1352_18023,2017,Australia,Human,,,AUS
1352_11506,2010,United Kingdom,Human,Human,Human,GBR
1352_1923,2015,United Kingdom,Human,Human,Human,GBR
1352_11770,2008,United Kingdom,Human,Human,Human,GBR
1352_8033,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11913,2008,United Kingdom,Human,Human,Human,GBR
1352_17801,2017,Germany,Human,,,DEU
1352_8042,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11789,2009,United Kingdom,Human,Human,Human,GBR
1352_17910,2015,Australia,Human,,,AUS
1352_1568,2006,Australia,Human,Human,Human,AUS
1352_17939,2015,Australia,Human,,,AUS
1352_17956,2013,Australia,Human,,,AUS
1352_12015,2007,United Kingdom,Human,Human,Human,GBR
1352_17805,2017,Germany,Human,,,DEU
1352_7865,2018,USA,Human,Human,Human,USA
1352_1875,2015,United Kingdom,Human,Human,Human,GBR
1352_1847,2015,United Kingdom,Human,Human,Human,GBR
1352_18006,2018,Australia,Human,,,AUS
1352_11312,2005,United Kingdom,Human,Human,Human,GBR
1352_8052,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_17839,2017,Germany,Human,,,DEU
1352_17945,2015,Australia,Human,,,AUS
1352_11848,2011,United Kingdom,Human,Human,Human,GBR
1352_8018,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_11797,2009,United Kingdom,Human,Human,Human,GBR
1352_11304,2005,United Kingdom,Human,Human,Human,GBR
1352_1765,2015,United Kingdom,Human,Human,Human,GBR
1352_1785,2015,United Kingdom,Human,Human,Human,GBR
1352_11939,2010,United Kingdom,Human,Human,Human,GBR
1352_11772,2009,United Kingdom,Human,Human,Human,GBR
1352_10968,2008,Australia,Human,Human,Human,AUS
1352_18049,2015,Australia,Human,,,AUS
1352_1850,2015,United Kingdom,Human,Human,Human,GBR
1352_17907,2015,Australia,Human,,,AUS
1352_1769,2015,United Kingdom,Human,Human,Human,GBR
1352_11519,2001,United Kingdom,Human,Human,Human,GBR
1352_17826,2017,Germany,Human,,,DEU
1352_11489,2001,United Kingdom,Human,Human,Human,GBR
1352_8026,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_17965,2014,New Zealand,Human,,,NZL
1352_11920,2012,United Kingdom,Human,Human,Human,GBR
1352_11876,2012,United Kingdom,Human,Human,Human,GBR
1352_11318,2005,United Kingdom,Human,Human,Human,GBR
1352_11854,2011,United Kingdom,Human,Human,Human,GBR
1352_1925,2015,United Kingdom,Human,Human,Human,GBR
1352_11491,2010,Ireland,Human,Human,Human,IRL
1352_1817,2015,United Kingdom,Human,Human,Human,GBR
1352_7863,2018,USA,Human,Human,Human,USA
1352_11639,2002,United Kingdom,Human,Human,Human,GBR
1352_17931,2015,Australia,Human,,,AUS
1352_11721,2006,United Kingdom,Human,Human,Human,GBR
1352_11956,2007,United Kingdom,Human,Human,Human,GBR
1352_1858,2015,United Kingdom,Human,Human,Human,GBR
1352_17796,2017,Germany,Human,,,DEU
1352_11393,2007,United Kingdom,Human,Human,Human,GBR
1352_11468,2009,United Kingdom,Human,Human,Human,GBR
1352_11868,2011,United Kingdom,Human,Human,Human,GBR
1352_11576,2011,United Kingdom,Human,Human,Human,GBR
1352_11729,2007,United Kingdom,Human,Human,Human,GBR
1352_11557,2011,United Kingdom,Human,Human,Human,GBR
1352_11471,2009,United Kingdom,Human,Human,Human,GBR
1352_7974,2002,New Zealand,Chicken,Chicken,Avian,NZL
1352_17963,2013,Australia,Human,,,AUS
1352_11918,2007,United Kingdom,Human,Human,Human,GBR
1352_17955,2011,Australia,Human,,,AUS
1352_7875,2018,USA,Human,Human,Human,USA
1352_11332,2006,United Kingdom,Human,Human,Human,GBR
1352_7866,2018,USA,Human,Human,Human,USA
1352_12012,2008,United Kingdom,Human,Human,Human,GBR
1352_18031,2018,Australia,Human,,,AUS
1352_1900,2015,United Kingdom,Human,Human,Human,GBR
1352_17922,2008,Australia,Human,,,AUS
1352_17811,2017,Germany,Human,,,DEU
1352_17884,2015,Australia,Human,,,AUS
1352_10942,2000,Australia,Human,Human,Human,AUS
1352_1468,2011,Australia,Human,Human,Human,AUS
1352_11573,2011,United Kingdom,Human,Human,Human,GBR
1352_1579,2011,Australia,Human,Human,Human,AUS
1352_1899,2015,United Kingdom,Human,Human,Human,GBR
1352_17810,2017,Germany,Human,,,DEU
1352_11728,2007,United Kingdom,Human,Human,Human,GBR
1352_1490,2012,Australia,Human,Human,Human,AUS
1352_17798,2017,Germany,Human,,,DEU
1352_11799,2009,United Kingdom,Human,Human,Human,GBR
1352_18004,2017,Australia,Human,,,AUS
1352_17871,2015,Australia,Human,,,AUS
1352_17829,2017,Germany,Human,,,DEU
1352_17820,2017,Germany,Human,,,DEU
1352_7888,2018,USA,Human,Human,Human,USA
1352_11886,2012,United Kingdom,Human,Human,Human,GBR
1352_17983,2017,Australia,Human,,,AUS
1352_8017,2002,New Zealand,Chicken,Chicken,Avian,NZL
