,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Fosfomycin,Lipopeptide,Macrolide,Nitrofurans,Penicilin,Phenicol,Tetracycline
562_7703,R,,S,S,R,R,,,R,S,R,S,R
1438670_3,S,R,R,R,R,R,,,,,R,,R
562_23090,S,R,S,R,S,,,,,,S,,S
562_140762,R,R,S,S,R,S,,R,,,R,,S
562_140838,R,R,S,R,R,R,,,,S,R,,R
562_23301,S,S,S,S,S,,,,,,S,,S
562_42848,S,R,S,R,R,R,,R,,,R,,R
562_65787,S,R,S,S,R,S,,,,,R,R,R
562_140977,R,,S,R,R,,,,,,,,S
562_22588,R,R,S,R,R,R,,,,,R,,S
562_42639,S,S,S,R,R,R,,,,S,R,,R
562_7680,S,,S,S,S,S,,,S,S,R,S,S
562_141423,R,,S,S,R,,,R,,,R,,R
562_22859,S,S,S,S,S,,,,,,S,,
562_104199,R,R,S,,R,R,S,,,,,,
562_22738,S,S,S,S,S,S,,,,,S,,S
562_57382,R,S,,R,R,R,,,,,R,,
1400157_3,R,R,R,R,R,S,,,,,R,,S
562_7742,S,,S,S,R,S,,,S,S,S,S,S
562_58725,R,,S,S,R,R,,R,,,R,S,R
562_22913,S,S,S,S,S,,,,,,S,,S
562_141217,S,,,R,R,,,,,,R,,R
562_23690,S,S,S,S,S,,,,,,S,,S
562_52599,R,R,R,R,R,R,R,R,,R,,,R
562_7778,R,,S,S,S,R,,,S,S,R,S,R
562_22767,S,S,S,S,R,R,,,,,R,,S
562_141412,S,,S,S,S,,,R,,,R,,S
562_23232,S,S,S,S,S,,,,,,S,,S
562_22799,S,S,S,S,S,S,,,,,S,,S
562_22499,R,R,S,R,R,R,,,,,R,,S
562_144982,S,S,S,S,S,R,,,S,,S,S,R
562_23104,S,R,S,S,S,,,,,,S,,S
562_45592,R,R,S,R,R,S,S,,,R,R,R,R
562_23895,R,R,S,R,R,,,,,,R,,S
562_42816,S,R,S,R,R,R,,,,,R,,
562_23843,S,S,S,S,S,,,,,,S,,S
562_31458,S,S,,R,S,R,,,,,R,S,
562_141443,S,,S,R,R,,,R,,,R,,R
562_42810,R,R,S,R,R,R,,,,,R,,
562_23407,S,S,S,S,S,,,,,,S,,S
562_141440,S,,S,R,R,,,R,,,R,,R
562_23350,S,S,S,S,S,,,,,,R,,S
562_140867,S,R,S,R,R,R,,,,S,R,,R
562_22793,S,R,S,R,S,S,,,,,R,,S
562_23919,S,S,S,S,S,,,,,,S,,S
562_22658,S,S,S,S,S,S,,,,,R,,S
562_141399,S,,S,R,S,S,,,,,R,S,S
562_22727,S,R,S,S,S,S,,,,,R,,S
562_140854,S,S,S,R,R,S,,,,S,R,,S
562_140720,S,R,S,R,,S,,R,,,R,,R
562_7752,R,,S,S,S,R,,,S,S,R,S,R
562_23508,S,R,S,R,R,,,,,,R,,S
562_42651,S,S,S,R,R,R,,,,S,R,,R
562_141452,S,,S,S,R,,,R,,,R,,R
562_23555,S,S,S,S,S,,,,,,S,,S
562_141015,S,,S,R,R,,,,,,,,S
562_22520,S,S,S,R,S,R,,,,,R,,S
562_23106,S,R,S,S,S,,,,,,S,,S
562_140830,S,S,S,R,R,S,,,,S,R,,S
562_140775,S,R,S,S,,R,,R,,,R,,S
562_23168,S,S,S,S,S,,,,,,S,,S
562_144993,S,S,S,S,S,S,,,S,,S,S,S
562_140820,S,S,S,S,,S,,R,,,S,,S
562_22513,S,S,S,S,S,S,,,,,S,,S
562_42863,R,R,S,R,R,R,,R,,,R,,R
562_23473,S,R,S,S,S,,,,,,R,,S
562_22608,S,S,S,S,S,S,,,,,S,,S
562_7636,S,,S,S,S,S,,,S,S,S,S,R
562_23286,R,R,S,R,R,,,,,,R,,S
562_22621,S,S,S,S,S,S,,,,,S,,S
562_45631,R,S,S,S,R,R,S,,,S,R,R,R
562_22626,S,R,S,R,R,S,,,,,R,,S
562_42740,S,S,S,R,R,S,,,,S,R,,R
562_42811,S,R,S,R,R,S,,,,,R,,
562_7740,S,,S,S,S,R,,,R,S,R,S,R
562_22781,S,S,S,S,S,S,,,,,S,,S
562_23635,S,S,S,S,S,,,,,,R,,S
562_22448,S,S,S,S,S,S,,,,,S,,S
562_7633,R,,S,S,S,R,,,S,S,R,S,R
1328443_3,,R,R,R,R,,,,,,,,
562_23466,R,S,S,S,S,,,,,,R,,S
562_22792,S,S,S,R,S,R,,,,,R,,S
562_22435,S,R,S,R,S,R,,,,,R,,S
562_23512,S,S,S,S,S,,,,,,S,,S
562_42829,S,R,R,R,R,S,,R,,,R,,S
562_45616,R,S,S,S,R,S,S,,,,R,S,R
562_42695,S,S,S,R,R,S,,,,S,R,,S
1438673_3,S,S,S,S,S,S,,,,,S,,
562_22832,S,R,S,S,S,,,,,,R,,
