Genome ID,Isolation Country,Country Code,Collection Year,Host Name,Host Common Name,Host Gender,Host Health,Host Group,Country Code.1
562_7703,India,IND,2009,Human,Human,,,Human,IND
1438670_3,USA,USA,2013,Human,Human,,,Human,USA
562_23090,United Kingdom,GBR,2004,Human,Human,,,Human,GBR
562_140762,Denmark,DNK,2018,Human,,,,,DNK
562_140838,USA,USA,2017,Human,,,,,USA
562_23301,United Kingdom,GBR,2006,Human,Human,,,Human,GBR
562_42848,USA,USA,2014,Human,Human,,,Human,USA
562_65787,United Kingdom,GBR,2007,Cow,Cow,,diseased,Nonhuman Mammal,GBR
562_140977,Germany,DEU,2015,Human,,,,,DEU
562_22588,United Kingdom,GBR,2009,Human,Human,,,Human,GBR
562_42639,USA,USA,2015,Human,Human,female,,Human,USA
562_7680,Kenya,KEN,2010,Human,Human,,,Human,KEN
562_141423,United Kingdom,GBR,2014,Pig,,,healthy,,GBR
562_22859,United Kingdom,GBR,2001,Human,Human,,,Human,GBR
562_104199,Japan,JPN,2016,Human,Human,,Bacteremia,Human,JPN
562_22738,United Kingdom,GBR,2012,Human,Human,,,Human,GBR
562_57382,Thailand,THA,2015,Human,Human,,,Human,THA
1400157_3,USA,USA,2012,Human,Human,,,Human,USA
562_7742,India,IND,2010,Human,Human,,,Human,IND
562_58725,Italy,ITA,2014,Turkey,Turkey,,,Avian,ITA
562_22913,United Kingdom,GBR,2002,Human,Human,,,Human,GBR
562_141217,Germany,DEU,2011,Human,,,,,DEU
562_23690,United Kingdom,GBR,2010,Human,Human,,,Human,GBR
562_140792,Denmark,DNK,2018,Human,,,,,DNK
562_52599,China,CHN,2015,Insect,,,,,CHN
562_7778,Kenya,KEN,2009,Human,Human,,,Human,KEN
562_22767,United Kingdom,GBR,2012,Human,Human,,,Human,GBR
562_141412,United Kingdom,GBR,2014,Pig,,,healthy,,GBR
562_23232,United Kingdom,GBR,2005,Human,Human,,,Human,GBR
562_22799,United Kingdom,GBR,2012,Human,Human,,,Human,GBR
562_22499,United Kingdom,GBR,2008,Human,Human,,,Human,GBR
562_144982,Portugal,PRT,2014,Human,,,,,PRT
562_23104,United Kingdom,GBR,2004,Human,Human,,,Human,GBR
562_45592,Pakistan,PAK,2016,Chicken,Chicken,,,Avian,PAK
562_52614,China,CHN,2015,Chicken,Chicken,,,Avian,CHN
562_23895,United Kingdom,GBR,2011,Human,Human,,,Human,GBR
562_42830,USA,USA,2014,Human,Human,,,Human,USA
562_42816,USA,USA,2015,Human,Human,male,,Human,USA
562_23843,United Kingdom,GBR,2011,Human,Human,,,Human,GBR
562_31458,Tanzania,TZA,2014,Human,Human,,,Human,TZA
562_141443,United Kingdom,GBR,2014,Pig,,,healthy,,GBR
562_42810,USA,USA,2014,Human,Human,female,,Human,USA
562_23407,United Kingdom,GBR,2008,Human,Human,,,Human,GBR
562_141440,United Kingdom,GBR,2014,Pig,,,healthy,,GBR
562_23350,United Kingdom,GBR,2007,Human,Human,,,Human,GBR
562_140867,USA,USA,2017,Human,,,,,USA
562_22793,United Kingdom,GBR,2012,Human,Human,,,Human,GBR
562_23919,United Kingdom,GBR,2009,Human,Human,,,Human,GBR
562_140754,Denmark,DNK,2018,Human,,,,,DNK
562_135583,India,IND,2020,Human,Human,,,Human,IND
562_22658,United Kingdom,GBR,2010,Human,Human,,,Human,GBR
562_141399,Denmark,DNK,2016,Chicken,,,,,DNK
562_22727,United Kingdom,GBR,2011,Human,Human,,,Human,GBR
562_140854,USA,USA,2017,Human,,,,,USA
562_140720,Denmark,DNK,2018,Human,,,,,DNK
562_7752,Kenya,KEN,2009,Human,Human,,,Human,KEN
562_23508,United Kingdom,GBR,2009,Human,Human,,,Human,GBR
562_42651,USA,USA,2015,Human,Human,female,,Human,USA
562_141452,United Kingdom,GBR,2015,Pig,,,healthy,,GBR
562_23555,United Kingdom,GBR,2007,Human,Human,,,Human,GBR
562_141015,Germany,DEU,2015,Human,,,,,DEU
562_42839,USA,USA,2014,Human,Human,,,Human,USA
562_22520,United Kingdom,GBR,2008,Human,Human,,,Human,GBR
562_23106,United Kingdom,GBR,2004,Human,Human,,,Human,GBR
562_140830,USA,USA,2017,Human,,,,,USA
562_140775,Denmark,DNK,2018,Human,,,,,DNK
562_23168,United Kingdom,GBR,2004,Human,Human,,,Human,GBR
562_144993,Portugal,PRT,2020,Deer,,,,,PRT
562_140820,Denmark,DNK,2018,Human,,,,,DNK
562_22513,United Kingdom,GBR,2008,Human,Human,,,Human,GBR
562_42863,USA,USA,2014,Human,Human,,,Human,USA
562_23473,United Kingdom,GBR,2007,Human,Human,,,Human,GBR
562_22608,United Kingdom,GBR,2009,Human,Human,,,Human,GBR
562_7636,Mali,MLI,2010,Human,Human,,,Human,MLI
562_23286,United Kingdom,GBR,2005,Human,Human,,,Human,GBR
562_22621,United Kingdom,GBR,2010,Human,Human,,,Human,GBR
562_45631,Pakistan,PAK,2016,Chicken,Chicken,,,Avian,PAK
562_22626,United Kingdom,GBR,2010,Human,Human,,,Human,GBR
562_42740,USA,USA,2017,Human,Human,female,,Human,USA
562_42811,USA,USA,2014,Human,Human,male,,Human,USA
562_7740,India,IND,2008,Human,Human,,,Human,IND
562_22781,United Kingdom,GBR,2012,Human,Human,,,Human,GBR
562_23635,United Kingdom,GBR,2010,Human,Human,,,Human,GBR
562_140763,Denmark,DNK,2018,Human,,,,,DNK
562_22448,United Kingdom,GBR,2007,Human,Human,,,Human,GBR
562_7633,Kenya,KEN,2008,Human,Human,,,Human,KEN
1328443_3,USA,USA,2010,Human,Human,,,Human,USA
562_23466,United Kingdom,GBR,2006,Human,Human,,,Human,GBR
562_65788,United Kingdom,GBR,2007,Cow,Cow,,diseased,Nonhuman Mammal,GBR
562_22792,United Kingdom,GBR,2012,Human,Human,,,Human,GBR
562_22435,United Kingdom,GBR,2007,Human,Human,,,Human,GBR
562_23512,United Kingdom,GBR,2008,Human,Human,,,Human,GBR
562_42829,USA,USA,2014,Human,Human,,,Human,USA
562_45616,Pakistan,PAK,2016,Chicken,Chicken,,,Avian,PAK
562_42695,USA,USA,2016,Human,Human,female,,Human,USA
1438673_3,USA,USA,2013,Human,Human,,,Human,USA
562_22832,United Kingdom,GBR,2001,Human,Human,,,Human,GBR
562_42826,USA,USA,2012,Human,Human,,,Human,USA
562_141307,Denmark,DNK,2016,Chicken,,,,,DNK
562_141112,Germany,DEU,2015,Human,,,,,DEU
562_140821,Denmark,DNK,2018,Human,,,,,DNK
562_141266,Germany,DEU,2009,Dog,,,,,DEU
562_23800,United Kingdom,GBR,2004,Human,Human,,,Human,GBR
562_23366,United Kingdom,GBR,2007,Human,Human,,,Human,GBR
562_23827,United Kingdom,GBR,2009,Human,Human,,,Human,GBR
562_23463,United Kingdom,GBR,2006,Human,Human,,,Human,GBR
562_22693,United Kingdom,GBR,2011,Human,Human,,,Human,GBR
562_42814,USA,USA,2014,Human,Human,male,,Human,USA
562_7707,India,IND,2009,Human,Human,,,Human,IND
562_23322,United Kingdom,GBR,2006,Human,Human,,,Human,GBR
562_22700,United Kingdom,GBR,2011,Human,Human,,,Human,GBR
562_140712,Denmark,DNK,2018,Human,,,,,DNK
562_23747,United Kingdom,GBR,2011,Human,Human,,,Human,GBR
562_23923,United Kingdom,GBR,2009,Human,Human,,,Human,GBR
562_23884,United Kingdom,GBR,2008,Human,Human,,,Human,GBR
562_22937,United Kingdom,GBR,2002,Human,Human,,,Human,GBR
562_7743,Kenya,KEN,2009,Human,Human,,,Human,KEN
562_23570,United Kingdom,GBR,2009,Human,Human,,,Human,GBR
