Genome ID,amikacin,aminoglycosides,amoxicillin,amoxicillin_clavulanic acid,ampicillin,ampicillin_sulbactam,aztreonam,beta-lactam,cefazolin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftriaxone,cefuroxime,cephalothin,chloramphenicol,ciprofloxacin,colistin,doripenem,doxycycline,ertapenem,extended spectrum beta lactamase,fluoroquinolones,gentamicin,imipenem,levofloxacin,meropenem,minocycline,nitrofurantoin,piperacillin_tazobactam,polymyxin B,tetracycline,ticarcillin_clavulanic acid,tigecycline,tobramycin,trimethoprim,trimethoprim_sulfamethoxazole,trimethoprim_sulfobactam
573_14261,R,,,,R,R,R,,R,R,,S,R,R,R,,,R,,,,,,,R,S,R,S,,R,R,,S,,,R,,R,
573_14341,S,,,,R,R,R,,R,S,,R,R,R,R,,,R,,,,,,,S,S,R,S,,R,R,,S,,,S,,R,
573_7060,,,R,R,,,,,,,R,S,R,,R,,,R,,,,,,,R,S,,,R,,R,,R,,R,,,,
573_46250,,R,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,
573_66627,,,,,,,,,,,S,,R,,,,,S,,,,,S,,S,,,S,,,,,,,,,,S,
573_13169,R,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,S,R,R,R,,R,R,,S,,,R,,S,
573_13819,R,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,R,R,R,R,,R,R,,R,,,R,,R,
573_26161,S,,,,R,S,S,,S,S,,,S,S,,,,S,,,,S,,,S,,,S,,R,S,,,,S,,,,S
573_13448,R,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,S,R,R,R,,,R,,S,,,R,,S,
573_14548,S,,,,R,R,R,,R,R,,S,R,R,R,,,R,,,,,,,R,S,R,S,,,R,,S,,,R,,S,
1438776_3,R,,,,R,R,,,R,,R,R,R,,,R,,R,,,,R,,,R,R,R,R,,R,,,,,S,,,R,
573_13301,S,,,,R,R,R,,R,R,,S,R,R,R,,,R,,,,,,,R,S,S,S,,R,R,,R,,,R,,R,
573_14073,S,,,,R,R,S,,S,S,,R,S,R,R,,,S,,,,,,,S,S,S,S,,R,R,,R,,,S,,R,
573_13292,S,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,S,R,R,R,,R,R,,S,,,S,,R,
573_5767,R,,,,R,R,R,,R,R,R,R,R,,,,R,R,R,,,,,,S,R,,R,S,,R,R,S,,R,R,,R,
573_13076,R,,,,R,R,R,,R,S,,S,R,R,R,,,R,,,,,,,S,S,R,S,,,R,,R,,,R,,R,
573_46857,R,,,R,,,S,,,R,,,R,R,,,,R,R,,,R,,,R,,R,R,,R,R,,,,S,,,R,
573_14369,S,,,,R,R,R,,R,S,,S,R,R,R,,,R,,,,,,,S,S,R,S,,S,R,,R,,,R,,S,
573_14419,S,,,,R,R,R,,R,S,,R,R,R,R,,,R,,,,,,,S,R,R,R,,,R,,S,,,S,,R,
573_31602,R,,,R,R,,,,,R,R,R,R,,,,,R,R,,,R,,,R,R,,R,,,R,,,,R,,,,
573_46273,,S,,,,,,S,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,S,,
573_13256,S,,,,R,R,R,,R,R,,S,R,R,R,,,R,,,,,,,R,S,R,S,,R,R,,S,,,R,,R,
573_14480,R,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,S,R,R,R,,R,R,,R,,,R,,R,
573_14297,S,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,S,S,S,S,,R,R,,R,,,S,,R,
573_13311,S,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,R,S,R,S,,R,R,,R,,,S,,R,
72407_690,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,
573_14260,R,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,S,R,R,R,,,R,,S,,,R,,R,
573_33396,R,,,R,R,,R,,,,,,R,R,R,,,R,S,,,R,,,R,,,S,,,R,,,,,,,R,
573_24336,S,,,R,R,,R,,R,R,R,R,R,R,,,,R,R,R,,R,,,R,R,R,R,,,R,R,R,,R,R,,R,
573_26181,S,,,,R,S,S,,S,S,,,S,S,,,,S,,,,S,,,S,,,S,,S,S,,,,S,,,,S
72407_183,R,,,,,,R,,,R,R,,R,,,,,R,R,S,R,S,,,R,S,R,S,R,,R,R,,R,R,R,,R,
573_13763,S,,,,R,R,S,,S,S,,R,S,R,R,,,S,,,,,,,S,S,S,S,,,R,,R,,,S,,R,
573_13095,S,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,R,R,R,R,,R,R,,R,,,R,,R,
573_13034,R,,,,R,R,R,,R,,,R,R,R,R,,,R,,,,,,,R,R,R,R,,R,R,,S,,,R,,R,
573_66921,,,,,,,,,,,R,,R,,,,,R,,,,,R,,R,,,S,,,,,,,,,,R,
1328383_3,R,,,,R,,,,,,R,,R,,,,,R,,,,R,,,R,R,R,R,,,,,,,S,,,,
573_14313,R,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,S,R,R,R,,,R,,S,,,R,,R,
573_14125,R,,,,R,R,R,,R,R,,R,R,R,R,,,R,,,,,,,R,S,R,S,,,R,,S,,,R,,R,
72407_165,R,,,,,,R,,,R,R,,R,,,,,R,R,R,S,R,,,S,R,R,R,S,,R,R,,R,S,R,,R,
573_21610,,,,,,,,,,,,,,,,,,,S,,,,,,,,,S,,,,,,,,,,,
573_13159,R,,,,R,R,S,,R,S,,R,R,R,R,,,R,,,,,,,R,S,R,S,,R,R,,R,,,R,,R,
1304918_4,S,,,,,,R,,,R,R,,R,,,,,R,S,R,S,R,,,S,R,R,R,R,,R,S,,R,S,R,,R,
573_14302,S,,,,R,R,S,,R,S,,R,S,R,R,,,S,,,,,,,S,S,S,S,,R,R,,R,,,S,,R,
573_13232,R,,,,R,R,R,,R,,,R,R,R,R,,,R,,,,,,,S,S,R,S,,,R,,R,,,R,,S,
