,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Lipopeptide,Nitrofurans,Penicilin,Phenicol,Tetracycline
573_14261,R,R,S,R,R,R,,R,R,,S
573_14341,S,R,S,R,R,R,,R,R,,S
573_7060,R,R,S,R,R,,,,R,,R
573_46250,,,,,,R,,,,,
573_66627,S,,S,R,S,S,,,,,
573_13169,R,R,R,R,R,S,,R,R,,S
573_13819,R,R,R,R,R,R,,R,R,,R
573_26161,S,S,S,S,S,,,R,R,,S
573_13448,R,R,R,R,R,S,,,R,,S
573_14548,R,R,S,R,R,S,,,R,,S
1438776_3,R,R,R,R,R,R,,R,R,,S
573_13301,R,R,S,R,R,R,,R,R,,R
573_14073,S,R,S,R,S,R,,R,R,,R
573_13292,S,R,R,R,R,R,,R,R,,S
573_5767,R,R,R,R,R,R,R,,R,R,R
573_13076,R,R,S,R,R,R,,,R,,R
573_46857,R,R,R,R,R,R,R,R,,,S
573_14369,R,R,S,R,R,S,,S,R,,R
573_14419,S,R,R,R,R,R,,,R,,S
573_31602,R,R,R,R,R,,R,,R,,R
573_46273,,,,,,S,,,,,
573_13256,R,R,S,R,R,R,,R,R,,S
573_14480,R,R,R,R,R,R,,R,R,,R
573_14297,S,R,S,R,R,R,,R,R,,R
573_13311,R,R,S,R,R,R,,R,R,,R
72407_690,,,,R,,,,,,,
573_14260,R,R,R,R,R,R,,,R,,S
573_33396,R,R,R,R,R,R,S,,R,,
573_24336,R,R,R,R,R,R,R,,R,,R
573_26181,S,S,S,S,S,,,S,R,,S
72407_183,R,R,S,R,R,R,R,,,,R
573_13763,S,R,S,R,S,R,,,R,,R
573_13095,R,R,R,R,R,R,,R,R,,R
573_13034,R,R,R,R,R,R,,R,R,,S
573_66921,R,,S,R,R,R,,,,,
1328383_3,R,,R,R,R,,,,R,,S
573_14313,R,R,R,R,R,R,,,R,,S
573_14125,R,R,S,R,R,R,,,R,,S
72407_165,R,R,R,R,R,R,R,,,,S
573_21610,,,S,,,,S,,,,
573_13159,R,R,S,R,R,R,,R,R,,R
1304918_4,R,R,R,R,R,R,S,,,,R
573_14302,S,R,S,R,S,R,,R,R,,R
573_13232,R,R,S,R,R,S,,,R,,R
573_13878,R,R,S,R,R,R,,,R,,S
573_26200,S,S,S,S,S,,,R,R,,S
573_67044,S,,S,S,S,S,,,,,
573_5794,R,R,R,R,R,R,,,R,,R
573_13335,R,R,S,R,R,R,,R,R,,R
573_14042,R,R,S,R,R,R,,,R,,R
573_13352,S,R,S,R,R,S,,,R,,S
