Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
573_14261,2012,USA,Human,Human,Human,USA
573_14341,2013,USA,Human,Human,Human,USA
573_7060,2007,United Kingdom,Human,Human,Human,GBR
573_46250,2011,United Kingdom,Human,,,GBR
573_66627,2015,Norway,Human,,,NOR
573_13169,2014,USA,Human,Human,Human,USA
573_13819,2015,USA,Human,Human,Human,USA
573_26161,2018,Saint Lucia,Human,,,LCA
573_13448,2014,USA,Human,Human,Human,USA
573_14548,2013,USA,Human,Human,Human,USA
1438776_3,2013,USA,Human,Human,Human,USA
573_13301,2014,USA,Human,Human,Human,USA
573_14073,2012,USA,Human,Human,Human,USA
573_13292,2014,USA,Human,Human,Human,USA
573_5767,2013,Greece,Human,Human,Human,GRC
573_13076,2013,USA,Human,Human,Human,USA
573_62734,2020,India,Human,Human,Human,IND
573_46857,2019,Italy,Human,,,ITA
573_14369,2013,USA,Human,Human,Human,USA
573_14419,2013,USA,Human,Human,Human,USA
573_31602,2013,Italy,Human,Human,Human,ITA
573_46273,2011,United Kingdom,Human,,,GBR
573_13256,2014,USA,Human,Human,Human,USA
573_14480,2013,USA,Human,Human,Human,USA
573_14297,2013,USA,Human,Human,Human,USA
573_13311,2014,USA,Human,Human,Human,USA
72407_690,2016,Thailand,Human,Human,Human,THA
573_14260,2012,USA,Human,Human,Human,USA
573_33396,2012,Nepal,Human,Human,Human,NPL
573_24336,2014,USA,Human,Human,Human,USA
573_26181,2018,Belize,Human,,,BLZ
72407_183,2009,USA,Human,Human,Human,USA
573_13763,2014,USA,Human,Human,Human,USA
573_13095,2013,USA,Human,Human,Human,USA
573_13034,2013,USA,Human,Human,Human,USA
573_66921,2013,Norway,Human,,,NOR
1328383_3,2012,USA,Human,Human,Human,USA
573_14313,2013,USA,Human,Human,Human,USA
573_14125,2012,USA,Human,Human,Human,USA
72407_165,2009,USA,Human,Human,Human,USA
573_21610,2013,Italy,Human,Human,Human,ITA
573_13159,2014,USA,Human,Human,Human,USA
1304918_4,2012,USA,Human,Human,Human,USA
573_14302,2013,USA,Human,Human,Human,USA
573_13232,2014,USA,Human,Human,Human,USA
573_13878,2015,USA,Human,Human,Human,USA
573_26200,2018,Barbados,Human,,,BRB
573_67044,2009,Norway,Human,,,NOR
573_5794,2015,Thailand,Human,Human,Human,THA
573_13335,2014,USA,Human,Human,Human,USA
573_14042,2012,USA,Human,Human,Human,USA
573_13352,2014,USA,Human,Human,Human,USA
573_13640,2014,USA,Human,Human,Human,USA
573_13414,2014,USA,Human,Human,Human,USA
573_13209,2014,USA,Human,Human,Human,USA
573_13970,2012,USA,Human,Human,Human,USA
573_14360,2013,USA,Human,Human,Human,USA
573_13098,2013,USA,Human,Human,Human,USA
573_67027,2009,Norway,Human,,,NOR
573_14024,2012,USA,Human,Human,Human,USA
573_13823,2012,USA,Human,Human,Human,USA
573_14475,2013,USA,Human,Human,Human,USA
573_46835,2019,Italy,Human,,,ITA
573_4217,2008,United Kingdom,Human,Human,Human,GBR
573_4185,2004,United Kingdom,Human,Human,Human,GBR
573_21856,2013,Italy,Human,Human,Human,ITA
1284814_3,2008,USA,Human,Human,Human,USA
573_26220,2018,Belize,Human,,,BLZ
573_21756,2013,Italy,Human,Human,Human,ITA
573_13330,2014,USA,Human,Human,Human,USA
573_14072,2012,USA,Human,Human,Human,USA
573_13960,2015,USA,Human,Human,Human,USA
573_13754,2014,USA,Human,Human,Human,USA
573_13545,2014,USA,Human,Human,Human,USA
573_26178,2018,Belize,Human,,,BLZ
573_13415,2014,USA,Human,Human,Human,USA
573_13461,2014,USA,Human,Human,Human,USA
573_14096,2012,USA,Human,Human,Human,USA
573_13427,2014,USA,Human,Human,Human,USA
573_62729,2016,India,Human,Human,Human,IND
573_13460,2014,USA,Human,Human,Human,USA
573_13967,2012,USA,Human,Human,Human,USA
573_14044,2012,USA,Human,Human,Human,USA
573_26256,2018,Barbados,Human,,,BRB
573_14540,2013,USA,Human,Human,Human,USA
573_14334,2013,USA,Human,Human,Human,USA
573_13831,2015,USA,Human,Human,Human,USA
573_31110,2000,Malawi,Human,Human,Human,MWI
573_14107,2012,USA,Human,Human,Human,USA
573_13444,2014,USA,Human,Human,Human,USA
573_14503,2013,USA,Human,Human,Human,USA
573_13084,2013,USA,Human,Human,Human,USA
573_15451,2012,Nepal,Human,Human,Human,NPL
573_5636,2013,Greece,Human,Human,Human,GRC
573_13370,2014,USA,Human,Human,Human,USA
1328415_3,2010,USA,Human,Human,Human,USA
573_20675,2013,Italy,Human,Human,Human,ITA
573_4199,2006,United Kingdom,Human,Human,Human,GBR
573_13758,2014,USA,Human,Human,Human,USA
573_4200,2006,United Kingdom,Human,Human,Human,GBR
573_13858,2015,USA,Human,Human,Human,USA
573_13655,2014,USA,Human,Human,Human,USA
573_24287,2016,USA,Human,Human,Human,USA
573_14173,2012,USA,Human,Human,Human,USA
573_13656,2014,USA,Human,Human,Human,USA
573_24271,2013,USA,Human,Human,Human,USA
573_14303,2013,USA,Human,Human,Human,USA
573_14426,2013,USA,Human,Human,Human,USA
573_13516,2014,USA,Human,Human,Human,USA
573_66861,2009,Norway,Human,,,NOR
573_26129,2018,Grenada,Human,,,GRD
573_7057,2005,United Kingdom,Human,Human,Human,GBR
1087440_3,2011,USA,Human,Human,Human,USA
573_14343,2013,USA,Human,Human,Human,USA
573_15436,2012,Nepal,Human,Human,Human,NPL
573_13713,2014,USA,Human,Human,Human,USA
573_13378,2014,USA,Human,Human,Human,USA
573_46875,2019,Italy,Human,,,ITA
573_26136,2018,Dominica,Human,,,DMA
573_15444,2012,Nepal,Human,Human,Human,NPL
573_14286,2013,USA,Human,Human,Human,USA
573_13147,2013,USA,Human,Human,Human,USA
573_14373,2013,USA,Human,Human,Human,USA
573_24397,2014,USA,Human,Human,Human,USA
573_14160,2012,USA,Human,Human,Human,USA
573_14390,2013,USA,Human,Human,Human,USA
573_4162,2006,United Kingdom,Human,Human,Human,GBR
573_24248,2013,USA,Human,Human,Human,USA
573_13462,2014,USA,Human,Human,Human,USA
573_14219,2012,USA,Human,Human,Human,USA
573_62725,2020,India,Human,Human,Human,IND
1284819_3,2008,USA,Human,Human,Human,USA
573_65891,2018,Denmark,Human,,,DNK
573_67111,2009,Norway,Human,,,NOR
1304916_4,2011,USA,Human,Human,Human,USA
573_14199,2012,USA,Human,Human,Human,USA
1284831_3,2011,USA,Human,Human,Human,USA
573_24417,2013,USA,Human,Human,Human,USA
1284811_3,2007,USA,Human,Human,Human,USA
573_13578,2014,USA,Human,Human,Human,USA
573_14119,2012,USA,Human,Human,Human,USA
573_24257,2015,USA,Human,Human,Human,USA
573_13778,2015,USA,Human,Human,Human,USA
573_46866,2019,Italy,Human,,,ITA
