norm_cassette_id,CfxA~~~ISBf8@IS4@ISPepr1,Erm(37)~~~IS987@IS3@IS51,IS987@IS3@IS51~~~Rv1877
1400870_3,0,0,1
1402583_3,0,0,1
1423563_3,0,0,1
1423571_3,0,0,1
1773_1580,0,0,1
1773_15861,1,0,0
1773_15998,0,0,0
1773_1902,0,0,0
1773_1687,0,0,0
1773_29492,0,0,0
1773_15742,0,0,0
1773_16319,0,0,0
1773_16032,0,0,0
1423462_3,0,0,0
1448619_3,0,0,0
1773_16154,0,0,0
1438860_3,0,0,0
1448822_3,0,0,0
1773_978,0,0,0
1773_1882,0,0,0
1773_16260,0,0,0
1422095_3,0,0,0
1773_16200,0,0,0
1324246_3,0,0,0
1773_1675,0,0,0
1773_1468,0,0,0
1773_16233,0,0,0
1733_1734,0,0,0
1773_15878,0,0,0
1400918_3,0,0,0
1773_15287,0,0,0
1773_1963,0,0,0
1773_1105,0,0,0
1773_1078,0,0,0
1423523_3,0,0,0
1423493_3,0,0,0
1448453_3,0,0,0
1773_21043,0,0,0
1423441_3,0,0,0
1773_15271,0,0,0
1773_15409,0,0,0
1773_14989,0,0,0
1773_15333,0,0,0
1773_21730,0,0,0
1773_29392,0,0,0
1773_21142,0,0,0
1773_15524,0,0,0
1400894_3,0,0,0
1773_16217,0,0,0
1773_16103,0,0,0
1773_21051,0,0,0
1773_29397,0,0,0
1773_29520,0,0,0
1422040_3,0,0,0
1773_15185,0,0,0
1773_15739,0,0,0
1773_1806,0,0,0
1773_29627,0,0,0
1448512_3,0,0,0
1773_16158,0,0,0
1773_29526,0,0,0
1773_14847,0,0,0
1773_29494,0,0,0
1427308_3,0,0,0
1773_16351,0,0,0
1421928_3,0,0,0
1773_15804,0,0,0
1455305_3,0,0,0
1427251_3,0,0,0
1448490_3,0,0,0
1773_29451,0,0,0
1773_1621,0,0,0
1773_1814,0,0,0
1773_15528,0,0,0
1773_15293,0,0,0
1422054_3,0,0,0
1773_15561,0,0,0
1773_14908,0,0,0
1448623_3,0,0,0
1448771_3,0,0,0
1773_21014,0,0,0
1773_14922,0,0,0
1773_16092,0,0,0
1773_15897,0,0,0
1773_15275,0,0,0
1773_16018,0,0,0
1773_21703,0,0,0
1773_15334,0,0,0
1773_1539,0,0,0
1773_15219,0,0,0
1773_982,0,0,0
1455276_3,0,0,0
1448626_3,0,0,0
1773_1788,0,0,0
1773_14939,0,0,0
1422002_3,0,0,0
1773_1529,0,0,0
1773_29455,0,0,0
1773_15619,0,0,0
1773_21710,0,0,0
1773_1293,0,0,0
1773_15453,0,0,0
1773_20942,0,0,0
1421961_3,0,0,0
1324231_3,0,0,0
1773_1248,0,0,0
1773_1872,0,0,0
1448830_3,0,0,0
1427250_3,0,0,0
1773_974,0,0,0
1773_29566,0,0,0
1773_944,0,0,0
1773_15730,0,0,0
1448694_3,0,0,0
1773_16071,0,0,0
1773_1312,0,0,0
1773_1058,0,0,0
1773_1826,0,0,0
1773_1798,0,0,0
1773_14794,0,0,0
1447454_3,0,0,0
1324237_3,0,0,0
1773_1842,0,0,0
1773_16089,0,0,0
1427277_3,0,0,0
1773_1841,0,0,0
1773_15244,0,0,0
1773_15766,0,0,0
1773_16283,0,0,0
1773_16244,0,0,0
1773_15583,0,0,0
1773_15446,0,0,0
1773_15596,0,0,0
1448631_3,0,0,0
1773_15978,0,0,0
1447526_3,0,0,0
1397939_3,0,0,0
1423456_3,0,0,0
1773_990,0,0,0
1773_14865,0,0,0
1773_14961,0,0,0
1773_1281,0,0,0
1427195_3,0,0,0
1773_29614,0,0,0
