Genome ID,amikacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,moxifloxacin,nicotinamide,ofloxacin,para-aminosalycilic_acid,prothionamide,pyrazinamide,rifampicin,streptomycin
1773_20942,S,S,,R,,R,S,,,,,,,R,S
1773_20961,S,S,,S,,R,S,,,,,,,R,S
1773_1287,S,R,,R,,R,,R,,R,,R,S,R,R
1421991_3,,,,,,R,,,,,,,,R,
1773_29626,S,S,S,R,,R,,,,S,S,R,R,R,R
1773_15516,,,,S,,S,,,,,,,,S,S
1773_15024,,,,S,,S,,,,,,,,S,S
1773_3229,S,S,S,R,,R,,,,S,S,S,S,R,R
1427233_3,S,S,S,S,S,S,S,,,S,S,,,S,R
1773_14795,,,,S,,S,,,,,,,,S,S
1773_1664,S,S,,S,,R,,,,S,,S,S,R,R
1773_15879,,,,S,,S,,,,,,,S,S,S
1773_15835,,,,S,,S,,,,,,,,S,S
1773_1652,S,S,,R,,R,,S,,S,,S,S,R,R
1400933_3,R,,R,R,R,R,R,S,,R,R,,,R,R
1773_15623,,,,S,,S,,,,,,,,S,S
1448704_3,,,,S,,R,,,,,,,,S,S
1397860_3,,R,,R,R,R,R,R,R,R,,,,R,R
1773_1763,,,,R,,R,,,,,,,S,S,S
1773_3530,S,S,S,R,,R,,,,S,S,S,R,R,R
1438843_3,S,,,S,,R,S,,,S,,,,R,R
1773_20991,S,S,,S,,R,S,,,,,,,S,S
1295726_3,,S,,R,R,S,S,R,R,R,,,R,R,R
1773_15580,,,,S,,S,,,,,,,,S,S
1773_1229,,,,S,,S,,,,,,,S,S,S
1773_29414,,S,,R,,R,,,,S,,R,R,R,R
1773_1697,,,,S,,S,,,,,,,S,S,S
1773_1063,S,R,,R,,R,,R,,R,,S,R,R,R
1773_1901,,,,S,,R,,,,,,,S,S,R
1773_1621,,,,S,,S,,,,,,,S,S,R
1423444_3,,,,S,,S,,,,,,,,S,
1773_14743,,,,S,,R,,,,,,,,S,S
1324245_3,,S,,R,S,R,S,,S,S,,,R,R,R
1427273_3,R,R,S,R,S,R,R,,,R,S,,,R,R
1324257_3,,S,,S,S,S,S,,S,S,,,S,S,S
1773_16010,,,,R,,R,,,,,,,R,R,R
1427205_3,S,S,S,R,S,R,S,,,R,S,,R,R,R
1773_15998,,,,S,,S,,,,,,,,S,S
1427307_3,S,S,,S,S,S,S,,,S,S,,,S,R
1773_29467,S,S,S,R,,R,,,,S,S,S,R,R,R
1773_943,S,S,,S,,R,,S,,S,,S,S,R,R
1773_15798,,,,S,,S,,,,,,,,S,S
1422087_3,,,,S,,R,S,,,,,,,R,R
1773_15743,,,,S,,S,,,,,,,S,S,R
1773_1886,S,S,,S,,R,,S,,S,,R,S,R,R
1773_952,R,S,,R,,R,,S,,S,,S,S,R,R
1773_29371,S,R,,R,,R,,,,R,R,R,S,R,R
1773_1242,S,S,,R,,R,,S,,R,,S,S,R,R
1773_1751,S,S,,S,,R,,S,,S,,S,S,R,S
1421962_3,,S,,S,S,R,,,,S,,,,R,S
1773_1045,S,S,,R,,R,,S,,S,,S,S,R,R
1773_1633,S,S,,S,,R,,S,,R,,R,S,R,R
1773_1600,,,,S,,S,,,,,,,S,S,S
1295746_3,,R,,R,R,R,R,,R,R,,,R,R,R
1427179_3,S,S,S,R,S,R,S,,,R,R,,R,,R
1773_1464,S,S,,S,,R,,S,,S,,R,S,R,R
1773_15292,,,,S,,S,,,,,,,,S,S
1773_1909,S,S,,R,,R,,S,,S,,R,R,R,R
1417010_3,S,,R,S,R,,S,R,,R,R,,,R,
1773_15257,,,,S,,S,,,,,,,,S,S
1773_29541,S,S,S,S,,R,,,,S,S,S,R,R,R
1773_1385,S,S,,S,,R,,S,,S,,S,S,R,R
1773_21716,S,S,,S,,S,S,,,,,,,S,S
1400902_3,S,,S,,S,S,S,S,,S,S,,,S,
1773_1507,S,R,,R,,R,,S,,R,,S,R,R,R
1324270_3,,R,,S,S,R,S,,S,S,,,,S,S
1773_21733,S,S,,S,,,R,,,,,,,,
1324271_3,,S,,R,S,R,S,,S,S,,,S,R,S
1455274_3,S,S,,R,S,R,S,,,S,,,R,R,R
1773_14907,,,,S,,S,,,,,,,S,R,S
1427248_3,S,R,R,R,R,R,R,,,R,S,,,R,R
1773_15967,,,,S,,S,,,,,,,,S,S
1773_1082,S,S,,R,,R,,S,,S,,R,S,R,R
1400888_3,R,,S,S,R,R,R,S,,R,R,,,R,R
1773_1904,,,,S,,R,,,,,,,S,S,R
1773_3519,S,S,S,R,,R,,,,S,S,S,R,R,R
1773_1291,S,S,,S,,R,,S,,S,,S,S,R,R
1421924_3,,,,,,R,,,,,,,,R,
1295742_3,,R,,R,R,R,R,,R,R,,,R,R,R
1400920_3,R,,S,,R,,R,,,R,R,,,S,R
1773_1872,S,S,,S,,R,,R,,S,,S,S,R,R
1773_15578,,,,S,,S,,,,,,,,S,S
1773_1870,R,R,,R,,R,,,,R,,S,R,R,R
1773_15425,,,,S,,R,,,,,,,S,S,S
1773_15402,,,,S,,S,,,,,,,,S,S
1427241_3,R,R,R,R,R,R,R,,,S,R,,,R,R
1397879_3,,R,,R,R,R,R,R,R,R,,,,R,R
1448534_4,,,,R,,R,S,,,S,,,,R,S
1324283_3,,S,,R,R,R,S,,S,S,,,R,R,R
1773_16033,,,,S,,S,,,,,,,,S,S
1427279_3,S,S,S,S,S,S,S,,,S,S,,S,S,S
1773_29567,R,R,S,R,,R,,,,S,S,S,R,R,R
