Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
1773_20942,2012,Philippines,Human,Human,Human,PHL
1773_20961,2012,Philippines,Human,Human,Human,PHL
1773_1287,2008,Russian Federation,Human,Human,Human,RUS
1421991_3,2007,South Africa,Human,Human,Human,ZAF
1773_29626,2004,Uzbekistan,Human,,,UZB
1773_15516,2010,Canada,Human,Human,Human,CAN
1773_15024,2006,Canada,Human,Human,Human,CAN
1773_3229,2005,Uzbekistan,Human,,,UZB
1427233_3,2012,Belarus,Human,Human,Human,BLR
1773_14795,2005,Canada,Human,Human,Human,CAN
1773_1664,2008,Russian Federation,Human,Human,Human,RUS
1773_15879,2013,Canada,Human,Human,Human,CAN
1773_15835,2012,Canada,Human,Human,Human,CAN
1773_1652,2008,Russian Federation,Human,Human,Human,RUS
1400933_3,2005,South Korea,Human,Human,Human,KOR
1773_15623,2011,Canada,Human,Human,Human,CAN
1448704_3,2002,India,Human,Human,Human,IND
1397860_3,2010,South Africa,Human,Human,Human,ZAF
1773_1763,2008,Russian Federation,Human,Human,Human,RUS
1773_3530,2005,Uzbekistan,Human,,,UZB
1438843_3,2013,Romania,Human,Human,Human,ROU
1773_20991,2012,Philippines,Human,Human,Human,PHL
1295726_3,2010,South Africa,Human,Human,Human,ZAF
1773_15580,2010,Canada,Human,Human,Human,CAN
1773_1229,2008,Russian Federation,Human,Human,Human,RUS
1773_29414,2001,Uzbekistan,Human,,,UZB
1773_1697,2009,Russian Federation,Human,Human,Human,RUS
1773_1063,2008,Russian Federation,Human,Human,Human,RUS
1773_1901,2010,Russian Federation,Human,Human,Human,RUS
1773_1621,2009,Russian Federation,Human,Human,Human,RUS
1423444_3,2004,Sweden,Human,Human,Human,SWE
1773_14743,2002,Canada,Human,Human,Human,CAN
1324245_3,2008,South Africa,Human,Human,Human,ZAF
1427273_3,2012,Belarus,Human,Human,Human,BLR
1324257_3,2008,South Africa,Human,Human,Human,ZAF
1773_16010,2014,Canada,Human,Human,Human,CAN
1427205_3,2011,Belarus,Human,Human,Human,BLR
1773_15998,2014,Canada,Human,Human,Human,CAN
1427307_3,2012,Belarus,Human,Human,Human,BLR
1773_29467,2006,Uzbekistan,Human,,,UZB
1773_943,2009,Russian Federation,Human,Human,Human,RUS
1773_15798,2012,Canada,Human,Human,Human,CAN
1422087_3,2006,South Africa,Human,Human,Human,ZAF
1773_15743,2012,Canada,Human,Human,Human,CAN
1773_1886,2009,Russian Federation,Human,Human,Human,RUS
1773_952,2009,Russian Federation,Human,Human,Human,RUS
1773_29371,1998,Germany,Human,,,DEU
1773_1242,2009,Russian Federation,Human,Human,Human,RUS
1400902_3,2006,South Korea,Human,Human,Human,KOR
1773_1751,2010,Russian Federation,Human,Human,Human,RUS
1421962_3,2008,South Africa,Human,Human,Human,ZAF
1400920_3,2005,South Korea,Human,Human,Human,KOR
1773_1045,2008,Russian Federation,Human,Human,Human,RUS
1773_1633,2009,Russian Federation,Human,Human,Human,RUS
1400882_3,2005,South Korea,Human,Human,Human,KOR
1773_1600,2008,Russian Federation,Human,Human,Human,RUS
1295746_3,2010,South Africa,Human,Human,Human,ZAF
1427179_3,2012,Belarus,Human,Human,Human,BLR
1773_1464,2009,Russian Federation,Human,Human,Human,RUS
1773_15292,2008,Canada,Human,Human,Human,CAN
1773_1909,2008,Russian Federation,Human,Human,Human,RUS
1417010_3,2006,South Korea,Human,Human,Human,KOR
1773_15257,2008,Canada,Human,Human,Human,CAN
1773_29541,2005,Uzbekistan,Human,,,UZB
1773_1385,2009,Russian Federation,Human,Human,Human,RUS
1773_21716,2012,Philippines,Human,Human,Human,PHL
1773_1507,2009,Russian Federation,Human,Human,Human,RUS
1324270_3,2010,South Africa,Human,Human,Human,ZAF
1773_21733,2012,Philippines,Human,Human,Human,PHL
1324271_3,2010,South Africa,Human,Human,Human,ZAF
1417023_3,2006,South Korea,Human,Human,Human,KOR
1455274_3,2013,Iran,Human,Human,Human,IRN
1773_14907,2006,Canada,Human,Human,Human,CAN
1427248_3,2012,Belarus,Human,Human,Human,BLR
1773_15967,2013,Canada,Human,Human,Human,CAN
1773_1082,2010,Russian Federation,Human,Human,Human,RUS
1400888_3,2006,South Korea,Human,Human,Human,KOR
1773_1904,2010,Russian Federation,Human,Human,Human,RUS
1773_3519,2005,Uzbekistan,Human,,,UZB
1773_1291,2008,Russian Federation,Human,Human,Human,RUS
1421924_3,2009,South Africa,Human,Human,Human,ZAF
1295742_3,2010,South Africa,Human,Human,Human,ZAF
1773_1872,2010,Russian Federation,Human,Human,Human,RUS
1773_15578,2010,Canada,Human,Human,Human,CAN
1773_1870,2008,Russian Federation,Human,Human,Human,RUS
1773_15425,2009,Canada,Human,Human,Human,CAN
1773_15402,2009,Canada,Human,Human,Human,CAN
1427241_3,2013,Belarus,Human,Human,Human,BLR
1397879_3,2012,South Africa,Human,Human,Human,ZAF
1448534_4,2013,South Africa,Human,Human,Human,ZAF
1324283_3,2010,South Africa,Human,Human,Human,ZAF
1773_16033,2014,Canada,Human,Human,Human,CAN
1427279_3,2012,Belarus,Human,Human,Human,BLR
1773_29567,2006,Uzbekistan,Human,,,UZB
1773_15101,2007,Canada,Human,Human,Human,CAN
1421920_3,2007,South Africa,Human,Human,Human,ZAF
1427269_3,2012,Belarus,Human,Human,Human,BLR
1422107_3,2007,South Africa,Human,Human,Human,ZAF
1400885_3,2006,South Korea,Human,Human,Human,KOR
1773_15600,2011,Canada,Human,Human,Human,CAN
1773_15788,2012,Canada,Human,Human,Human,CAN
1773_15004,2006,Canada,Human,Human,Human,CAN
1773_15629,2011,Canada,Human,Human,Human,CAN
1773_1257,2009,Russian Federation,Human,Human,Human,RUS
1427259_3,2012,Belarus,Human,Human,Human,BLR
1773_1066,2010,Russian Federation,Human,Human,Human,RUS
1400874_3,2005,South Korea,Human,Human,Human,KOR
1773_1545,2009,Russian Federation,Human,Human,Human,RUS
1773_29478,2004,Uzbekistan,Human,,,UZB
1773_15434,2009,Canada,Human,Human,Human,CAN
1773_1044,2010,Russian Federation,Human,Human,Human,RUS
1773_1080,2008,Russian Federation,Human,Human,Human,RUS
1773_29418,2004,Uzbekistan,Human,,,UZB
1773_1882,2008,Russian Federation,Human,Human,Human,RUS
1773_15219,2008,Canada,Human,Human,Human,CAN
1773_1838,2008,Russian Federation,Human,Human,Human,RUS
1773_15741,2012,Canada,Human,Human,Human,CAN
1324256_3,2008,South Africa,Human,Human,Human,ZAF
1423443_3,2004,Sweden,Human,Human,Human,SWE
1773_29520,2004,Uzbekistan,Human,,,UZB
1324253_3,2008,South Africa,Human,Human,Human,ZAF
1773_15156,2007,Canada,Human,Human,Human,CAN
1773_1440,2009,Russian Federation,Human,Human,Human,RUS
1447435_3,2010,Moldova,Human,Human,Human,MDA
1773_15717,2011,Canada,Human,Human,Human,CAN
1397926_3,2013,South Africa,Human,Human,Human,ZAF
1417019_3,2007,South Korea,Human,Human,Human,KOR
1773_16068,2014,Canada,Human,Human,Human,CAN
1324219_3,2008,South Africa,Human,Human,Human,ZAF
1773_1052,2010,Russian Federation,Human,Human,Human,RUS
1773_29613,2004,Uzbekistan,Human,,,UZB
1773_3525,2005,Uzbekistan,Human,,,UZB
1773_15414,2009,Canada,Human,Human,Human,CAN
1773_29409,2004,Uzbekistan,Human,,,UZB
1773_14910,2006,Canada,Human,Human,Human,CAN
1438861_3,2013,Romania,Human,Human,Human,ROU
1427276_3,2012,Belarus,Human,Human,Human,BLR
1427216_3,2013,Belarus,Human,Human,Human,BLR
1773_1691,2008,Russian Federation,Human,Human,Human,RUS
1773_1219,2009,Russian Federation,Human,Human,Human,RUS
1448393_3,2013,South Africa,Human,Human,Human,ZAF
1773_1693,2009,Russian Federation,Human,Human,Human,RUS
1455307_3,2012,Iran,Human,Human,Human,IRN
1324242_3,2008,South Africa,Human,Human,Human,ZAF
1773_1396,2008,Russian Federation,Human,Human,Human,RUS
1773_14922,2006,Canada,Human,Human,Human,CAN
1427238_3,2012,Belarus,Human,Human,Human,BLR
1773_15049,2007,Canada,Human,Human,Human,CAN
1773_29621,2002,Uzbekistan,Human,,,UZB
1773_21042,2012,Philippines,Human,Human,Human,PHL
1400935_3,2008,South Korea,Human,Human,Human,KOR
1773_20948,2012,Philippines,Human,Human,Human,PHL
1773_29375,1998,Germany,Human,,,DEU
1427254_3,2012,Belarus,Human,Human,Human,BLR
1773_1020,2008,Russian Federation,Human,Human,Human,RUS
1427312_3,2013,Belarus,Human,Human,Human,BLR
1423573_3,2013,Sweden,Human,Human,Human,SWE
1773_14793,2005,Canada,Human,Human,Human,CAN
1773_16090,2014,Canada,Human,Human,Human,CAN
1295795_3,2012,South Africa,Human,Human,Human,ZAF
1733_1925,2010,Eswatini,Human,Human,Human,SWZ
1400932_3,2007,South Korea,Human,Human,Human,KOR
1773_29434,2002,Uzbekistan,Human,,,UZB
1423531_3,2010,Sweden,Human,Human,Human,SWE
1773_20963,2012,Philippines,Human,Human,Human,PHL
1773_15737,2012,Canada,Human,Human,Human,CAN
1773_1663,2009,Russian Federation,Human,Human,Human,RUS
1773_15319,2009,Canada,Human,Human,Human,CAN
1773_20936,2012,Philippines,Human,Human,Human,PHL
1448796_3,2003,India,Human,Human,Human,IND
1448406_3,2013,South Africa,Human,Human,Human,ZAF
1773_15557,2010,Canada,Human,Human,Human,CAN
1773_29620,2004,Uzbekistan,Human,,,UZB
1773_14964,2006,Canada,Human,Human,Human,CAN
1417011_3,2005,South Korea,Human,Human,Human,KOR
1423428_3,2005,Sweden,Human,Human,Human,SWE
1773_14877,2005,Canada,Human,Human,Human,CAN
1397923_3,2013,India,Human,Human,Human,IND
1422001_3,2000,South Africa,Human,Human,Human,ZAF
1773_15855,2013,Canada,Human,Human,Human,CAN
1773_1103,2010,Russian Federation,Human,Human,Human,RUS
1295747_3,2010,South Africa,Human,Human,Human,ZAF
1438872_3,2013,Romania,Human,Human,Human,ROU
1773_14998,2006,Canada,Human,Human,Human,CAN
1448757_3,2003,India,Human,Human,Human,IND
1324247_3,2008,South Africa,Human,Human,Human,ZAF
1427272_3,2012,Belarus,Human,Human,Human,BLR
1773_1302,2008,Russian Federation,Human,Human,Human,RUS
1773_15980,2013,Canada,Human,Human,Human,CAN
1773_15571,2010,Canada,Human,Human,Human,CAN
1400909_3,2006,South Korea,Human,Human,Human,KOR
1427308_3,2012,Belarus,Human,Human,Human,BLR
1773_1979,2009,Russian Federation,Human,Human,Human,RUS
1427245_3,2012,Belarus,Human,Human,Human,BLR
1773_21048,2012,Philippines,Human,Human,Human,PHL
1773_1205,2009,Russian Federation,Human,Human,Human,RUS
1773_15503,2010,Canada,Human,Human,Human,CAN
1773_29432,2005,Uzbekistan,Human,,,UZB
1773_15918,2013,Canada,Human,Human,Human,CAN
1448700_3,2002,India,Human,Human,Human,IND
1773_15999,2014,Canada,Human,Human,Human,CAN
1773_14953,2006,Canada,Human,Human,Human,CAN
1397871_3,2010,South Africa,Human,Human,Human,ZAF
1773_29449,2005,Uzbekistan,Human,,,UZB
1773_16269,2017,Italy,Human,Human,Human,ITA
1324225_3,2008,South Africa,Human,Human,Human,ZAF
1422103_3,2005,South Africa,Human,Human,Human,ZAF
1773_1830,2010,Russian Federation,Human,Human,Human,RUS
1773_1072,2010,Russian Federation,Human,Human,Human,RUS
1397856_3,2010,South Africa,Human,Human,Human,ZAF
1448402_3,2013,South Africa,Human,Human,Human,ZAF
1402586_3,2011,Taiwan,Human,Human,Human,TWN
1773_996,2008,Russian Federation,Human,Human,Human,RUS
1773_15426,2009,Canada,Human,Human,Human,CAN
1448421_3,2013,South Africa,Human,Human,Human,ZAF
1417029_3,2005,South Korea,Human,Human,Human,KOR
1773_15386,2009,Canada,Human,Human,Human,CAN
1773_1386,2008,Russian Federation,Human,Human,Human,RUS
1773_16083,2014,Canada,Human,Human,Human,CAN
1773_29551,2006,Uzbekistan,Human,,,UZB
1773_1337,2009,Russian Federation,Human,Human,Human,RUS
1773_29527,2001,Uzbekistan,Human,,,UZB
1438852_3,2013,Romania,Human,Human,Human,ROU
1422051_3,2008,South Africa,Human,Human,Human,ZAF
1773_973,2009,Russian Federation,Human,Human,Human,RUS
1427212_3,2011,Belarus,Human,Human,Human,BLR
1400937_3,2006,South Korea,Human,Human,Human,KOR
1417020_3,2006,South Korea,Human,Human,Human,KOR
1773_3162,2004,Uzbekistan,Human,,,UZB
1427288_3,2013,Belarus,Human,Human,Human,BLR
1448685_3,2002,India,Human,Human,Human,IND
1773_15731,2012,Canada,Human,Human,Human,CAN
1773_1831,2010,Russian Federation,Human,Human,Human,RUS
1448400_3,2013,South Africa,Human,Human,Human,ZAF
1400899_3,2006,South Korea,Human,Human,Human,KOR
1455284_3,2010,Iran,Human,Human,Human,IRN
1448703_3,2002,India,Human,Human,Human,IND
1773_15384,2009,Canada,Human,Human,Human,CAN
1324249_3,2008,South Africa,Human,Human,Human,ZAF
1773_903,2008,Russian Federation,Human,Human,Human,RUS
1400907_3,2006,South Korea,Human,Human,Human,KOR
1773_16383,2017,Italy,Human,Human,Human,ITA
1773_15702,2011,Canada,Human,Human,Human,CAN
1400912_3,2007,South Korea,Human,Human,Human,KOR
1295724_3,2010,South Africa,Human,Human,Human,ZAF
1773_1069,2010,Russian Federation,Human,Human,Human,RUS
1427182_3,2011,Belarus,Human,Human,Human,BLR
1773_1770,2010,Russian Federation,Human,Human,Human,RUS
1773_1444,2009,Russian Federation,Human,Human,Human,RUS
1773_1732,2008,Russian Federation,Human,Human,Human,RUS
1773_15357,2009,Canada,Human,Human,Human,CAN
