sseqid,IS1016@IS1595@IS1016,IS1301@IS5@IS427,IS1655@IS30@nan,ISNg1@IS3@IS150,ISNgo2@IS110@nan,ISNgo3@IS110@nan
485_100,1,0,0,1,1,1
485_101,1,0,0,1,1,1
485_102,0,0,0,1,1,1
485_103,1,0,0,1,1,1
485_104,0,0,0,1,1,1
485_105,0,0,0,1,0,1
485_106,1,0,0,1,1,1
485_107,0,0,0,1,0,1
485_108,0,0,0,1,0,1
485_109,1,0,0,1,0,1
485_110,1,0,0,1,0,1
485_111,1,0,0,1,1,1
485_112,0,0,0,1,1,1
485_113,1,0,0,1,0,1
485_114,1,0,0,1,0,1
485_115,1,0,0,1,1,1
485_116,1,0,0,1,1,1
485_117,0,0,0,1,0,1
485_118,0,0,0,1,1,1
485_119,1,0,0,1,1,1
485_120,0,0,0,1,1,1
485_121,1,0,0,1,1,1
485_122,1,0,0,1,1,1
485_123,1,0,0,1,1,1
485_124,1,0,0,1,1,1
485_125,0,0,0,1,0,1
485_126,1,0,0,1,1,1
485_127,1,0,0,1,1,1
485_128,0,0,0,1,1,1
485_12874,1,0,0,1,0,0
485_12875,1,0,0,1,0,1
485_12876,1,0,0,1,0,1
485_12877,1,0,0,1,0,1
485_12878,1,0,0,1,1,1
485_12879,1,0,0,0,0,1
485_12880,1,0,1,1,0,1
485_12881,1,0,0,0,0,1
485_12882,1,0,0,1,0,1
485_12883,1,0,0,1,1,1
485_12884,1,0,0,0,0,1
485_12885,1,0,0,1,0,1
485_12886,1,0,0,1,0,1
485_12887,1,0,0,1,0,0
485_12888,1,0,0,1,0,1
485_12889,1,0,0,1,0,1
485_12890,1,0,0,0,0,0
485_12891,1,0,0,0,0,1
485_12892,1,0,0,0,0,1
485_12893,1,0,0,1,0,1
485_12894,0,0,0,0,0,1
485_12895,1,0,0,0,0,1
485_12896,1,0,0,0,0,1
485_12897,1,0,0,1,0,1
485_12898,1,0,0,1,0,1
485_12899,1,0,0,1,0,0
485_129,0,0,0,1,1,1
485_12900,1,0,1,1,0,1
485_12901,1,0,0,0,0,0
485_12902,1,0,0,0,0,1
485_12903,1,0,0,1,0,1
