Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_14156,S,,,S,S,,,S,S,S
485_17048,S,,,S,S,,,S,S,S
485_8864,S,S,,S,R,,,,,
485_5316,S,S,,S,S,,,,,
485_849,S,S,,S,R,R,,R,S,R
485_785,S,S,,S,R,R,,R,S,R
485_3772,S,S,,S,R,,,,,
485_152,S,S,R,S,R,,,,S,R
485_17080,S,,,S,S,,,S,S,S
485_14381,S,,,S,S,,,S,S,S
485_13532,S,,,S,S,,,S,S,S
485_15517,R,,,S,S,,,R,S,S
485_13234,S,,,S,S,,,S,S,S
485_15598,S,,,S,S,,,R,S,S
485_14997,R,,,S,S,,,S,S,S
485_16971,S,,,S,S,,,S,S,S
485_3978,R,S,,S,S,,,,,
485_765,S,S,,S,R,R,,R,S,R
485_13868,S,,,S,R,,,R,S,S
485_5548,S,S,,S,S,,,,,
485_4297,S,S,,S,R,,,,,
485_263,S,S,R,S,R,,,,S,R
485_13537,S,,,S,R,,,S,S,S
485_14069,S,,,S,R,,,R,S,
485_9107,S,S,,S,S,,,,,
485_17560,S,,,S,S,,,S,S,S
485_9406,S,S,,S,S,,,,,
485_9512,S,S,,S,S,,,,,
485_14057,S,,,S,S,,,S,S,S
485_15056,S,,,S,S,,,S,S,S
485_143,S,S,S,S,R,,,,S,R
485_4121,S,S,,S,S,,,,,
485_17797,,S,,S,R,,R,,,
485_8439,S,S,,S,S,,,,,
485_9517,S,S,,S,R,,,,,
485_6931,S,,,,S,,,,,
485_9277,S,S,,S,S,,,,,
485_867,S,S,,S,S,S,,S,S,S
485_8775,S,S,,S,,,,,,
485_17562,S,,,S,S,,,S,S,S
485_12915,S,,,S,S,,,S,S,S
485_17795,,S,,S,R,,R,,,
485_13028,R,,,S,S,,,S,S,S
485_14216,S,,,S,R,,,R,S,S
485_183,S,S,S,S,S,,,,S,S
485_4371,S,S,,S,S,,,,,
485_17517,S,,,S,S,,,S,S,S
485_13894,S,,,S,R,,,S,S,S
485_17472,S,,,S,S,,,S,S,S
485_5594,S,S,,S,R,,,,,
485_13069,S,,,S,S,,,S,S,S
485_13888,R,,,S,S,,,S,S,S
485_8924,S,S,,S,S,,,,,
485_17738,,R,,S,R,,R,,,
485_15040,S,,,S,R,,,R,S,
485_9072,S,S,,S,S,,,,,
485_4109,R,S,,S,R,,,,,
485_14869,S,,,S,R,,,R,S,S
485_9314,S,S,,S,,,,,,
485_15553,S,,,S,S,,,S,S,S
485_9269,S,S,,S,R,,,,,
485_249,S,S,R,S,R,,,,S,R
485_13052,S,,,S,S,,,R,S,S
485_13173,S,,,S,S,,,S,S,S
485_17680,S,,,S,S,,,S,S,S
485_708,S,S,,S,R,S,,R,S,R
485_6894,S,S,,S,S,,,,,
485_13586,S,,,S,R,,,S,S,S
485_17592,S,,,S,R,,,S,S,S
485_5270,S,S,,S,S,,,,,
485_14760,S,,,S,R,,,R,S,
485_14749,S,,,S,R,,,R,S,S
485_14246,S,,,S,S,,,S,S,S
485_9419,S,S,,S,S,,,,,
485_14437,S,,,S,R,,,R,S,S
485_5025,S,S,,S,R,,,,,
485_13349,S,,,S,R,,,S,S,S
485_9080,S,S,,S,,,,,,
485_95,S,S,S,S,R,,,,S,R
485_7630,S,S,,S,S,,,R,S,S
485_17490,S,,,S,S,,,R,S,S
485_9454,S,S,,S,S,,,,,
485_5133,S,R,,S,R,,,,,
485_14123,S,,,S,S,,,S,S,S
485_4439,R,S,,S,R,,,,,
485_5529,S,S,,S,S,,,,,
485_15026,S,,,S,R,,,R,S,S
485_5152,S,S,,S,R,,,,,
485_3801,R,S,,S,R,,,,,
485_17663,S,,,S,S,,,S,S,S
485_14395,S,,,S,R,,,S,S,S
485_5463,S,S,,S,S,,,,,
485_17477,S,,,S,S,,,S,S,S
485_13680,S,,,S,R,,,S,S,S
485_14773,S,,,S,S,,,S,S,S
485_3837,R,S,,S,S,,,,,
485_17689,S,,,S,S,,,S,S,S
485_16459,S,,,S,R,,,S,S,S
485_4417,R,S,,S,R,,,,,
485_58,S,S,S,S,S,,,,S,R
485_14929,R,,,S,S,,,S,S,S
485_9600,S,S,,S,,,,,,
485_4027,R,S,,S,S,,,,,
485_13815,S,,,S,R,,,S,S,S
485_17474,S,,,S,S,,,S,S,S
485_5261,S,S,,S,R,,,,,
485_16571,S,,,S,R,,,R,S,S
485_13874,S,,,S,R,,,S,S,S
485_8318,S,S,,S,S,,,,,
485_17651,S,,,S,S,,,S,S,S
485_828,S,S,,S,S,S,,R,S,S
485_14946,S,,,S,S,,,S,S,S
485_8282,S,S,,S,,,,,,
485_17547,S,,,S,S,,,S,S,S
485_4373,R,S,,S,S,,,,,
485_15000,S,,,S,S,,,R,S,S
485_4978,S,S,,S,R,,,,,
485_7010,S,,,,S,,,,,
485_4998,S,S,,S,S,,,,,
485_12903,S,,,S,S,,,R,S,S
485_15022,S,,,S,S,,,S,S,S
485_3614,R,S,,S,S,,,,,
485_14323,S,,,S,R,,,S,S,S
485_13113,S,,,S,S,,,R,S,S
485_17579,S,,,S,S,,,S,S,S
485_17578,S,,,S,R,,,S,S,S
