Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster
485_9253,2013,United Kingdom,Human,Human,Human,GBR,472
485_14156,2017,Australia,Human,,,AUS,4
485_17048,2017,Australia,Human,,,AUS,7
485_8864,2014,United Kingdom,Human,Human,Human,GBR,34
485_5316,2013,United Kingdom,Human,Human,Human,GBR,11
485_849,2012,Canada,Human,Human,Human,CAN,552
485_785,2010,Canada,Human,Human,Human,CAN,1
485_3772,2013,USA,Human,Human,Human,USA,354
485_8099,2015,Japan,Human,Human,Human,JPN,82
485_152,2010,USA,Human,Human,Human,USA,1
485_17080,2017,Australia,Human,,,AUS,5
485_14381,2017,Australia,Human,,,AUS,2
485_13532,2017,Australia,Human,,,AUS,1158
485_15517,2017,Australia,Human,,,AUS,393
485_13234,2017,Australia,Human,,,AUS,4
485_15598,2017,Australia,Human,,,AUS,51
485_14997,2017,Australia,Human,,,AUS,4
485_16971,2017,Australia,Human,,,AUS,24
485_173,2010,USA,Human,Human,Human,USA,1
485_3978,2014,USA,Human,Human,Human,USA,25
485_765,2010,Canada,Human,Human,Human,CAN,609
485_13868,2017,Australia,Human,,,AUS,45
485_5548,2013,Spain,Human,Human,Human,ESP,2
485_4297,2013,USA,Human,Human,Human,USA,201
485_263,2009,USA,Human,Human,Human,USA,1
485_13537,2017,Australia,Human,,,AUS,9
485_14069,2017,Australia,Human,,,AUS,68
485_9107,2014,United Kingdom,Human,Human,Human,GBR,48
485_17560,2017,Australia,Human,,,AUS,7
485_9406,2013,United Kingdom,Human,Human,Human,GBR,26
485_9512,2013,United Kingdom,Human,Human,Human,GBR,11
485_14057,2017,Australia,Human,,,AUS,5
485_15056,2017,Australia,Human,,,AUS,77
485_143,2009,USA,Human,Human,Human,USA,1100
485_4121,2012,USA,Human,Human,Human,USA,225
485_17797,2011,Brazil,Human,,,BRA,1
485_8439,2013,United Kingdom,Human,Human,Human,GBR,37
485_9517,2014,United Kingdom,Human,Human,Human,GBR,6
485_6931,2015,New Zealand,Human,Human,Human,NZL,8
485_9277,2015,United Kingdom,Human,Human,Human,GBR,15
485_867,1991,Canada,Human,Human,Human,CAN,529
485_8775,2016,United Kingdom,Human,Human,Human,GBR,23
485_17562,2017,Australia,Human,,,AUS,999
485_12915,2017,Australia,Human,,,AUS,5
485_17795,2013,Brazil,Human,,,BRA,1
485_13028,2017,Australia,Human,,,AUS,4
485_14216,2017,Australia,Human,,,AUS,20
485_183,2009,USA,Human,Human,Human,USA,957
485_4371,2012,USA,Human,Human,Human,USA,167
485_17517,2017,Australia,Human,,,AUS,24
485_13894,2017,Australia,Human,,,AUS,51
485_17472,2017,Australia,Human,,,AUS,5
485_5594,2013,Spain,Human,Human,Human,ESP,298
485_13069,2017,Australia,Human,,,AUS,5
485_13888,2017,Australia,Human,,,AUS,4
485_8924,2015,United Kingdom,Human,Human,Human,GBR,14
485_17738,2001,Japan,Human,,,JPN,29
485_15040,2017,Australia,Human,,,AUS,1060
485_9072,2013,United Kingdom,Human,Human,Human,GBR,14
485_4109,2013,USA,Human,Human,Human,USA,886
485_14869,2017,Australia,Human,,,AUS,12
485_9314,2016,United Kingdom,Human,Human,Human,GBR,11
485_15553,2017,Australia,Human,,,AUS,10
485_9269,2015,United Kingdom,Human,Human,Human,GBR,469
485_249,2009,USA,Human,Human,Human,USA,1
485_9780,2016,Ireland,Human,Human,Human,IRL,1
485_13052,2017,Australia,Human,,,AUS,3
485_13173,2017,Australia,Human,,,AUS,127
485_17680,2017,Australia,Human,,,AUS,2
485_708,2001,Canada,Human,Human,Human,CAN,633
485_6894,2015,New Zealand,Human,Human,Human,NZL,58
485_13586,2017,Australia,Human,,,AUS,1155
485_17592,2017,Australia,Human,,,AUS,18
485_5270,2013,Netherlands,Human,Human,Human,NLD,2
485_14760,2017,Australia,Human,,,AUS,403
485_14749,2017,Australia,Human,,,AUS,12
485_14246,2017,Australia,Human,,,AUS,2
485_9419,2015,United Kingdom,Human,Human,Human,GBR,157
485_14437,2017,Australia,Human,,,AUS,92
485_5025,2013,Spain,Human,Human,Human,ESP,822
485_13349,2017,Australia,Human,,,AUS,28
485_9080,2016,United Kingdom,Human,Human,Human,GBR,487
485_95,2009,USA,Human,Human,Human,USA,375
485_7630,2015,New Zealand,Human,Human,Human,NZL,5
485_17490,2017,Australia,Human,,,AUS,3
485_9454,2014,United Kingdom,Human,Human,Human,GBR,452
485_5133,2013,Denmark,Human,Human,Human,DNK,136
485_14123,2017,Australia,Human,,,AUS,24
485_4439,2012,USA,Human,Human,Human,USA,88
485_5529,2013,Portugal,Human,Human,Human,PRT,162
485_15026,2017,Australia,Human,,,AUS,12
485_5152,2013,Denmark,Human,Human,Human,DNK,35
485_3801,2013,USA,Human,Human,Human,USA,925
485_17663,2017,Australia,Human,,,AUS,7
485_14395,2017,Australia,Human,,,AUS,9
