Genome ID,amoxicillin_clavulanic acid,ampicillin,azithromycin,cefepime,cefotaxime,cefoxitin,ceftazidime,ceftiofur,ceftriaxone,cephalosporin,chloramphenicol,ciprofloxacin,ertapenem,furazolidone,gentamicin,kanamycin,meropenem,nalidixic acid,netilmicin,ofloxacin,pefloxacin,spectinomycin,streptomycin,sulfamethoxazole,sulfisoxazole,sulfonamides,tetracycline,tigecycline,trimethoprim,trimethoprim_sulfamethoxazole
340189_10,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_16511,R,R,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
1379271_4,,R,,,,,,,,,R,R,,,R,,,,,,,,,,,,,,R,
90370_419,,S,,,,,,,,,S,,,,,S,,S,,,,,,S,,,S,,S,
90370_634,,S,,,S,,,,,,S,S,,,S,S,,S,,,,S,,S,,,S,,S,
595_107,S,S,,,S,,,,,,S,S,,,S,S,,R,,,,,S,R,,,R,,S,
90370_3047,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_12353,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_17099,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
58712_79,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
90370_3566,,S,,,,,,,,S,S,S,,,,,,S,,,,,,,,,,,,S
590_16778,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_12231,R,R,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,S,,,S
54388_247,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
85569_68,,R,,,,,,,,,R,S,,R,S,S,,S,S,,,R,R,,,R,R,,S,
90370_2487,,R,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
90371_5371,S,R,,,,,S,,S,,R,S,,,S,,,R,,S,,,,,,,,,R,
90370_3577,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_3035,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
590_14071,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,,,R,,,S
85569_240,,S,,,,,,,,,S,S,,S,S,S,,S,S,,,S,R,,,R,R,,S,
590_16617,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_17164,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
192955_430,,R,S,,,S,S,,S,,S,S,,,S,S,,S,S,,,R,R,,,R,R,,S,
90370_3542,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
590_15082,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_15371,S,S,,,,R,,,S,,R,S,,,S,,,S,,,,,,,S,,R,,,S
590_15453,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_12393,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
590_12064,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90371_893,,R,,,,,,,,,R,S,,,S,,,,,,,,,,,,,,R,
90371_5447,,R,,,R,,S,,R,,R,,S,,S,,S,S,,,S,,,,,,R,,,R
54388_126,,S,S,,,,,,,,S,S,,,,,,S,,,,S,S,,,S,S,,S,
590_11962,S,S,,,,S,,,S,,S,R,,,S,,,R,,,,,,,S,,S,,,S
90371_5285,S,R,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,R,
590_15157,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90371_5428,S,R,,,,,S,,S,,S,S,,,S,,,S,,S,,,,,,,,,S,
590_12552,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90371_5301,S,R,,,,,S,,S,,R,S,,,S,,,R,,S,,,,,,,,,R,
59201_4209,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
85569_318,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
90370_2528,,S,,,,,,,S,,R,R,,,,,,,,,,,,,,,,,,R
486994_9,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_12391,R,R,,,,R,,,R,,R,S,,,S,,,S,,,,,,,,,R,,,S
59201_4218,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
85569_95,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
590_15347,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90371_5451,,R,,,R,,S,,R,,R,,S,,S,,S,S,,,S,,,,,,R,,,R
90370_4857,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
85569_276,,R,,,,,,,,,R,S,,S,,,,S,,,,S,R,,,R,R,,S,S
70803_17,R,R,S,,,R,,R,R,,R,S,,,S,,,S,,,,,R,,R,,R,,,S
90371_5453,,R,,,R,,S,,R,,R,,S,,R,,S,S,,,S,,,,,,S,,,R
590_15913,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90370_2935,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
90371_5266,S,S,,,,,S,,S,,S,R,,,S,,,R,,S,,,,,,,,,S,
399587_52,S,R,R,S,S,S,S,,S,,S,,,,S,,S,S,,,S,,,R,,,R,S,R,
59201_4110,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
90370_4833,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
58712_77,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
85569_157,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,S,,,R,R,,S,
590_14480,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
28901_16304,,R,,,,,,,S,,S,S,,,S,S,,S,,,,,R,,R,,R,,,S
85569_246,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
590_14959,S,S,,,,S,,,S,,R,S,,,S,,,S,,,,,,,,,R,,,S
85569_191,,R,,,,,,,,,R,S,,S,S,S,,S,S,,,R,R,,,R,R,,S,
98360_74,R,R,,,,R,,R,R,,R,S,,,,,,S,,,,,S,,R,,R,,,S
90370_4968,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
90370_5558,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
90370_3509,,S,,,,,,,,S,S,R,,,,,,R,,,,,,,,,,,,S
59201_4212,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
590_12264,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_12357,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
90370_4780,,S,,,,,,,,S,S,R,,,,,,S,,,,,,,,,,,,S
90370_3202,,S,,,,,,,S,,S,S,,,,,,,,,,,,,,,,,,S
590_12572,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,S,,,S
90371_5376,R,R,,,,,R,,R,,R,S,,,S,,,R,,S,,,,,,,,,S,
590_13848,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,,,R,,,S
90371_2126,S,R,,,,S,,R,R,,S,S,,,,,,S,,,,,S,,S,,S,,,S
90370_3072,,S,,,,,,,S,,S,R,,,,,,,,,,,,,,,,,,S
59201_4152,,S,S,,,,,,S,,S,S,,,,,S,,,,,,,,,,,S,,S
149539_891,,S,,,,,,,,,S,,,,,,,,,,,,S,,S,,S,,,
590_16771,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
1194162_3,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
149391_33,S,S,S,,,S,,S,S,,S,S,,,S,,,S,,,,,S,,S,,S,,,S
590_13859,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,S,,,S
590_15223,S,S,,,,S,,,S,,S,S,,,S,,,S,,,,,,,S,,R,,,S
590_16463,R,R,,,,R,,,R,,S,S,,,S,,,S,,,,,,,S,,R,,,S
