,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Macrolide,Oxazolidinone,Penicilin,Phenicol,Tetracycline,nan
340189_10,S,S,,S,S,S,S,,S,S,S,
590_16511,S,R,,S,S,S,,,R,S,R,
1379271_4,R,,,,R,R,,,R,R,,
90370_419,S,,,,S,S,,,S,S,S,
90370_634,S,,,S,S,S,,,S,S,S,
595_107,S,S,,S,R,R,,,S,S,R,
90370_3047,,,,S,R,S,,,S,S,,
590_12353,S,S,,S,S,S,,,S,S,R,
590_17099,S,S,,S,S,S,,,S,S,R,
58712_79,S,S,,S,S,S,S,,S,S,S,
90370_3566,,,,,S,S,,,S,S,,
590_16778,S,S,,S,S,S,,,S,S,R,
590_12231,S,R,,S,S,S,,,R,S,S,
54388_247,,,,,R,S,,,S,S,,
85569_68,R,,,,S,R,,R,R,R,R,
90370_2487,,,,S,R,R,,,R,R,,
90371_5371,S,S,,S,R,R,,,R,R,,
90370_3577,,,,,R,S,,,S,S,,
90370_3035,,,,S,R,S,,,S,S,,
590_14071,S,R,,R,S,S,,,R,S,R,
85569_240,R,,,,S,R,,S,S,S,R,
590_16617,S,S,,S,S,S,,,S,S,S,
590_17164,S,S,,S,S,S,,,S,S,R,
192955_430,R,,,S,S,R,S,,R,S,R,
90370_3542,,,,,R,S,,,S,S,,
590_15082,S,S,,S,S,S,,,S,S,R,
590_15371,S,S,,R,S,S,,,S,R,R,
590_15453,S,S,,S,S,S,,,S,S,R,
590_12393,S,S,,S,S,S,,,S,S,R,
590_12064,S,S,,S,S,S,,,S,S,R,
90371_893,S,,,,S,R,,,R,R,,
90371_5447,S,,S,R,S,R,,,R,R,R,
54388_126,S,,,,S,S,S,,S,S,S,
590_11962,S,S,,S,R,S,,,S,S,S,
90371_5285,S,S,,S,S,R,,,R,S,,
590_15157,S,S,,S,S,S,,,S,S,R,
90371_5428,S,S,,S,S,S,,,R,S,,
590_12552,S,S,,S,S,S,,,S,S,S,
90371_5301,S,S,,S,R,R,,,R,R,,
59201_4209,,,S,S,S,S,S,,S,S,S,
85569_318,R,,,,S,R,,S,R,R,R,
90370_2528,,,,S,R,R,,,S,R,,
486994_9,S,S,,S,S,S,S,,S,S,S,
590_12391,S,R,,R,S,S,,,R,R,R,
59201_4218,,,S,S,S,S,S,,S,S,S,
85569_95,R,,,,S,R,,S,R,R,R,
590_15347,S,S,,S,S,S,,,S,S,S,
90371_5451,S,,S,R,S,R,,,R,R,R,
90370_4857,,,,,R,S,,,S,S,,
85569_276,R,,,,S,R,,S,R,R,R,
70803_17,R,R,,R,S,R,S,,R,R,R,
90371_5453,R,,S,R,S,R,,,R,R,S,
590_15913,S,S,,S,S,S,,,S,S,R,
90370_2935,,,,S,R,S,,,S,S,,
90371_5266,S,S,,S,R,S,,,S,S,,
399587_52,S,S,S,S,S,R,R,,R,S,R,
59201_4110,,,S,S,S,S,S,,S,S,S,
90370_4833,,,,,R,S,,,S,S,,
58712_77,S,S,,S,S,S,S,,S,S,S,
85569_157,R,,,,S,R,,S,R,R,R,
590_14480,S,S,,S,S,S,,,S,S,R,
28901_16304,R,,,S,S,R,,,R,S,R,
85569_246,R,,,,S,R,,S,R,R,R,
590_14959,S,S,,S,S,S,,,S,R,R,
85569_191,R,,,,S,R,,S,R,R,R,
98360_74,S,R,,R,S,R,,,R,R,R,
90370_4968,,,,,R,S,,,S,S,,
90370_5558,,,,,R,,,,,,,
90370_3509,,,,,R,S,,,S,S,,
59201_4212,,,S,S,S,S,S,,S,S,S,
590_12264,S,S,,S,S,S,,,S,S,S,
590_12357,S,S,,S,S,S,,,S,S,R,
90370_4780,,,,,R,S,,,S,S,,
90370_3202,,,,S,S,S,,,S,S,,
590_12572,S,S,,S,S,S,,,S,S,S,
90371_5376,S,R,,R,R,S,,,R,R,,
590_13848,S,S,,S,S,S,,,S,S,R,
90371_2126,S,S,,R,S,S,,,R,S,S,
90370_3072,,,,S,R,S,,,S,S,,
59201_4152,,,S,S,S,S,S,,S,S,S,
149539_891,S,,,,,S,,,S,S,S,
590_16771,S,S,,S,S,S,,,S,S,R,
1194162_3,S,S,,S,S,S,S,,S,S,S,
149391_33,S,S,,S,S,S,S,,S,S,S,
590_13859,S,R,,R,S,S,,,R,S,S,
590_15223,S,S,,S,S,S,,,S,S,R,
590_16463,S,R,,R,S,S,,,R,S,R,
590_14844,S,S,,S,S,S,,,S,S,R,
90370_4961,,,,,R,S,,,S,S,,
54388_239,,,,,R,S,,,S,S,,
90370_3000,,,,S,R,S,,,R,S,,
90370_2711,,,,S,R,R,,,R,R,,
590_14883,S,S,,S,S,S,,,S,S,R,
90371_5414,R,S,,S,R,R,,,R,R,,
192955_352,S,,,S,R,S,S,,R,S,S,
590_12055,S,S,,S,S,S,,,S,S,R,
90371_5295,S,S,,S,R,S,,,R,R,,
590_13625,S,S,,S,S,S,,,S,S,R,
90371_5423,S,S,,S,S,S,,,S,S,,
590_12514,S,S,,S,S,S,,,S,S,R,
59201_4090,,,S,S,R,S,,,S,S,,
595_129,R,S,,S,R,R,,,S,S,R,
590_16688,S,S,,S,R,S,,,S,S,R,
108619_88,R,R,,R,S,R,,,R,R,R,
590_14894,S,S,,S,S,S,,,S,S,R,
98360_77,S,R,,R,S,R,,,R,R,R,
90370_5506,S,,S,S,R,S,S,,S,S,S,
192955_373,S,,,S,R,R,S,,R,S,R,
590_12061,S,S,,S,S,S,,,S,S,R,
90370_2961,,,,S,R,S,,,R,S,,
590_12410,S,S,,S,S,S,,,R,S,R,
590_16871,S,S,,S,S,S,,,S,R,R,
90370_3415,,,,,R,S,,,S,S,,
108619_38,R,R,,R,S,R,,,R,R,R,
192955_409,R,,,R,R,R,R,,R,R,S,
59201_4132,,,S,R,S,R,S,,R,R,S,
192955_424,R,,,S,R,R,S,,S,S,R,
90370_4856,,,,,R,S,,,S,S,,
59201_4106,,,S,S,R,S,,,S,S,,
590_12443,S,S,,S,S,S,,,S,S,S,
90371_5385,R,S,,S,R,S,,,R,R,,
85569_244,S,,,,S,R,,S,R,R,R,
54388_273,S,,S,S,R,S,,,S,S,S,
90370_5510,S,,S,S,R,S,S,,S,S,S,
90370_3052,,,,S,R,S,,,S,S,,
90370_3494,,,,,R,S,,,S,S,,
590_14712,S,S,,S,S,S,,,S,S,R,
98360_94,R,R,,R,S,R,,,R,R,R,
90371_5509,S,,S,S,S,R,,,R,S,S,
90370_4946,,,,,R,S,,,S,S,,
90370_4103,S,,S,S,S,S,S,,S,S,S,
590_15312,S,S,,S,S,S,,,S,S,R,
90370_2724,,,,S,R,R,,,R,R,,
28901_799,S,S,,S,S,S,S,,S,S,S,
90370_3172,,,,S,S,S,,,S,S,,
590_16023,S,S,,S,S,S,,,S,S,R,
85569_300,R,,,,S,R,,S,R,R,R,
590_16756,S,S,,S,S,S,,,S,R,R,
590_16053,S,S,,S,S,R,,,S,S,R,
108619_151,S,S,,S,S,S,S,,S,S,S,
192955_423,S,,,S,R,S,S,,R,S,S,
28901_790,S,S,,S,S,R,S,,S,S,S,
149391_44,S,S,,S,S,S,S,,S,S,S,
590_12252,S,S,,S,S,S,,,S,S,S,
90370_4135,S,,S,S,S,S,S,,S,,S,
28901_816,S,S,,S,R,R,S,,R,S,R,
399587_73,S,S,S,S,S,R,S,,R,R,S,
590_13649,S,S,,S,S,R,,,S,S,S,
85569_251,R,,,,R,R,,S,R,R,R,
590_15231,S,R,,R,S,S,,,R,R,R,
28901_21083,,,S,R,R,R,,,R,,,
590_12331,S,S,,S,S,S,,,S,S,S,
90370_3504,,,,,R,S,,,S,S,,
90370_3100,,,,S,R,S,,,S,S,,
85569_372,R,,,,S,R,,S,R,R,R,
363569_37,S,S,,S,S,S,S,,S,S,S,
85569_295,R,,,,R,R,,S,R,R,R,
590_11961,S,S,,S,S,S,,,S,S,R,
90371_5508,S,,S,S,S,R,,,R,R,S,
28901_16311,R,,,S,S,R,,,R,S,R,
90370_2994,,,,S,R,S,,,R,S,,
90370_4904,,,,,R,S,,,S,S,,
90370_4924,,,,,R,S,,,S,S,,
85569_200,S,,,,S,R,,S,S,S,S,
590_16389,S,S,,S,S,S,,,S,S,R,
108619_163,S,S,,S,S,S,S,,S,S,S,
590_12459,S,S,,S,S,S,,,S,S,S,
90370_3091,,,,S,R,S,,,S,S,,
54388_194,,,,,R,S,,,S,S,,
90370_2976,,,,S,R,S,,,R,S,,
85569_271,R,,,,S,R,,S,R,R,R,
590_14023,S,S,,S,S,S,,,S,S,R,
590_12241,S,S,,S,S,S,,,S,S,S,
54388_314,S,,,,S,S,S,,S,S,S,
28901_832,S,S,,S,S,S,S,,S,S,S,
46626_41,S,S,,S,S,S,S,,S,S,S,
85569_81,S,,,,S,R,,S,S,S,R,
590_12326,S,S,,S,S,S,,,S,S,S,
85569_277,R,,,,S,R,,S,S,S,R,
90370_5523,S,,S,S,R,S,S,,S,S,S,
590_14354,S,R,,R,S,S,,,R,R,R,
90371_2484,R,R,,S,S,R,,,R,R,R,
90370_2537,,,,S,R,S,,,S,S,,
590_12078,S,S,,S,S,S,,,S,S,R,
590_15762,S,S,,S,S,S,,,S,S,R,
28901_821,S,R,,S,S,R,S,,R,S,S,
90370_4950,,,,,S,S,,,S,S,,
59201_4139,,,S,S,S,S,S,,S,S,S,
90370_3420,,,,,R,S,,,S,S,,
85569_179,R,,,,S,R,,S,R,R,R,
90370_3020,,,,S,R,S,,,S,S,,
85569_211,R,,,,S,R,,S,R,R,R,
90370_4783,,,,,R,S,,,S,S,,
90370_4930,,,,,R,S,,,S,S,,
90370_2992,,,,S,R,S,,,R,S,,
590_12247,S,R,,R,S,S,,,R,R,R,
90370_5515,S,,S,S,R,S,S,,S,S,S,
108619_177,S,S,,S,S,S,S,,S,S,S,
600_42,S,S,,S,S,S,S,,S,S,S,
590_16178,S,S,,S,S,S,,,S,S,R,
590_14087,S,S,,S,S,S,,,S,S,R,
590_16832,S,R,,S,S,S,,,R,S,R,
90371_5379,S,S,,S,S,R,,,R,R,,
192955_380,R,,,S,R,R,S,,R,S,R,
90371_5391,S,S,,S,S,S,,,S,S,,
590_12403,S,S,,S,S,S,,,S,S,R,
90370_4093,S,,S,S,R,R,S,,R,R,S,
590_14941,S,S,,S,S,S,,,S,S,R,
399587_67,S,S,S,S,S,R,R,,R,R,R,
590_12613,S,S,,S,S,S,,,S,S,R,
590_12545,S,R,,R,S,S,,,R,S,R,
90371_5292,S,S,,S,S,R,,,R,R,,
590_12565,S,S,,S,S,S,,,S,S,S,
590_15134,S,S,,S,S,S,,,S,S,R,
90371_5461,S,,S,S,S,R,,,R,R,S,
600_43,S,S,,S,S,S,S,,S,S,S,
90371_2140,R,S,,S,S,R,,,S,S,S,
28901_862,S,S,,S,S,S,S,,S,S,S,
85569_178,R,,,,S,R,,S,R,R,R,
85569_120,R,,,,S,R,,S,R,R,R,
54388_384,S,,S,S,S,S,S,,S,S,S,
54388_343,S,,,,R,S,S,,S,S,S,
85569_282,R,,,,S,R,,S,R,R,R,
590_12243,S,S,,R,S,S,,,S,S,S,
192955_202,S,S,,S,S,S,S,,S,S,R,
590_12561,S,S,,S,S,S,,,S,S,R,
28901_825,R,R,,R,R,R,S,,R,R,R,
590_12253,S,S,,S,S,S,,,S,S,S,
90370_2944,,,,S,R,S,,,S,S,,
108619_98,R,R,,R,S,R,,,R,R,R,
90371_5332,S,S,,S,S,S,,,S,S,,
90371_5296,S,S,,S,S,S,,,R,R,,
90370_2861,,,,S,R,R,,,R,R,,
98360_93,R,R,,R,S,R,,,R,R,R,
98360_90,R,R,,R,S,R,,,R,S,R,
590_12471,S,S,,S,S,S,,,S,S,S,
28901_776,R,R,,R,S,R,S,,R,R,S,
85569_156,R,,,,S,R,,S,R,R,R,
90370_5492,S,,S,S,R,S,S,,S,S,S,
90371_5398,S,R,,S,R,R,,,R,R,,
54388_366,S,,S,S,S,S,S,,S,S,S,
28901_809,S,S,,S,S,S,S,,S,S,S,
192955_437,S,,,S,S,S,S,,R,S,S,
90371_5337,S,S,,S,S,R,,,R,R,,
90370_3482,,,,,R,S,,,S,S,,
90371_5454,S,,S,S,S,R,,,R,R,S,
590_15025,S,S,,S,S,S,,,S,S,S,
590_15528,R,S,,S,S,S,,,R,S,R,
590_16583,S,R,,R,S,S,,,R,R,R,
90370_3149,,,,S,S,S,,,S,S,,
590_14995,R,S,,S,S,S,,,S,S,R,
85569_38,R,,,,S,R,,,S,S,S,
59201_4150,,,S,R,S,R,S,,R,R,S,
590_14465,S,S,,S,S,S,,,S,S,R,
90370_5493,S,,S,S,R,R,S,,R,R,R,
98360_99,S,R,,R,S,R,,,R,R,S,
90370_2504,,,,S,R,S,,,S,S,,
90371_2136,R,R,,R,S,R,,,R,R,R,
85569_140,R,,,,R,R,,S,R,R,R,
590_16163,S,S,,S,R,S,,,S,S,R,
590_14755,R,S,,S,S,S,,,S,S,R,
85569_50,R,,,,S,R,,S,R,R,R,
28901_813,R,S,,S,S,R,S,,S,S,R,
85569_325,R,,,,S,R,,S,R,R,R,
590_12359,S,R,,R,S,S,,,R,S,S,
590_12500,S,S,,S,S,S,,,S,S,R,
85569_238,R,,,,S,R,,S,R,S,R,
85569_328,R,,,,S,R,,S,R,R,R,
90370_4960,,,,,R,S,,,S,S,,
90370_4789,,,,,R,S,,,S,S,,
590_16472,S,S,,S,S,S,,,S,S,R,
28901_820,S,S,,S,S,S,S,,S,S,R,
590_12048,S,S,,S,S,S,,,S,S,R,
28901_16272,S,,,S,,S,,,R,,,
