Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
340189_10,2013,USA,Horse,Horse,Nonhuman Mammal,USA
590_12409,2015,USA,Chicken,Chicken,Avian,USA
590_16511,2014,USA,Turkey,Turkey,Avian,USA
1379271_4,2006,China,Human,Human,Human,CHN
90370_419,1992,Papua New Guinea,Human,Human,Human,PNG
90370_634,2001,Papua New Guinea,Human,Human,Human,PNG
595_107,2015,Switzerland,Human,Human,Human,CHE
90370_3047,2013,Bangladesh,Human,Human,Human,BGD
590_12353,2015,USA,Pig,Pig,Nonhuman Mammal,USA
590_17099,2014,USA,Pig,Pig,Nonhuman Mammal,USA
58712_79,2012,USA,Horse,Horse,Nonhuman Mammal,USA
90370_3566,2013,Nepal,Human,Human,Human,NPL
590_16778,2014,USA,Chicken,Chicken,Avian,USA
590_12499,2015,USA,Pig,Pig,Nonhuman Mammal,USA
590_12231,2015,USA,Pig,Pig,Nonhuman Mammal,USA
54388_247,2010,Nepal,Human,Human,Human,NPL
85569_68,1994,United Kingdom,Sheep,Sheep,Nonhuman Mammal,GBR
90370_2487,2001,Bangladesh,Human,,,BGD
90371_5371,2012,Vietnam,Pig,,,VNM
90370_3577,2014,Nepal,Human,Human,Human,NPL
90370_3035,2009,Bangladesh,Human,Human,Human,BGD
590_14071,2014,USA,Pig,Pig,Nonhuman Mammal,USA
85569_240,2001,United Kingdom,Human,Human,Human,GBR
590_16617,2014,USA,Chicken,Chicken,Avian,USA
590_17164,2014,USA,Chicken,Chicken,Avian,USA
192955_430,1997,Egypt,Human,Human,Human,EGY
90370_3542,2011,Nepal,Human,Human,Human,NPL
590_15082,2014,USA,Pig,Pig,Nonhuman Mammal,USA
590_15371,2014,USA,Cow,Cow,Nonhuman Mammal,USA
590_15453,2014,USA,Chicken,Chicken,Avian,USA
590_12393,2015,USA,Pig,Pig,Nonhuman Mammal,USA
590_12064,2014,USA,Pig,Pig,Nonhuman Mammal,USA
28901_16288,2015,USA,Pig,,,USA
90371_893,1994,China,Human,Human,Human,CHN
90371_5447,2016,Congo,Human,,,COG
54388_126,1963,France,Human,Human,Human,FRA
590_11962,2014,USA,Pig,Pig,Nonhuman Mammal,USA
90371_5285,2009,Vietnam,Human,,,VNM
590_15157,2014,USA,Cow,Cow,Nonhuman Mammal,USA
590_12557,2015,USA,Cow,Cow,Nonhuman Mammal,USA
90371_5428,2013,Vietnam,Chicken,,,VNM
590_12552,2015,USA,Chicken,Chicken,Avian,USA
90371_5301,2010,Vietnam,Human,,,VNM
59201_4209,2016,United Kingdom,Human,,,GBR
85569_318,1990,United Kingdom,Human,Human,Human,GBR
90370_2528,2011,Bangladesh,Human,,,BGD
486994_9,2013,USA,Horse,Horse,Nonhuman Mammal,USA
590_12442,2015,USA,Turkey,Turkey,Avian,USA
590_12391,2015,USA,Turkey,Turkey,Avian,USA
59201_4218,2019,United Kingdom,Human,,,GBR
85569_95,1994,United Kingdom,Cow,Cow,Nonhuman Mammal,GBR
590_15347,2014,USA,Chicken,Chicken,Avian,USA
90371_5468,2014,Congo,Human,,,COG
90371_5451,2016,Congo,Human,,,COG
590_16787,2014,USA,Pig,Pig,Nonhuman Mammal,USA
90370_4857,2013,Nepal,Human,,,NPL
85569_276,2004,United Kingdom,Dog,Dog,Nonhuman Mammal,GBR
70803_17,2010,USA,Horse,Horse,Nonhuman Mammal,USA
90371_5453,2014,Congo,Human,,,COG
590_15913,2014,USA,Chicken,Chicken,Avian,USA
90370_2935,2000,Bangladesh,Human,Human,Human,BGD
90371_5266,2009,Vietnam,Human,,,VNM
399587_52,2017,Portugal,Cow,Cow,Nonhuman Mammal,PRT
59201_4110,2006,United Kingdom,Human,,,GBR
90370_4833,2016,Nepal,Human,,,NPL
58712_77,2010,USA,Horse,Horse,Nonhuman Mammal,USA
85569_157,1991,United Kingdom,Human,Human,Human,GBR
590_14480,2014,USA,Pig,Pig,Nonhuman Mammal,USA
28901_16304,2011,USA,Human,,,USA
85569_246,1995,United Kingdom,Cow,Cow,Nonhuman Mammal,GBR
590_14959,2014,USA,Cow,Cow,Nonhuman Mammal,USA
85569_191,1993,United Kingdom,Cow,Cow,Nonhuman Mammal,GBR
98360_74,2010,USA,Cow,Cow,Nonhuman Mammal,USA
90370_4968,2015,Nepal,Human,,,NPL
90370_5558,2015,Bangladesh,Human,,,BGD
90370_3509,2010,Nepal,Human,Human,Human,NPL
59201_4212,2015,United Kingdom,Human,,,GBR
590_12264,2015,USA,Pig,Pig,Nonhuman Mammal,USA
590_12357,2015,USA,Pig,Pig,Nonhuman Mammal,USA
90370_4780,2016,Nepal,Human,,,NPL
90370_3202,2011,Bangladesh,Human,Human,Human,BGD
590_12572,2015,USA,Cow,Cow,Nonhuman Mammal,USA
90371_5376,2012,Vietnam,Pig,,,VNM
28901_16286,2015,USA,Pig,,,USA
590_13848,2014,USA,Pig,Pig,Nonhuman Mammal,USA
90371_2126,2008,USA,Cow,Cow,Nonhuman Mammal,USA
90370_3072,2010,Bangladesh,Human,Human,Human,BGD
59201_4152,2004,United Kingdom,Human,,,GBR
149539_891,1993,USA,Human,Human,Human,USA
