Genome ID,ampicillin,azithromycin,ceftriaxone,ciprofloxacin,gentamicin,meropenem,sulfonamides,trimethoprim
623_1730,R,S,S,S,S,S,R,R
623_1787,R,S,S,S,S,S,S,R
623_1753,R,S,S,S,S,S,S,S
623_1749,R,S,S,S,S,S,R,S
623_1813,S,S,S,S,S,S,R,R
623_1756,R,R,S,S,S,S,R,R
623_1759,R,R,S,S,S,S,R,R
623_1786,R,S,S,R,S,S,R,R
623_1773,S,S,S,R,S,S,R,R
623_949,,S,,,,,,
623_1732,R,R,S,S,S,S,R,R
623_1704,R,R,S,S,S,S,R,R
623_1775,R,S,S,R,S,S,S,R
623_1667,R,R,S,S,S,S,R,R
623_908,,S,,,,,,
623_1829,R,R,S,S,S,S,S,S
623_1799,R,R,S,S,S,S,R,R
623_1731,R,R,S,S,S,S,R,R
623_1803,R,S,S,S,S,S,S,S
623_1781,R,R,S,S,S,S,R,R
623_1734,S,S,S,S,S,S,S,S
623_1696,S,S,S,R,S,S,S,R
623_1770,R,S,S,R,S,S,S,R
623_1691,R,R,S,S,S,S,R,R
623_1797,R,R,S,S,S,S,R,R
623_1820,R,R,S,S,S,S,R,R
623_1685,R,S,S,S,S,S,R,R
623_1793,R,S,S,S,S,S,R,S
623_1681,R,S,S,S,S,S,S,R
623_1689,R,R,S,S,S,S,S,S
623_1724,R,R,S,S,S,S,R,R
623_1790,R,R,S,S,R,S,R,R
623_1700,R,R,S,S,S,S,S,S
623_1816,R,S,S,S,S,S,S,S
623_1671,R,S,S,S,S,S,R,R
623_1823,S,S,S,S,S,S,S,R
623_1709,R,R,S,S,S,S,R,R
623_1716,R,S,S,S,S,S,R,R
623_1754,R,R,S,R,S,S,R,R
623_1748,R,R,S,S,S,S,S,S
623_1672,R,S,S,R,S,S,S,R
623_1708,R,R,S,S,S,S,S,R
623_1828,R,R,S,S,S,S,R,R
623_1684,R,R,S,S,S,S,R,R
623_1791,R,S,S,S,S,S,R,R
623_1725,R,R,S,S,S,S,R,R
623_1841,R,S,S,S,S,S,R,R
623_1687,R,S,S,S,S,S,R,R
623_1800,R,S,S,S,S,S,R,R
623_766,,S,,,,,,
623_1688,R,R,S,S,S,S,S,S
623_1817,R,R,S,S,S,S,R,R
623_904,,R,,,,,,
623_1718,R,R,S,S,S,S,R,R
623_1764,R,S,R,R,S,S,S,R
623_1676,R,R,S,S,S,S,S,R
623_1710,R,R,S,S,S,S,R,R
623_1795,R,R,S,S,S,S,R,R
623_1666,R,S,S,S,S,S,S,S
