,Aminoglycoside,Carbapenem,Cephem,Fluoroquinolone,Folate,Macrolide,Penicilin
623_1730,S,S,S,S,R,S,R
623_1787,S,S,S,S,R,S,R
623_1753,S,S,S,S,S,S,R
623_1749,S,S,S,S,R,S,R
623_1813,S,S,S,S,R,S,S
623_1756,S,S,S,S,R,R,R
623_1759,S,S,S,S,R,R,R
623_1786,S,S,S,R,R,S,R
623_1773,S,S,S,R,R,S,S
623_949,,,,,,S,
623_1732,S,S,S,S,R,R,R
623_1704,S,S,S,S,R,R,R
623_1775,S,S,S,R,R,S,R
623_1667,S,S,S,S,R,R,R
623_908,,,,,,S,
623_1829,S,S,S,S,S,R,R
623_1799,S,S,S,S,R,R,R
623_1731,S,S,S,S,R,R,R
623_1803,S,S,S,S,S,S,R
623_1781,S,S,S,S,R,R,R
623_1734,S,S,S,S,S,S,S
623_1696,S,S,S,R,R,S,S
623_1770,S,S,S,R,R,S,R
623_1691,S,S,S,S,R,R,R
623_1797,S,S,S,S,R,R,R
623_1820,S,S,S,S,R,R,R
623_1685,S,S,S,S,R,S,R
623_1793,S,S,S,S,R,S,R
623_1681,S,S,S,S,R,S,R
623_1689,S,S,S,S,S,R,R
623_1724,S,S,S,S,R,R,R
623_1790,R,S,S,S,R,R,R
623_1700,S,S,S,S,S,R,R
623_1816,S,S,S,S,S,S,R
623_1671,S,S,S,S,R,S,R
623_1823,S,S,S,S,R,S,S
623_1709,S,S,S,S,R,R,R
623_1716,S,S,S,S,R,S,R
623_1754,S,S,S,R,R,R,R
623_1748,S,S,S,S,S,R,R
623_1672,S,S,S,R,R,S,R
623_1708,S,S,S,S,R,R,R
623_1828,S,S,S,S,R,R,R
623_1684,S,S,S,S,R,R,R
623_1791,S,S,S,S,R,S,R
623_1725,S,S,S,S,R,R,R
623_1841,S,S,S,S,R,S,R
623_1687,S,S,S,S,R,S,R
623_1800,S,S,S,S,R,S,R
623_766,,,,,,S,
623_1688,S,S,S,S,S,R,R
623_1817,S,S,S,S,R,R,R
623_904,,,,,,R,
623_1718,S,S,S,S,R,R,R
623_1764,S,S,R,R,R,S,R
623_1676,S,S,S,S,R,R,R
623_1710,S,S,S,S,R,R,R
623_1795,S,S,S,S,R,R,R
623_1666,S,S,S,S,S,S,R
623_1780,S,S,S,S,R,S,R
623_1697,S,S,S,S,S,R,R
623_1777,S,S,S,S,R,R,R
623_1758,S,S,S,S,R,R,R
623_1711,S,S,S,S,R,R,R
623_1830,S,S,S,S,R,S,R
623_1840,S,S,S,S,R,R,R
623_1698,S,S,S,S,S,R,R
623_1693,S,S,S,S,R,S,R
623_1755,S,S,S,S,S,R,R
623_1825,S,S,S,S,R,R,R
623_1669,S,S,S,S,R,R,R
623_1776,S,S,S,S,R,R,R
623_1766,S,S,S,S,R,R,R
623_1735,S,S,S,S,R,S,R
623_1695,S,S,S,S,R,S,S
623_1815,S,S,S,S,R,R,R
623_1717,S,S,S,S,R,R,R
623_1835,S,S,S,S,R,S,R
623_1720,S,S,S,S,R,S,S
623_1819,S,S,S,R,R,S,R
623_1761,S,S,S,S,S,S,R
623_1736,S,S,S,S,R,S,S
623_1768,S,S,S,S,R,R,R
623_1675,S,S,S,S,R,R,R
623_1680,S,S,S,S,R,R,R
623_1812,S,S,S,S,R,S,S
623_1778,S,S,S,S,S,S,R
623_1763,S,S,S,S,R,R,R
623_1839,S,S,S,S,S,S,R
623_1779,S,S,S,S,R,R,R
623_1818,S,S,S,S,R,S,R
623_1722,S,S,S,S,R,R,R
623_1752,S,S,S,S,S,S,S
623_1836,S,S,S,S,R,S,R
623_764,,,,,,S,
623_1807,S,S,S,S,R,S,R
623_1733,S,S,S,S,R,S,R
623_1783,S,S,S,S,S,S,R
623_1690,S,S,S,S,S,S,S
623_1670,S,S,S,R,R,S,S
623_1750,S,S,S,S,S,S,S
623_1673,S,S,S,R,R,S,R
623_1728,S,S,S,R,R,S,R
623_1743,S,S,S,S,R,S,R
623_1729,S,S,S,S,R,R,R
623_1785,S,S,S,S,R,R,R
623_1721,S,S,S,S,R,R,R
623_1774,S,S,S,S,R,R,R
623_1788,S,S,S,S,R,R,R
623_1805,S,S,S,S,R,R,R
623_1723,S,S,S,S,R,R,R
623_1842,S,S,S,S,S,S,R
623_1760,S,S,S,S,R,R,R
623_1682,S,S,S,S,S,R,R
623_1833,S,S,S,S,R,S,R
623_1834,S,S,S,S,S,S,S
623_1806,S,S,S,S,R,S,R
623_1715,S,S,S,S,R,S,R
623_1772,S,S,S,S,S,S,R
623_1762,S,S,S,S,R,R,R
623_1804,S,S,S,S,R,S,R
623_1769,S,S,S,S,R,S,R
623_1794,S,S,S,S,R,R,R
623_1706,S,S,S,R,R,R,R
623_1837,S,S,S,S,R,R,R
623_1824,S,S,S,S,R,R,R
623_1822,S,S,S,S,S,S,R
623_1726,S,S,S,S,R,R,R
623_768,,,,,,S,
623_1674,S,S,S,S,R,S,R
623_1677,S,S,S,S,S,R,R
623_1796,S,S,S,S,R,R,R
623_1707,S,S,S,S,R,S,S
623_1838,S,S,S,S,R,S,R
623_1746,S,,,S,R,S,
623_1745,S,S,S,S,S,S,S
623_1798,S,S,S,S,S,S,R
623_1782,S,S,S,S,R,R,R
623_1809,S,S,S,S,R,R,R
623_1665,S,S,S,S,R,R,R
623_1811,S,S,S,S,R,S,R
623_1808,S,S,S,S,S,S,R
623_1683,S,S,S,S,R,S,S
623_1713,S,S,S,S,R,R,R
