Genome ID,amikacin,ampicillin,azithromycin,aztreonam,cefazolin,cefepime,cefoperazone,cefotaxime,cefoxitin,cefpirome,ceftazidime,ceftriaxone,chloramphenicol,ciprofloxacin,colistin,ertapenem,gentamicin,imipenem,levofloxacin,meropenem,nalidixic acid,nitrofurantoin,norfloxacin,piperacillin,streptomycin,sulfonamides,temocillin,tetracycline,ticarcillin,ticarcillin_clavulanic acid,tobramycin,trimethoprim,trimethoprim_sulfamethoxazole
624_3758,,R,R,,,,,,,,,S,,R,,,S,,,S,,,,,,R,,,,,,R,
624_2031,R,S,S,,,,,S,S,S,S,,S,S,,S,R,,,,S,,,,R,S,S,S,,,R,R,
624_4272,S,R,S,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,R,R,,R
624_4321,S,R,R,R,R,S,S,,R,,R,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,R,R,,R
624_4367,S,R,R,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,R,R,,R
624_2179,R,S,S,,,,,S,S,S,S,,S,S,,S,R,,,,S,,,,R,R,S,R,,,R,R,
624_1977,R,S,S,,,,,S,S,S,S,,S,R,,S,R,,,,R,,,,R,R,S,R,,,R,R,
624_3306,,S,,,,,,S,,,,,,R,,,,,,,R,,,,R,,,R,,,,,R
624_4358,S,R,S,S,R,S,R,,S,,S,R,S,,S,,S,S,S,,,S,S,R,,,,R,R,R,S,,R
624_4189,S,R,R,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,R,R,,R
624_2086,R,S,S,,,,,S,S,S,S,,S,R,,S,R,,,,R,,,,R,R,S,R,,,R,R,
624_4309,S,R,S,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,S,R,R,R,,S
624_3347,,S,,,,,,S,,,,,,R,,,,,,,R,,,,S,,,S,,,,,S
624_2029,R,S,S,,,,,S,S,S,S,,S,R,,S,R,,,,R,,,,R,R,S,R,,,R,R,
624_4197,S,S,S,S,S,S,S,,S,,S,S,S,,S,,S,S,S,,,S,S,S,,,,R,S,S,S,,R
624_4306,S,R,R,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,S,R,,R
624_4361,S,R,S,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,R,R,,R
624_4253,S,R,R,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,R,R,,R
624_615,,S,,,,,,,,,,,S,,,,,,,,S,,,,S,S,,S,,,,S,S
624_3544,,R,R,,,,,,,,,R,,R,,,R,,,S,,,,,,R,,,,,,R,
624_2106,S,S,S,,,,,S,S,S,S,,S,S,,S,S,,,,S,,,,S,S,S,S,,,S,R,
624_3696,,R,S,,,,,,,,,S,,S,,,S,,,S,,,,,,R,,,,,,R,
624_3626,,R,R,,,,,,,,,S,,S,,,S,,,S,,,,,,R,,,,,,R,
624_3789,,S,S,,,,,,,,,S,,S,,,S,,,S,,,,,,S,,,,,,R,
624_4243,S,R,R,S,R,S,R,,S,,S,R,S,,S,,R,S,S,,,S,S,R,,,,R,R,R,R,,R
