,Aminoglycoside,B-lactam Combined Agents,Carbapenem,Cephem,Fluoroquinolone,Folate,Lipopeptide,Macrolide,Nitrofurans,Penicilin,Phenicol,Tetracycline
624_3758,S,,S,S,R,R,,R,,R,,
624_2031,R,,S,S,S,R,,S,,S,S,S
624_4272,R,R,S,R,S,R,S,S,S,R,S,R
624_4321,R,R,S,R,S,R,S,R,S,R,S,R
624_4367,R,R,S,R,S,R,S,R,S,R,S,R
624_2179,R,,S,S,S,R,,S,,S,S,R
624_1977,R,,S,S,R,R,,S,,S,S,R
624_3306,R,,,S,R,R,,,,S,,R
624_4358,S,R,S,R,S,R,S,S,S,R,S,R
624_4189,R,R,S,R,S,R,S,R,S,R,S,R
624_2086,R,,S,S,R,R,,S,,S,S,R
624_4309,R,R,S,R,S,S,S,S,S,R,S,S
624_3347,S,,,S,R,S,,,,S,,S
624_2029,R,,S,S,R,R,,S,,S,S,R
624_4197,S,S,S,S,S,R,S,S,S,S,S,R
624_4306,R,S,S,R,S,R,S,R,S,R,S,R
624_4361,R,R,S,R,S,R,S,S,S,R,S,R
624_4253,R,R,S,R,S,R,S,R,S,R,S,R
624_615,S,,,,S,S,,,,S,S,S
624_3544,R,,S,R,R,R,,R,,R,,
624_2106,S,,S,S,S,R,,S,,S,S,S
624_3696,S,,S,S,S,R,,S,,R,,
624_3626,S,,S,S,S,R,,R,,R,,
624_3789,S,,S,S,S,R,,S,,S,,
624_4243,R,R,S,R,S,R,S,R,S,R,S,R
624_1923,R,,R,R,R,R,,S,,R,S,R
624_2150,S,,R,R,S,R,,S,,R,R,R
624_1929,R,,S,S,R,R,,S,,S,S,S
624_3685,S,,S,S,R,R,,S,,S,,
624_193,S,,,,S,S,,,,S,S,S
624_1876,S,,S,S,S,R,,S,,S,S,S
624_3426,R,,,S,R,R,,,,S,,R
624_1928,R,,S,S,S,R,,S,,S,S,R
624_2206,R,,S,S,S,R,,S,,S,S,R
624_4238,R,R,S,R,S,R,S,R,S,R,S,R
624_3879,S,,S,S,S,R,,S,,S,,
624_1915,R,,R,R,S,R,,S,,R,S,R
624_3658,S,,S,S,S,R,,S,,S,,
624_3754,S,,S,S,S,R,,S,,S,,
624_3179,,,,S,R,R,,,,S,,
624_3663,S,,S,S,R,R,,S,,S,,
624_4258,R,R,S,R,S,R,S,S,R,R,R,R
624_160,R,,,,S,R,,,,R,S,R
624_1880,R,,S,S,R,R,,S,,S,S,R
624_2109,R,,R,R,S,R,,S,,R,S,R
624_3733,S,,S,R,S,R,,S,,R,,
624_4283,R,R,S,R,S,R,S,S,S,R,S,R
624_3800,S,,S,S,S,S,,S,,S,,
624_4307,S,R,S,R,S,S,S,S,S,R,S,S
624_1931,R,,S,S,S,R,,S,,S,S,S
624_4269,R,R,S,R,S,R,S,S,S,R,S,R
624_1958,R,,R,R,R,R,,R,,R,S,R
624_4428,R,R,S,R,S,R,S,R,S,R,S,R
624_4371,R,R,S,R,S,R,S,R,S,R,S,R
624_3196,,,,S,R,R,,,,S,,
624_91,S,,,,S,S,,,,S,S,S
624_4210,R,R,S,R,S,R,S,R,S,R,S,R
624_4404,R,S,S,R,S,R,R,R,S,R,S,R
624_4390,R,R,S,R,S,R,S,R,S,R,S,R
624_4315,R,R,S,R,S,R,S,R,S,R,S,R
624_2112,R,,R,R,S,R,,R,,R,S,R
624_2124,R,,S,S,S,R,,S,,S,S,R
624_3709,S,,S,R,S,R,,R,,R,,
624_4212,R,R,S,R,S,R,S,R,S,R,S,R
624_3611,S,,S,S,S,R,,R,,R,,
624_4319,R,R,S,R,S,R,S,R,S,R,S,R
624_1921,R,,S,S,S,R,,S,,S,S,R
624_3055,,,,R,R,,,,,,,
624_4372,R,S,S,R,S,R,S,R,S,R,S,R
624_3568,S,,S,S,S,R,,R,,R,,
624_3801,S,,S,S,S,R,,R,,R,,
624_4411,R,S,S,R,S,R,R,R,S,R,S,R
624_3485,,,,,S,,,,,,,
