Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
624_3758,2016,Australia,Human,,,AUS
624_2031,2016,United Kingdom,Human,Human,Human,GBR
624_4272,2015,China,Human,,,CHN
624_4321,2015,China,Human,,,CHN
624_4367,2015,China,Human,,,CHN
624_2179,2016,United Kingdom,Human,Human,Human,GBR
624_1977,2016,United Kingdom,Human,Human,Human,GBR
624_3306,2010,India,Human,,,IND
624_4358,2015,China,Human,,,CHN
624_4189,2015,China,Human,,,CHN
624_2086,2016,United Kingdom,Human,Human,Human,GBR
624_4309,2015,China,Human,,,CHN
624_3347,2009,India,Human,,,IND
624_2029,2016,United Kingdom,Human,Human,Human,GBR
624_4197,2015,China,Human,,,CHN
624_4306,2015,China,Human,,,CHN
624_4361,2015,China,Human,,,CHN
624_4253,2015,China,Human,,,CHN
624_615,2004,Tanzania,Human,Human,Human,TZA
624_3544,2016,Australia,Human,,,AUS
624_2106,2016,United Kingdom,Human,Human,Human,GBR
624_3696,2016,Australia,Human,,,AUS
624_3626,2016,Australia,Human,,,AUS
624_3789,2017,Australia,Human,,,AUS
624_4243,2015,China,Human,,,CHN
624_1923,2016,United Kingdom,Human,Human,Human,GBR
624_2150,2016,United Kingdom,Human,Human,Human,GBR
624_1929,2016,United Kingdom,Human,Human,Human,GBR
624_3685,2016,Australia,Human,,,AUS
624_193,1973,Nigeria,Human,Human,Human,NGA
624_1876,2016,United Kingdom,Human,Human,Human,GBR
624_3426,2014,India,Human,,,IND
624_1928,2016,United Kingdom,Human,Human,Human,GBR
624_2206,2016,United Kingdom,Human,Human,Human,GBR
624_4238,2015,China,Human,,,CHN
624_3879,2018,Australia,Human,,,AUS
624_1915,2016,United Kingdom,Human,Human,Human,GBR
624_3658,2016,Australia,Human,,,AUS
624_3754,2017,Australia,Human,,,AUS
624_3179,2011,Bhutan,Human,,,BTN
624_3663,2016,Australia,Human,,,AUS
624_4258,2015,China,Human,,,CHN
624_160,2003,Viet Nam,Human,Human,Human,VNM
624_1880,2016,United Kingdom,Human,Human,Human,GBR
624_2109,2016,United Kingdom,Human,Human,Human,GBR
624_3733,2016,Australia,Human,,,AUS
624_4283,2015,China,Human,,,CHN
624_3800,2017,Australia,Human,,,AUS
624_4307,2015,China,Human,,,CHN
624_1931,2016,United Kingdom,Human,Human,Human,GBR
624_4269,2015,China,Human,,,CHN
624_1958,2016,United Kingdom,Human,Human,Human,GBR
624_4428,2015,China,Human,,,CHN
624_4371,2015,China,Human,,,CHN
624_3196,2011,Bhutan,Human,,,BTN
624_91,1998,French Guiana,Human,Human,Human,GUF
624_4210,2015,China,Human,,,CHN
624_4404,2015,China,Human,,,CHN
624_4390,2015,China,Human,,,CHN
624_4315,2015,China,Human,,,CHN
624_2112,2016,United Kingdom,Human,Human,Human,GBR
624_2124,2016,United Kingdom,Human,Human,Human,GBR
624_3709,2017,Australia,Human,,,AUS
624_4212,2015,China,Human,,,CHN
624_3611,2017,Australia,Human,,,AUS
624_4319,2015,China,Human,,,CHN
624_1921,2016,United Kingdom,Human,Human,Human,GBR
624_3055,2009,Vietnam,Human,,,VNM
624_4372,2015,China,Human,,,CHN
624_3568,2016,Australia,Human,,,AUS
624_3801,2017,Australia,Human,,,AUS
624_4411,2015,China,Human,,,CHN
624_3485,2003,India,Human,,,IND
624_2063,2016,United Kingdom,Human,Human,Human,GBR
624_1942,2016,United Kingdom,Human,Human,Human,GBR
624_3362,2010,India,Human,,,IND
624_1994,2016,United Kingdom,Human,Human,Human,GBR
624_2088,2016,United Kingdom,Human,Human,Human,GBR
624_3772,2017,Australia,Human,,,AUS
624_3423,2014,Cambodia,Human,,,KHM
624_3172,2009,Vietnam,Human,,,VNM
624_2004,2016,United Kingdom,Human,Human,Human,GBR
624_4286,2015,China,Human,,,CHN
624_2105,2016,United Kingdom,Human,Human,Human,GBR
624_3224,2012,Bhutan,Human,,,BTN
624_2000,2016,United Kingdom,Human,Human,Human,GBR
624_3205,2011,Bhutan,Human,,,BTN
624_2170,2016,United Kingdom,Human,Human,Human,GBR
624_4352,2015,China,Human,,,CHN
624_2153,2016,United Kingdom,Human,Human,Human,GBR
624_4230,2015,China,Human,,,CHN
624_2178,2016,United Kingdom,Human,Human,Human,GBR
624_4294,2015,China,Human,,,CHN
624_4213,2015,China,Human,,,CHN
624_4183,2015,China,Human,,,CHN
624_3760,2016,Australia,Human,,,AUS
624_4337,2015,China,Human,,,CHN
