Genome ID,cefoxitin,ceftaroline,chloramphenicol,ciprofloxacin,clindamycin,daptomycin,erythromycin,fosfomycin,fusidic acid,gentamicin,levofloxacin,linezolid,methicillin,moxifloxacin,mupirocin,oxacillin,penicillin,rifampicin,teicoplanin,tetracycline,tigecycline,tobramycin,trimethoprim_sulfamethoxazole,vancomycin
1280_15880,,,R,R,S,,S,S,S,R,,S,,,S,R,R,S,S,R,,R,S,S
1280_29765,R,,S,R,,,S,,S,S,,S,,,S,,,S,,S,,,,
1280_30331,R,,S,R,,,S,,S,S,,S,,,S,,,S,,S,,,,
1280_30015,R,,S,R,,,S,,S,S,,S,,,S,,,S,,S,,,,
1280_30165,R,,S,S,,,R,,S,S,,S,,,S,,,S,,R,,,,
1280_26214,,,,,,,,,R,,,,,,R,,,,,,,,,
1280_29931,R,,S,S,,,S,,R,S,,S,,,S,,,S,,S,,,,
1280_51824,S,,,R,R,R,R,S,S,S,,S,,R,S,R,R,S,S,S,S,,S,S
1280_29966,R,,S,R,,,S,,S,S,,S,,,S,,,S,,S,,,,
1280_11315,S,,,,S,,S,S,S,S,S,,,,,S,R,,,,,,S,
1280_10948,S,,,,S,,S,S,S,S,S,,,,,S,R,,,,,,S,
1280_51897,S,R,,R,R,S,R,S,S,R,,S,,R,S,R,R,R,S,S,S,,S,S
1280_51836,S,,,R,R,S,R,S,S,S,,S,,R,S,R,R,S,S,S,S,,S,S
1280_15873,,,R,S,S,,S,S,S,S,,S,,,S,S,R,S,S,R,,S,R,S
1280_9398,,,,R,R,,R,,,R,,,,,,,,,,R,,,S,
1280_15931,,,,,S,S,,,,,,S,,,,R,,S,,,S,,S,S
1280_51893,S,R,,R,R,S,R,S,S,R,,S,,R,S,R,R,S,S,S,S,,S,S
1280_51619,S,S,,,S,S,S,,S,S,,S,,S,S,,,S,S,S,,S,S,S
1280_51848,S,R,,R,R,S,R,S,S,S,,S,,R,S,R,R,S,S,S,S,,S,S
1280_51838,S,,,R,R,S,R,S,S,S,,S,,R,S,R,R,S,S,S,S,,S,S
1280_16839,R,,,S,R,,R,,S,S,,S,,,,,,S,,S,S,,S,S
1280_15865,,,S,S,S,,S,S,S,S,,S,,,S,S,R,S,S,S,,S,R,S
1280_15884,,,R,R,S,,R,S,S,R,,S,,,S,R,R,S,S,R,,R,S,S
1280_51807,R,,,R,R,S,R,S,S,S,,S,,R,S,R,R,S,S,S,S,,S,S
1280_51810,R,,,R,R,S,R,S,S,S,,S,,R,S,R,R,S,S,S,S,,S,S
1280_25159,,,,,,,,,,,,,R,,,,,,,,,,,
1280_30087,R,,S,R,,,S,,R,S,,S,,,S,,,S,,S,,,,
1280_15868,,,S,S,S,,R,S,S,S,,S,,,S,S,R,S,S,S,,S,R,S
1280_29758,R,,S,S,,,S,,S,S,,S,,,S,,,S,,S,,,,
1280_30275,R,,S,R,,,R,,S,S,,S,,,S,,,S,,S,,,,
1422762_3,,,,,,,,,,,,,S,,,,,,,,,,,
