,Aminoglycoside,Cephem,Fluoroquinolone,Folate,Fosfomycin,Glycopeptide,Lincosamide,Lipoglycopeptide,Lipopeptide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Pseudonomic Acid,Rifamycin,Steroidal,Tetracycline
1280_15880,R,,R,S,S,S,S,S,,S,S,R,R,S,S,S,R
1280_29765,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_30331,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_30015,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_30165,S,R,S,,,,,,,R,S,,S,S,S,S,R
1280_26214,,,,,,,,,,,,,,R,,R,
1280_29931,S,R,S,,,,,,,S,S,,S,S,S,R,S
1280_51824,S,S,R,S,S,S,R,S,R,R,S,R,,S,S,S,S
1280_29966,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_11315,S,S,S,S,S,,S,,,S,,R,,,,S,
1280_10948,S,S,S,S,S,,S,,,S,,R,,,,S,
1280_51897,R,R,R,S,S,S,R,S,S,R,S,R,,S,R,S,S
1280_51836,S,S,R,S,S,S,R,S,S,R,S,R,,S,S,S,S
1280_15873,S,,S,R,S,S,S,S,,S,S,R,R,S,S,S,R
1280_9398,R,,R,S,,,R,,,R,,,,,,,R
1280_15931,,,,S,,S,S,,S,,S,R,,,S,,S
1280_51893,R,R,R,S,S,S,R,S,S,R,S,R,,S,S,S,S
1280_51619,S,S,S,S,,S,S,S,S,S,S,,,S,S,S,S
1280_51848,S,R,R,S,S,S,R,S,S,R,S,R,,S,S,S,S
1280_51838,S,S,R,S,S,S,R,S,S,R,S,R,,S,S,S,S
1280_16839,S,R,S,S,,S,R,,,R,S,,,,S,S,S
1280_15865,S,,S,R,S,S,S,S,,S,S,R,S,S,S,S,S
1280_15884,R,,R,S,S,S,S,S,,R,S,R,R,S,S,S,R
1280_51807,S,R,R,S,S,S,R,S,S,R,S,R,,S,S,S,S
1280_51810,S,R,R,S,S,S,R,S,S,R,S,R,,S,S,S,S
1280_25159,,,,,,,,,,,,R,,,,,
1280_30087,S,R,R,,,,,,,S,S,,S,S,S,R,S
1280_15868,S,,S,R,S,S,S,S,,R,S,R,S,S,S,S,S
1280_29758,S,R,S,,,,,,,S,S,,S,S,S,S,S
1280_30275,S,R,R,,,,,,,R,S,,S,S,S,S,S
1422762_3,,,,,,,,,,,,S,,,,,
1280_30050,S,R,S,,,,,,,S,S,,S,S,S,R,S
1280_51642,S,S,S,S,,S,S,S,S,S,S,,,S,S,S,S
1280_51879,R,R,R,S,S,S,R,S,R,R,S,R,,S,S,S,S
1280_30057,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_30225,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_29771,S,R,S,,,,,,,S,S,,S,S,S,S,S
1280_51921,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
1280_51865,S,S,R,S,S,S,R,S,R,R,S,R,,S,R,S,S
1280_51919,S,S,S,S,S,S,S,S,S,S,S,R,,S,S,S,S
1280_11199,S,S,S,S,S,,S,,,S,,S,,,,S,
1280_51796,S,S,R,S,S,S,S,S,S,S,S,R,,S,S,S,S
1280_51933,S,S,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
1280_29881,S,R,S,,,,,,,R,S,,S,S,S,S,S
1280_51785,S,S,R,S,S,S,S,S,R,S,S,R,,S,S,S,S
1280_39738,,,R,,,,,,,,,,,,,,
1280_11204,S,S,S,S,S,,R,,,R,,R,,,,S,
1280_29789,S,R,R,,,,,,,R,S,,S,S,S,R,S
1280_51613,S,S,S,S,,S,S,S,S,S,S,,,S,S,R,S
1280_11241,S,S,S,S,S,,S,,,S,,R,,,,S,
1280_51627,S,S,S,S,,S,S,S,S,S,S,,,S,S,S,S
1280_51872,S,R,R,R,S,S,R,S,R,R,S,R,,S,S,S,R
1280_29964,S,R,R,,,,,,,R,S,,S,S,S,R,R
1280_30377,S,R,S,,,,,,,S,S,,S,S,S,S,S
1280_51770,S,S,S,S,S,S,S,S,R,S,S,R,,S,S,S,S
1422680_3,,,,,,,,,,,,R,,,,,
1280_30208,S,R,S,,,,,,,S,S,,S,S,S,R,S
1422485_3,,,,,,,,,,,,R,,,,,
1280_9371,R,,R,R,,,R,,,R,,,,,,,R
1280_29785,S,R,R,,,,,,,R,S,,S,S,S,S,S
1280_51649,S,S,S,S,,S,S,S,S,S,S,,,S,S,S,S
1280_51888,R,S,R,S,S,S,S,S,S,R,S,R,,R,S,S,S
1280_29831,S,R,R,,,,,,,R,S,,S,S,S,S,S
1280_15918,S,,S,S,S,S,S,S,,S,S,R,S,S,S,S,R
1280_11332,S,S,S,S,S,,S,,,S,,R,,,,S,
1280_9198,S,,R,S,,,S,,,S,,,,,,,S
1280_29820,S,R,,,,,,,,S,,,,,S,S,S
1280_24900,,,,,,,,,,,,R,,,,,
1280_11354,S,S,S,S,S,,S,,,S,,R,,,,S,
1280_15871,S,,S,R,S,S,S,S,,R,S,R,S,S,S,S,S
1280_30018,R,R,R,,,,,,,R,S,,S,S,R,S,S
1280_29776,S,R,S,,,,,,,R,S,,S,S,S,R,S
1280_51657,S,S,S,S,,S,S,S,S,S,S,,,S,S,S,S
1280_22661,,,,,,,S,,R,R,S,R,,,,,
1280_30216,S,R,S,,,,,,,R,S,,S,S,S,R,S
1280_51773,S,S,S,S,S,S,S,S,S,R,S,R,,S,S,S,S
1280_11213,S,S,S,S,S,,S,,,S,,R,,,,S,
1280_51812,S,R,R,S,S,S,R,S,R,R,S,R,,S,S,S,S
1280_30045,S,R,R,,,,,,,R,S,,S,S,S,R,S
1280_51615,S,S,S,S,,S,S,S,S,S,S,,,S,S,R,S
1280_51741,S,S,R,S,S,S,S,S,R,S,S,S,,S,S,S,S
1280_29822,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_11702,S,S,S,S,S,,S,,,S,,R,,,,S,
1413480_3,,,,,,,,,,,,R,,,,,
1280_9374,R,,R,S,,,R,,,R,,,,,,,R
1280_51891,S,S,S,S,S,S,S,S,,S,S,R,,S,S,R,S
1280_51898,R,R,R,S,S,S,R,S,S,R,S,R,,R,S,S,S
1280_29698,S,R,R,,,,,,,S,S,,S,S,S,S,S
1280_9209,R,,R,R,,,R,,,R,,,,,,,R
1280_11229,S,S,S,S,S,,S,,,S,,S,,,,S,
1280_24954,,,,,,,,,,,,R,,,,,
1280_51646,S,S,S,S,,S,S,S,S,S,S,,,S,S,S,S
