Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
1280_15880,2015,Ghana,Human,Human,Human,GHA
1280_29765,2018,United Kingdom,Human,Human,Human,GBR
1280_30331,2018,United Kingdom,Human,Human,Human,GBR
1280_30015,2018,United Kingdom,Human,Human,Human,GBR
1280_30165,2018,United Kingdom,Human,Human,Human,GBR
1280_26214,2014,New Zealand,Human,Human,Human,NZL
1280_29931,2018,United Kingdom,Human,Human,Human,GBR
1280_51824,2013,Germany,Human,,,DEU
1280_29966,2018,United Kingdom,Human,Human,Human,GBR
1280_11315,2015,Thailand,Human,Human,Human,THA
1280_10948,2015,Thailand,Human,Human,Human,THA
1280_51740,2013,Germany,Human,,,DEU
1280_51897,2014,Germany,Human,,,DEU
1280_51836,2013,Germany,Human,,,DEU
1280_15873,2015,Ghana,Human,Human,Human,GHA
1280_9398,1997,Singapore,Human,Human,Human,SGP
1280_15931,2002,USA,Human,Human,Human,USA
1280_51893,2014,Germany,Human,,,DEU
1280_51619,2018,Denmark,Human,,,DNK
1280_51848,2014,Germany,Human,,,DEU
1280_51838,2012,Germany,Human,,,DEU
1280_16839,2015,China,Human,Human,Human,CHN
1280_15865,2015,Ghana,Human,Human,Human,GHA
1280_15884,2014,Ghana,Human,Human,Human,GHA
1280_51807,2014,Germany,Human,,,DEU
1280_51810,2014,Germany,Human,,,DEU
1280_25159,2013,United Kingdom,Human,Human,Human,GBR
1280_30087,2018,United Kingdom,Human,Human,Human,GBR
1280_15868,2015,Ghana,Human,Human,Human,GHA
1280_29758,2018,United Kingdom,Human,Human,Human,GBR
1280_30275,2018,United Kingdom,Human,Human,Human,GBR
1422762_3,2008,Netherlands,Human,Human,Human,NLD
1280_30050,2018,United Kingdom,Human,Human,Human,GBR
1280_51642,2018,Denmark,Human,,,DNK
1280_16771,2015,China,Pig,Pig,Nonhuman Mammal,CHN
1280_51879,2015,Germany,Human,,,DEU
1280_30057,2018,United Kingdom,Human,Human,Human,GBR
1280_30225,2018,United Kingdom,Human,Human,Human,GBR
1280_29771,2018,United Kingdom,Human,Human,Human,GBR
1280_51921,2014,Germany,Human,,,DEU
1280_51865,2009,Germany,Human,,,DEU
1280_51919,2013,Germany,Human,,,DEU
1280_11199,2015,Thailand,Human,Human,Human,THA
1280_51796,2014,Germany,Human,,,DEU
1280_51933,2014,Germany,Human,,,DEU
1280_15875,2015,Ghana,Human,Human,Human,GHA
1280_29881,2018,United Kingdom,Human,Human,Human,GBR
1280_51785,2009,Germany,Human,,,DEU
1280_39738,2004,USA,Human,,,USA
