Genome ID,clindamycin,erythromycin,tetracycline
1311_2995,R,R,R
1311_2998,R,R,R
1311_2994,R,R,R
1311_2956,R,R,R
1311_3053,R,R,R
1311_3007,R,R,R
1311_3066,R,R,R
1311_2982,R,R,R
1311_3034,R,R,S
1311_3061,R,R,R
1311_2969,R,R,R
1311_3102,S,S,S
1311_3006,R,R,R
1311_6202,S,S,R
1311_3104,R,R,S
1311_3069,R,R,R
1311_3027,R,R,R
1311_2965,R,R,R
1311_3023,R,R,R
1311_3093,S,S,S
1311_3090,S,S,S
1311_2996,R,R,R
1311_3107,R,R,S
1311_3082,R,R,R
1311_6184,S,S,S
1311_6199,R,R,R
1311_3106,R,R,
1311_3079,R,R,R
1311_3059,R,R,R
1311_3015,R,R,R
1311_6203,S,R,R
1311_3019,R,R,R
1311_6187,S,S,S
1311_3041,S,S,R
1311_6197,S,R,S
1311_6191,S,S,R
1311_6196,S,S,R
1311_2977,R,R,R
1311_2974,R,R,R
1311_2971,R,R,R
1311_3005,R,R,R
1311_3003,R,R,R
1311_3099,S,S,S
1311_2967,R,R,R
1311_3094,S,S,S
1311_6192,S,S,S
1311_3089,S,S,S
1311_6189,R,R,R
1311_2984,R,R,S
1311_3033,R,R,S
1311_3064,R,R,R
1311_3018,R,R,R
1311_6200,S,S,R
1311_3054,R,R,R
1311_6205,S,S,S
1311_3080,R,R,R
1311_3014,R,R,R
1311_3103,S,S,S
1311_3100,R,R,R
1311_2990,R,R,R
1311_3077,S,S,S
1311_3057,R,R,R
1311_3084,R,R,R
1311_2978,R,R,R
1311_3083,R,R,R
1311_2955,R,R,R
1311_3070,R,R,R
1311_6194,S,S,R
1311_2976,R,R,R
1311_3091,S,S,
1311_3096,R,R,
1311_2975,R,R,R
1311_3022,R,R,R
1311_6193,S,S,S
1311_3032,R,R,R
1311_3016,R,R,R
1311_3086,R,R,R
1311_3017,R,R,S
1311_3002,R,R,R
1311_3009,R,R,R
1311_6201,S,R,R
1311_3081,R,R,S
1311_2972,R,R,R
1311_3026,S,S,R
1311_2964,S,S,R
1311_2991,R,R,R
1311_3004,S,S,S
1311_3025,R,R,R
1311_3073,R,R,R
1311_6190,S,S,R
1311_6186,R,R,R
1311_3012,R,R,R
1311_2960,R,R,R
1311_3028,R,R,R
1311_2999,S,S,S
1311_2966,S,S,S
1311_3010,R,R,R
1311_6198,S,S,S
1311_3013,R,R,S
1311_3065,R,R,R
1311_3078,S,S,S
1311_2985,R,R,R
1311_3076,R,R,R
1311_2980,R,R,S
1311_3072,R,R,R
1311_3085,S,S,S
1311_2993,R,R,R
1311_2983,R,R,R
1311_6195,R,R,S
1311_2992,R,R,R
1311_2987,S,S,S
1311_3030,R,R,S
1311_2958,R,R,R
1311_3000,R,R,R
1311_3087,S,,S
1311_3105,R,R,R
1311_2954,R,R,S
1311_3008,R,R,R
1311_2988,R,R,R
1311_2953,R,R,R
1311_3021,R,R,S
1311_6185,S,R,R
1311_3060,R,R,R
1311_3031,R,R,R
1311_3039,S,S,S
1311_3067,R,R,R
1311_2970,R,R,R
1311_3029,R,R,R
1311_2961,R,R,R
1311_3062,R,R,R
1311_2989,R,R,R
1311_2997,R,R,R
1311_3001,R,R,R
1311_6204,S,S,R
1311_2963,R,R,R
1311_2959,R,R,R
1311_3101,S,S,S
1311_3068,R,R,R
1311_3020,R,R,R
1311_3075,R,R,R
1311_3092,S,S,S
1311_3011,R,R,R
1311_2981,R,R,R
1311_2957,R,R,R
1311_3074,R,R,S
1311_2979,R,R,R
1311_3037,R,R,R
1311_3098,S,S,R
1311_2968,R,R,R
1311_3024,S,S,R
1311_2973,R,R,R
1311_2986,R,R,S
1311_3088,S,S,R
1311_3071,R,R,R
