,1311_6187,1311_2995,1311_2998,1311_2994,1311_2956,1311_3053,1311_3007,1311_3066,1311_2982,1311_6203,1311_3034,1311_3061,1311_6190,1311_2969,1311_3102,1311_6193,1311_6200,1311_6205,1311_6195,1311_3006,1311_6186,1311_3093,1311_6202,1311_3104,1311_3069,1311_3027,1311_2965,1311_6198,1311_6201,1311_3023,1311_3077,1311_3086,1311_3090,1311_3099,1311_6185,1311_6194,1311_2996,1311_3107,1311_3082,1311_6184,1311_6199,1311_3106,1311_6192,1311_3079,1311_3088,1311_3059,1311_3015,1311_6196,1311_3087,1311_3019,1311_3041,1311_6197,1311_6191,1311_2977,1311_2974,1311_2971,1311_3005,1311_3003,1311_2967,1311_3094,1311_3089,1311_6189,1311_2984,1311_3033,1311_6204,1311_3064,1311_3018,1311_3054,1311_3080,1311_3014,1311_3103,1311_3100,1311_2990,1311_3057,1311_3084,1311_2978,1311_3083,1311_2955,1311_3070,1311_2976,1311_3091,1311_3096,1311_2975,1311_3022,1311_3032,1311_3016,1311_3017,1311_3002,1311_3009,1311_3081,1311_2972,1311_3078,1311_3026,1311_2964,1311_2991,1311_3004,1311_3025,1311_3073,1311_3012,1311_3039,1311_2960,1311_3105,1311_3028,1311_2999,1311_2966,1311_3010,1311_3098,1311_3013,1311_3065,1311_2985,1311_3076,1311_2980,1311_3072,1311_3085,1311_2993,1311_2983,1311_2992,1311_3092,1311_2987,1311_3030,1311_2958,1311_3000,1311_2954,1311_3101,1311_3008,1311_2988,1311_2953,1311_3021,1311_3060,1311_3031,1311_3067,1311_2970,1311_3029,1311_2961,1311_3062,1311_2989,1311_2997,1311_3001,1311_2963,1311_2959,1311_3068,1311_3020,1311_3075,1311_3011,1311_2981,1311_2957,1311_3074,1311_2979,1311_3037,1311_2968,1311_3024,1311_2973,1311_2986,1311_3071
1311_6187,0.0,0.00808024,0.00888862,0.00789262,0.00834599,0.00838426,0.00804257,0.00800497,0.00804257,0.0110007,0.00811798,0.00804257,0.0103562,0.00793,0.00167981,0.0084995,0.010314,0.00834599,0.00687462,0.00808024,0.00669844,0.00126265,0.00884936,0.0010072,0.00804257,0.00834599,0.00834599,0.00597612,0.0107405,0.00770681,0.00590877,0.00378594,0.00208065,0.00136596,0.00766986,0.0105261,0.00808024,0.00128842,0.00748619,0.0115313,0.00877107,0.00199971,0.0108702,0.00748619,0.00621379,0.00804257,0.0083078,0.00676872,0.00205363,0.00853806,0.00842259,0.00834599,0.00838426,0.00804257,0.00873204,0.00853806,0.00800497,0.00804257,0.00800497,0.00113443,0.000956583,0.00766986,0.00763299,0.00811798,0.00877107,0.00804257,0.00834599,0.00800497,0.00808024,0.00804257,0.00108342,0.0010072,0.00785531,0.00766986,0.00808024,0.00811798,0.00808024,0.00834599,0.00811798,0.00804257,0.00387578,0.00170624,0.00800497,0.00846101,0.00808024,0.00781808,0.00811798,0.00834599,0.00808024,0.0083078,0.00857671,0.00126265,0.00796745,0.00774383,0.00748619,0.0120298,0.0084995,0.00744966,0.00804257,0.00146992,0.00808024,0.00146992,0.00781808,0.0127767,0.0124,0.00808024,0.00952763,0.00698112,0.0081558,0.0083078,0.0081558,0.00752278,0.00796745,0.00123693,0.00744966,0.00842259,0.00804257,0.00134007,0.0124467,0.00744966,0.00804257,0.00770681,0.00744966,0.00131423,0.00834599,0.00834599,0.00774383,0.00804257,0.00834599,0.00808024,0.00804257,0.00804257,0.00842259,0.00770681,0.00804257,0.00834599,0.00808024,0.00857671,0.00834599,0.00800497,0.00811798,0.00834599,0.00808024,0.00808024,0.00804257,0.00800497,0.00691005,0.00796745,0.00834599,0.00789262,0.00793,0.00796745,0.00853806,0.00804257
1311_2995,0.00808024,0.0,0.0024636,0.000730741,0.000458924,0.000312573,7.15897e-05,0.000656154,7.15897e-05,0.0124467,0.000730741,4.76906e-05,0.0124467,0.00105797,0.00755945,0.0090861,0.0112643,0.0105261,0.00511931,4.76906e-05,0.00445566,0.00755945,0.00730426,0.00800497,2.38274e-05,0.000385581,0.000458924,0.00766986,0.0121679,0.000458924,0.00521614,0.00766986,0.00712406,0.00804257,0.00541137,0.0123533,4.76906e-05,0.00789262,0.000631368,0.0113529,0.00936594,0.00846101,0.0115761,0.000631368,0.00483188,2.38274e-05,0.00221642,0.00804257,0.00770681,0.00108342,0.00227104,0.00952763,0.00877107,7.15897e-05,0.000981871,0.000656154,0.000730741,2.38274e-05,4.76906e-05,0.00778092,0.00781808,0.00811798,0.00105797,0.00075568,0.00956826,2.38274e-05,0.000385581,4.76906e-05,4.76906e-05,2.38274e-05,0.00781808,0.00838426,0.0010072,0.000458924,4.76906e-05,0.000167546,4.76906e-05,0.000557238,0.000656154,7.15897e-05,0.00846101,0.00800497,0.00154832,0.00058191,4.76906e-05,0.00105797,0.000705841,0.000385581,4.76906e-05,0.000906124,0.00075568,0.00808024,0.00251903,0.000508006,0.00139189,0.0134525,0.00123693,0.000631368,7.15897e-05,0.00734051,0.00157453,0.00823165,0.000336872,0.0142009,0.0141502,0.000805673,0.00920555,0.00279888,0.00131423,0.000458924,0.000167546,0.000880953,0.00075568,0.00744966,0.00139189,0.000483446,0.000119496,0.00730426,0.0139988,0.00131423,7.15897e-05,0.000458924,0.00194597,0.00834599,0.00128842,0.000385581,0.00123693,2.38274e-05,0.000385581,4.76906e-05,0.000705841,2.38274e-05,0.00058191,0.00121124,2.38274e-05,0.000458924,4.76906e-05,0.00075568,0.000557238,0.000780658,0.000656154,0.000385581,0.00058191,0.000805673,2.38274e-05,0.000730741,0.00134007,7.15897e-05,0.000409992,0.0011089,0.00221642,7.15897e-05,0.00141786,2.38274e-05
1311_2998,0.00888862,0.0024636,0.0,0.00240836,0.00274254,0.00274254,0.00243596,0.00227104,0.00243596,0.0124935,0.0023533,0.00243596,0.0124,0.00243596,0.00763299,0.00997914,0.0117112,0.0118017,0.00567497,0.0024636,0.00550978,0.00846101,0.0081558,0.00881017,0.00243596,0.00271444,0.00274254,0.00853806,0.0113974,0.00282712,0.00587519,0.00857671,0.00800497,0.00888862,0.00631659,0.0135016,0.0024636,0.00873204,0.00213483,0.0118471,0.00964976,0.00932572,0.0113529,0.00213483,0.00550978,0.00243596,0.00288374,0.00888862,0.00896738,0.00243596,0.00360762,0.010314,0.00940624,0.00243596,0.00328537,0.00305472,0.00305472,0.00243596,0.00240836,0.00869309,0.00869309,0.00896738,0.00334352,0.00308338,0.00944662,0.00243596,0.00213483,0.0024636,0.0024636,0.00243596,0.00834599,0.00928558,0.00175922,0.00282712,0.0024636,0.0025468,0.0024636,0.00279888,0.0025468,0.00243596,0.00928558,0.00888862,0.00197282,0.00296902,0.0024636,0.0018924,0.00314086,0.00213483,0.0024636,0.00331442,0.0024636,0.00896738,0.00414809,0.00282712,0.00210772,0.0132573,0.00268639,0.00213483,0.00249129,0.0083078,0.00194597,0.00896738,0.00227104,0.0132573,0.0136496,0.00319852,0.00977265,0.00433199,0.00162709,0.00282712,0.0026025,0.00328537,0.00314086,0.00834599,0.00277069,0.00282712,0.00249129,0.00823165,0.0137488,0.00216198,0.00243596,0.00277069,0.00271444,0.0090861,0.00279888,0.0025468,0.00218918,0.00243596,0.00274254,0.0024636,0.00238081,0.00243596,0.00302611,0.00216198,0.00243596,0.00274254,0.0024636,0.00243596,0.00279888,0.0028554,0.0025468,0.00251903,0.00199971,0.0025468,0.00243596,0.00288374,0.00274254,0.00243596,0.00210772,0.00229842,0.00387578,0.00243596,0.00263042,0.00243596
1311_2994,0.00789262,0.000730741,0.00240836,0.0,0.00113443,0.0010072,0.00075568,0.0011089,0.00075568,0.0130638,0.000705841,0.000705841,0.0127293,0.00173271,0.00826969,0.00944662,0.0113086,0.010314,0.00574147,0.000730741,0.00521614,0.00823165,0.00755945,0.00796745,0.000705841,0.00108342,0.00113443,0.00834599,0.0128243,0.000508006,0.00584167,0.00834599,0.00741321,0.00865422,0.00604372,0.0124467,0.000730741,0.0084995,0.00131423,0.0118471,0.00956826,0.00892796,0.011984,0.00131423,0.00547692,0.000705841,0.00173271,0.00857671,0.00819369,0.00173271,0.00268639,0.0101041,0.00857671,0.00075568,0.00162709,0.00136596,0.000880953,0.000705841,0.000730741,0.00846101,0.00853806,0.00869309,0.0010072,0.00144387,0.00997914,0.000705841,0.000508006,0.000730741,0.000730741,0.000705841,0.0084995,0.00808024,0.000956583,0.000458924,0.000730741,0.000855821,0.000730741,0.0011856,0.00126265,0.00075568,0.00881017,0.00861543,0.00162709,0.00123693,0.000730741,0.0011089,0.00141786,0.000458924,0.000730741,0.00160079,0.000880953,0.00873204,0.00322742,0.000557238,0.000830728,0.0138485,0.00170624,0.00131423,0.00075568,0.00796745,0.00157453,0.00865422,0.000981871,0.0144049,0.0143537,0.000906124,0.00928558,0.00288374,0.00167981,0.00105797,0.000855821,0.00157453,0.00075568,0.00811798,0.00146992,0.00108342,0.000805673,0.00789262,0.0142009,0.00141786,0.00075568,0.000508006,0.00134007,0.00808024,0.00197282,0.000880953,0.00134007,0.000705841,0.00105797,0.000730741,0.00121124,0.000705841,0.00126265,0.00131423,0.000705841,0.0011089,0.000730741,0.000780658,0.0011856,0.000730741,0.00126265,0.000880953,0.00121124,0.000264084,0.000705841,0.000680979,0.00136596,0.00075568,0.000434439,0.00165343,0.00271444,0.00075568,0.00139189,0.000705841
1311_2956,0.00834599,0.000458924,0.00274254,0.00113443,0.0,0.000730741,0.000434439,0.00105797,0.000434439,0.0120298,0.00105797,0.000458924,0.0124935,0.00139189,0.00785531,0.00928558,0.0114865,0.0108269,0.00541137,0.000458924,0.00483188,0.00778092,0.00755945,0.0083078,0.000434439,0.000680979,0.0,0.00800497,0.0123533,0.000805673,0.00557568,0.00800497,0.00734051,0.0083078,0.00560872,0.0127293,0.000458924,0.00823165,0.00105797,0.0116661,0.00960897,0.00861543,0.0118017,0.00105797,0.00518381,0.000434439,0.00249129,0.0083078,0.00804257,0.00136596,0.0026025,0.00977265,0.00904645,0.000434439,0.00058191,0.0010072,0.00103256,0.000434439,0.000409992,0.00804257,0.0081558,0.00752278,0.00136596,0.00103256,0.00977265,0.000434439,0.000705841,0.000458924,0.000458924,0.000434439,0.00808024,0.00853806,0.00136596,0.000805673,0.000458924,0.000532603,0.000458924,9.55247e-05,0.00105797,0.000434439,0.00877107,0.0083078,0.00128842,0.000981871,0.000458924,0.00136596,0.0011089,0.000705841,0.000458924,0.00123693,0.000312573,0.00842259,0.00229842,0.000805673,0.00173271,0.0136496,0.00162709,0.00105797,0.000483446,0.00755945,0.0018924,0.00846101,0.000705841,0.0143027,0.0143027,0.00115999,0.00948708,0.0025468,0.00165343,0.000805673,0.00058191,0.00128842,0.0011089,0.00766986,0.00173271,0.000880953,0.000483446,0.00752278,0.0140996,0.00162709,0.000434439,0.00075568,0.00227104,0.00846101,0.00160079,0.000780658,0.00160079,0.000434439,0.000705841,0.000458924,0.0010072,0.000434439,0.000956583,0.00157453,0.000434439,0.000239895,0.000458924,0.00103256,9.55247e-05,0.00108342,0.00105797,0.000656154,0.000956583,0.00115999,0.000434439,0.00103256,0.00167981,0.000434439,0.000780658,0.00141786,0.00199971,0.000434439,0.00170624,0.000434439
1311_3053,0.00838426,0.000312573,0.00274254,0.0010072,0.000730741,0.0,0.000336872,0.000931334,0.000336872,0.0127293,0.0010072,0.000312573,0.0125875,0.00131423,0.00781808,0.00932572,0.0114865,0.0108269,0.00541137,0.000312573,0.00476862,0.00770681,0.00752278,0.00826969,0.00028831,0.000656154,0.000730741,0.00800497,0.0124,0.000680979,0.00550978,0.00796745,0.00730426,0.0083078,0.00564181,0.0127293,0.000312573,0.00819369,0.000906124,0.0116661,0.00956826,0.00861543,0.0118017,0.000906124,0.00511931,0.00028831,0.00249129,0.0083078,0.00800497,0.00134007,0.00251903,0.00944662,0.00869309,0.000336872,0.00123693,0.000931334,0.0010072,0.00028831,0.000312573,0.00796745,0.00811798,0.00819369,0.00134007,0.0010072,0.00977265,0.00028831,0.000656154,0.000312573,0.000312573,0.00028831,0.00808024,0.00853806,0.00126265,0.000680979,0.000312573,0.000434439,0.000312573,0.000805673,0.000931334,0.000336872,0.00877107,0.0083078,0.00178577,0.000855821,0.000312573,0.00131423,0.000981871,0.000656154,0.000312573,0.00115999,0.00103256,0.00842259,0.00279888,0.000730741,0.00165343,0.0136991,0.00149601,0.000906124,0.000336872,0.00755945,0.001839,0.0084995,0.00060662,0.0145076,0.0143537,0.00108342,0.00948708,0.00305472,0.00157453,0.000730741,0.000434439,0.00115999,0.00103256,0.00763299,0.00165343,0.00075568,0.000385581,0.00748619,0.0141502,0.00157453,0.000336872,0.000680979,0.00221642,0.00846101,0.00152214,0.000656154,0.00149601,0.00028831,0.000656154,0.000312573,0.000981871,0.00028831,0.000830728,0.00146992,0.00028831,0.000705841,0.000312573,0.0010072,0.000805673,0.00105797,0.000931334,0.000656154,0.000855821,0.00108342,0.00028831,0.0010072,0.00154832,0.000336872,0.000680979,0.00134007,0.00249129,0.000336872,0.00167981,0.00028831
1311_3007,0.00804257,7.15897e-05,0.00243596,0.00075568,0.000434439,0.000336872,0.0,0.000680979,4.76906e-05,0.0124,0.000705841,7.15897e-05,0.0124,0.00108342,0.00752278,0.00904645,0.0112201,0.0104835,0.00508714,7.15897e-05,0.00442466,0.00752278,0.00726808,0.00796745,4.76906e-05,0.000361208,0.000434439,0.00763299,0.0121217,0.000483446,0.00518381,0.00763299,0.00708822,0.00800497,0.00537869,0.0123068,7.15897e-05,0.00785531,0.000656154,0.0113086,0.00932572,0.00842259,0.0115313,0.000656154,0.00480022,4.76906e-05,0.00218918,0.00800497,0.00766986,0.00105797,0.00229842,0.00948708,0.00873204,4.76906e-05,0.0010072,0.000631368,0.000705841,4.76906e-05,2.38274e-05,0.00774383,0.00778092,0.00808024,0.00103256,0.000730741,0.00952763,4.76906e-05,0.000361208,7.15897e-05,7.15897e-05,4.76906e-05,0.00778092,0.00834599,0.00103256,0.000458924,7.15897e-05,0.000143503,7.15897e-05,0.000532603,0.000680979,4.76906e-05,0.00842259,0.00796745,0.00152214,0.00060662,7.15897e-05,0.00103256,0.000730741,0.000361208,7.15897e-05,0.000906124,0.000730741,0.00804257,0.0025468,0.000483446,0.00136596,0.0134036,0.00126265,0.000656154,9.55247e-05,0.00730426,0.00154832,0.00819369,0.000312573,0.0141502,0.0140996,0.000830728,0.00916565,0.00282712,0.00128842,0.000434439,0.000191626,0.000906124,0.000780658,0.00741321,0.00136596,0.000508006,9.55247e-05,0.00726808,0.0139486,0.00128842,4.76906e-05,0.000434439,0.00197282,0.0083078,0.00131423,0.000409992,0.00126265,4.76906e-05,0.000409992,7.15897e-05,0.000730741,4.76906e-05,0.00060662,0.00123693,4.76906e-05,0.000434439,7.15897e-05,0.000730741,0.000532603,0.00075568,0.000680979,0.000361208,0.000557238,0.000780658,4.76906e-05,0.000705841,0.00136596,4.76906e-05,0.000434439,0.00108342,0.00224371,4.76906e-05,0.00139189,4.76906e-05
1311_3066,0.00800497,0.000656154,0.00227104,0.0011089,0.00105797,0.000931334,0.000680979,0.0,0.000680979,0.0124935,0.0011089,0.000656154,0.0120298,0.00108342,0.00752278,0.00881017,0.0110007,0.0108269,0.00511931,0.000656154,0.00439372,0.00748619,0.00730426,0.00793,0.000631368,0.0010072,0.00105797,0.00763299,0.0122141,0.00103256,0.00515153,0.00759618,0.00708822,0.00796745,0.00534606,0.0122604,0.000656154,0.00785531,0.00060662,0.0111321,0.00892796,0.00838426,0.0110882,0.00060662,0.00480022,0.000631368,0.00194597,0.00804257,0.00811798,0.00170624,0.001839,0.00952763,0.00877107,0.000680979,0.00157453,0.00128842,0.00136596,0.000631368,0.000656154,0.00774383,0.00778092,0.00804257,0.00170624,0.00136596,0.00956826,0.000631368,0.000705841,0.000656154,0.000656154,0.000631368,0.00774383,0.00834599,0.00075568,0.00103256,0.000656154,0.000780658,0.000656154,0.00113443,0.000730741,0.000680979,0.00846101,0.00793,0.00141786,0.00121124,0.000656154,0.00075568,0.00134007,0.000705841,0.000656154,0.00152214,0.00108342,0.00804257,0.00277069,0.00108342,0.00108342,0.013112,0.00131423,0.00060662,0.000680979,0.00730426,0.00131423,0.0081558,0.000956583,0.0137488,0.0136991,0.00144387,0.00912584,0.0028554,0.000680979,0.00108342,0.000780658,0.00149601,0.00139189,0.00737682,0.00136596,0.000956583,0.000730741,0.00723198,0.0135016,0.0010072,0.000680979,0.00103256,0.00167981,0.00838426,0.00146992,0.000805673,0.000931334,0.000631368,0.0010072,0.000656154,0.000312573,0.000631368,0.0011856,0.000906124,0.000631368,0.00103256,0.000656154,0.0011089,0.00113443,0.0011089,0.000730741,0.000805673,0.00121124,0.0011856,0.000631368,0.0011089,0.00131423,0.000680979,0.000730741,0.00103256,0.00202665,0.000680979,0.00181236,0.000631368
1311_2982,0.00804257,7.15897e-05,0.00243596,0.00075568,0.000434439,0.000336872,4.76906e-05,0.000680979,0.0,0.0124,0.000705841,7.15897e-05,0.0124,0.00108342,0.00752278,0.00904645,0.0112201,0.0104835,0.00508714,7.15897e-05,0.00442466,0.00752278,0.00726808,0.00796745,4.76906e-05,0.000361208,0.000434439,0.00763299,0.0121217,0.000483446,0.00518381,0.00763299,0.00708822,0.00800497,0.00537869,0.0123068,7.15897e-05,0.00785531,0.000656154,0.0113086,0.00932572,0.00842259,0.0115313,0.000656154,0.00480022,4.76906e-05,0.00218918,0.00800497,0.00766986,0.00105797,0.00229842,0.00948708,0.00873204,4.76906e-05,0.0010072,0.000631368,0.000705841,4.76906e-05,2.38274e-05,0.00774383,0.00778092,0.00808024,0.00103256,0.000730741,0.00952763,4.76906e-05,0.000361208,7.15897e-05,7.15897e-05,4.76906e-05,0.00778092,0.00834599,0.00103256,0.000458924,7.15897e-05,0.000143503,7.15897e-05,0.000532603,0.000680979,4.76906e-05,0.00842259,0.00796745,0.00152214,0.00060662,7.15897e-05,0.00103256,0.000730741,0.000361208,7.15897e-05,0.000906124,0.000730741,0.00804257,0.0025468,0.000483446,0.00136596,0.0134036,0.00126265,0.000656154,9.55247e-05,0.00730426,0.00154832,0.00819369,0.000312573,0.0141502,0.0140996,0.000830728,0.00916565,0.00282712,0.00128842,0.000434439,0.000191626,0.000906124,0.000780658,0.00741321,0.00136596,0.000508006,9.55247e-05,0.00726808,0.0139486,0.00128842,4.76906e-05,0.000434439,0.00197282,0.0083078,0.00131423,0.000409992,0.00126265,4.76906e-05,0.000409992,7.15897e-05,0.000730741,4.76906e-05,0.00060662,0.00123693,4.76906e-05,0.000434439,7.15897e-05,0.000730741,0.000532603,0.00075568,0.000680979,0.000361208,0.000557238,0.000780658,4.76906e-05,0.000705841,0.00136596,4.76906e-05,0.000434439,0.00108342,0.00224371,4.76906e-05,0.00139189,4.76906e-05
1311_6203,0.0110007,0.0124467,0.0124935,0.0130638,0.0120298,0.0127293,0.0124,0.0124935,0.0124,0.0,0.0126347,0.0124,0.00328537,0.0123533,0.0100207,0.00900687,0.00734051,0.0118471,0.0115313,0.0124467,0.0111761,0.0110444,0.011621,0.0109571,0.0124,0.0126347,0.0120298,0.0101459,0.00232584,0.0127293,0.0108702,0.0118927,0.0107836,0.0105688,0.0118017,0.0108702,0.0124467,0.0107836,0.0119383,0.00464278,0.00993767,0.0113974,0.0026025,0.011984,0.0109571,0.0124,0.0132087,0.00944662,0.0110882,0.0122141,0.0126347,0.0124467,0.0120757,0.0124,0.0125875,0.0130638,0.0129677,0.0124,0.0124,0.0106116,0.0107405,0.0108702,0.0128243,0.0124935,0.00956826,0.0124,0.0127767,0.0124,0.0124467,0.0124,0.0101878,0.0114865,0.0123533,0.012872,0.0124467,0.0124467,0.0124467,0.0120757,0.0124467,0.0124,0.0108702,0.0111321,0.0113974,0.0129198,0.0124467,0.0123533,0.0126347,0.0127767,0.0124467,0.0126347,0.0124467,0.0110444,0.0108702,0.0128243,0.0126347,0.00734051,0.0128243,0.0119383,0.0124,0.0109571,0.0124935,0.0110882,0.0121679,0.00669844,0.00652391,0.0130638,0.0118017,0.011621,0.0116661,0.012872,0.0124935,0.0118927,0.0130157,0.0110007,0.0125875,0.012872,0.0124,0.0108269,0.00673355,0.0120757,0.0124,0.0127293,0.0126819,0.0115313,0.0127293,0.012872,0.0120757,0.0124,0.0126819,0.0124467,0.0124,0.0124,0.0114865,0.0120298,0.0124,0.0118017,0.0124467,0.0129677,0.0120757,0.0129677,0.0124467,0.0126347,0.0117564,0.0131603,0.0124,0.0129677,0.0122141,0.0123533,0.012872,0.0124467,0.0110007,0.0123533,0.0129198,0.0124
