Genome ID,amoxicillin,beta-lactam,cefepime,cefotaxime,ceftriaxone,cefuroxime,chloramphenicol,clindamycin,erythromycin,levofloxacin,linezolid,meropenem,penicillin,quinupristin_dalfopristin,tetracycline,trimethoprim_sulfamethoxazole,vancomycin
1313_10889,,R,,,S,,,,,,,,,,,R,
1313_27129,,,,,,,S,,S,,,,S,,R,R,
1313_33096,,,,,,,S,,S,,,,S,,R,S,
1313_42085,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_31247,,,,,,,S,,S,,,,,,R,R,
1313_33256,,,,,,,,,,,,,,,,S,
1313_46725,,,,,S,,R,R,R,S,,,,,R,R,
1313_33668,,,,,,,S,,S,,,,S,,S,R,
760822_3,R,,,R,R,R,S,R,R,S,S,R,R,S,R,R,S
1313_41999,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_31198,,,,,,,S,,S,,,,,,R,S,
1313_24629,,,,,,,S,,S,,,,S,,S,R,
1313_6941,S,,,S,S,,S,S,S,S,S,S,S,S,S,S,S
1313_31039,,,,,,,S,,S,,,,S,,S,S,
1313_22962,,,,,,,S,,S,,,,S,,S,,
1313_33112,,,,,,,S,,S,,,,S,,R,R,
1313_46651,,,,,S,,S,S,S,S,,,,,S,S,
1313_22991,,,,,,,S,,S,,,,R,,R,,
1313_5737,,,,R,,,,,R,,,,,,,,
760772_3,S,,,S,,S,R,S,R,S,,S,S,S,R,S,S
1313_24339,,,,,,,S,,R,,,,R,,R,R,
1313_30730,,,,,,,S,,S,,,,S,,R,S,
1313_11602,,S,,,S,,,,,,,,,,,S,
1313_34245,,,,,,,S,,R,,,,S,,S,S,
1313_11920,,S,,,S,,,,,,,,,,,R,
1313_26976,,,,,,,S,,S,,,,R,,S,R,
1313_31132,,,,,,,S,,S,,,,,,R,R,
1313_24381,,,,,,,S,,S,,,,S,,S,S,
1313_26394,,,,,,,S,,S,,,,S,,S,,
1313_24035,,,,,,,S,,S,,,,,,S,S,
1313_12557,,R,,,S,,,,,,,,,,,R,
1313_27287,,,,,,,S,,S,,,,S,,S,R,
1313_47116,,,,,S,,S,S,S,S,,,,,S,S,
1313_31232,,,,,,,S,,S,,,,R,,R,R,
1313_25947,,,,,,,,,S,,,,S,,R,,
1313_33360,,,,,,,S,,S,,,,S,,R,S,
1313_30862,,,,,,,S,,S,,,,S,,S,R,
1313_29761,,,,,,,,,S,,,,S,,S,S,
1313_32225,,,,,,,S,,R,,,,S,,R,R,
1313_27225,,,,,,,S,,S,,,,S,,S,R,
1313_33471,,,,,,,S,,S,,,,S,,S,S,
1313_24044,,,,,,,S,,S,,,,,,R,R,
1313_32460,,,,,,,S,,S,,,,S,,R,S,
1313_30754,,,,,,,S,,S,,,,R,,S,R,
1313_27998,,,,,,,R,,S,,,,S,,R,S,
1313_46576,,,,,R,,S,R,R,S,,,,,R,R,
1313_21041,,,,,,,S,,S,,,,R,,S,S,
1313_46778,,,,,S,,S,S,S,S,,,,,S,S,
1313_10936,,S,,,S,,,,,,,,,,,R,
1313_20180,,,,,,,S,,S,,,,,,S,S,
1313_24616,,,,,,,S,,S,,,,S,,R,R,
1313_6956,,,,,,,,,,,S,,,S,,,
1313_27209,,,,,,,S,,S,,,,S,,S,R,
1313_47205,,,,,S,,S,S,S,S,,,,,S,S,
1313_31504,,,,,,,S,,S,,,,S,,R,S,
1313_23556,,,,,,,S,,R,,,,R,,R,R,
760826_3,S,,,S,S,R,S,S,R,S,S,R,R,S,S,R,S
1313_30965,,,,,,,S,,S,,,,S,,S,S,
1313_30525,,,,,,,,,R,,,,R,,,,
1313_25703,,,,,,,S,,S,,,,S,,R,R,
1313_25418,,,,,,,,,,,,,,,,S,
1313_24881,,,,,,,S,,S,,,,S,,R,S,
1313_26147,,,,,,,S,,S,,,,S,,R,R,
1313_25572,,,,,,,,,,,,,,,,S,
1313_23880,,,,,,,S,,S,,,,R,,S,S,
1313_6189,,,,,S,,,,S,,,,,,,,
1313_33862,,,,,,,S,,S,,,,S,,S,S,
1313_12693,,S,,,S,,,,,,,,,,,R,
1313_27952,,,,,,,S,,R,,,,R,,S,S,
1313_23688,,,,,,,S,,S,,,,,,S,S,
1313_33716,,,,,,,S,,S,,,,S,,R,S,
1313_31995,,,,,,,S,,R,,,,R,,R,R,
1313_33548,,,,,,,S,,R,,,,R,,S,R,
1313_30847,,,,,,,S,,S,,,,S,,S,R,
1313_31877,,,,,,,S,,S,,,,R,,S,R,
1313_23558,,,,,,,S,,S,,,,S,,S,S,
1313_24993,,,,,,,,,,,,,R,,,R,
1313_25231,,,,,,,S,,S,,,,S,,R,,
1313_32044,,,,,,,S,,S,,,,R,,R,R,
1313_24621,,,,,,,S,,R,,,,R,,R,R,
1313_21806,,,,,,,,,S,,,,S,,S,S,
1313_10417,,R,,,S,,,,,,,,,,,R,
1313_46997,,,,,S,,S,S,S,S,,,,,S,S,
1313_46982,,,,,S,,S,S,S,S,,,,,S,R,
1313_12799,,R,,,S,,,,,,,,,,,R,
1313_33340,,,,,,,S,,R,,,,S,,R,R,
1313_32532,,,,,,,S,,S,,,,S,,S,S,
1313_30809,,,,,,,S,,S,,,,R,,S,R,
1313_27080,,,,,,,S,,S,,,,S,,R,S,
1313_30411,,,,,,,S,,S,,,,S,,R,S,
1313_30609,,,,,,,S,,S,,,,R,,S,R,
760802_3,R,,,R,R,R,S,S,R,S,S,R,R,S,S,R,S
1313_22908,,,,,,,S,,S,,,,R,,R,S,
1313_42061,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_26928,,,,,,,S,,S,,,,S,,S,S,
1313_27097,,,,,,,S,,S,,,,S,,R,S,
1313_12016,,R,,,S,,,,,,,,,,,R,
1313_46578,,,,,S,,R,R,R,S,,,,,R,S,
1313_10478,,S,,,S,,,,,,,,,,,R,
1313_25343,,,,,,,S,,S,,,,S,,S,S,
1313_26639,,,,,,,S,,S,,,,S,,R,R,
1313_34121,,,,,,,S,,R,,,,S,,S,R,
1313_33290,,,,,,,S,,S,,,,R,,R,R,
1313_20586,,,,,,,S,,S,,,,,,S,S,
1313_30736,,,,,,,S,,S,,,,R,,S,R,
1313_26543,,,,,,,S,,S,,,,S,,R,S,
1313_24843,,,,,,,S,,S,,,,S,,R,S,
1313_31309,,,,,,,S,,S,,,,R,,S,R,
1313_9021,,,,,,,S,,R,,,,R,,R,R,
1313_32072,,,,,,,R,,S,,,,R,,R,R,
1313_31018,,,,,,,S,,S,,,,S,,S,S,
1313_21792,,,,,,,,,S,,,,S,,S,S,
1313_11232,,S,,,S,,,,,,,,,,,R,
1313_33329,,,,,,,S,,S,,,,S,,R,S,
1313_8612,,,,,,,S,,S,,,,S,,S,S,
1313_31956,,,,,,,S,,S,,,,S,,S,S,
1313_25353,,,,,,,S,,R,,,,S,,S,S,
1313_5885,,,,S,,,,,R,,,,,,R,,
1313_25775,,,,,,,,,,,,,R,,,R,
1313_31103,,,,,,,S,,S,,,,S,,S,S,
1313_30111,,,,,,,,,R,,,,R,,R,,
1313_23526,,,,,,,S,,R,,,,R,,R,R,
1313_47074,,,,,S,,R,R,R,S,,,,,R,S,
1313_46768,,,,,S,,S,S,R,S,,,,,S,S,
1313_13046,,S,,,S,,,,,,,,,,,R,
1313_23779,,,,,,,S,,S,,,,R,,S,R,
1313_25359,,,,,,,S,,R,,,,S,,R,R,
1313_17441,,,,,,,,S,S,,,,S,,S,S,
1313_6306,,,,,S,,,,S,,,,,,S,,
1313_24509,,,,,,,S,,R,,,,S,,S,S,
1313_33108,,,,,,,S,,S,,,,S,,R,S,
1313_17350,,,,,,,,S,S,,,,S,,S,S,
1313_31171,,,,,,,S,,S,,,,R,,R,R,
1313_33871,,,,,,,S,,S,,,,S,,R,S,
1313_23446,,,,,,,S,,S,,,,S,,S,R,
1313_33472,,,,,,,S,,S,,,,S,,S,S,
1313_25670,,,,,,,S,,R,,,,S,,R,R,
1313_23432,,,,,,,S,,S,,,,S,,S,S,
1313_10569,,S,,,S,,,,,,,,,,,S,
1313_32731,,,,,,,S,,S,,,,R,,R,R,
1313_46776,,,,,S,,S,S,S,S,,,,,S,R,
1313_24936,,,,,,,S,,S,,,,S,,R,S,
1313_11721,,R,,,R,,,,,,,,,,,R,
1313_34293,,,,,,,S,,,,,,S,,,,
1313_12050,,S,,,S,,,,,,,,,,,R,
1313_10722,,R,,,S,,,,,,,,,,,R,
1313_32808,,,,,,,R,,R,,,,S,,R,S,
1313_25345,,,,,,,S,,S,,,,S,,S,S,
1313_33272,,,,,,,S,,R,,,,R,,R,R,
1313_46929,,,,,S,,S,R,R,S,,,,,R,S,
1313_26038,,,,,,,,,,,,,,,,S,
1313_23472,,,,,,,S,,R,,,,S,,R,S,
1313_30818,,,,,,,S,,S,,,,S,,S,S,
1313_46953,,,,,S,,S,S,R,S,,,,,S,R,
760811_3,S,,,S,S,R,S,S,R,S,S,R,R,S,S,R,S
1313_8669,,,,,,,S,,R,,,,R,,R,R,
1313_33309,,,,,,,S,,S,,,,R,,S,R,
1313_26930,,,,,,,S,,S,,,,S,,S,S,
1313_42032,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_10089,,R,,,R,,,,,,,,,,,R,
1313_5691,,,,,,,R,,R,,,,,,R,,
1313_31713,,,,,,,S,,R,,,,R,,S,R,
1313_24357,,,,,,,S,,R,,,,R,,S,R,
1313_31254,,,,,,,S,,S,,,,,,S,R,
1313_22980,,,,,,,S,,S,,,,R,,R,,
1313_32207,,,,,,,S,,S,,,,S,,R,S,
1313_30401,,,,,,,S,,S,,,,S,,S,S,
1313_33848,,,,,,,S,,S,,,,S,,S,S,
1313_31186,,,,,,,S,,S,,,,S,,S,R,
1313_11967,,S,,,S,,,,,,,,,,,S,
1313_41970,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_32498,,,,,,,S,,S,,,,S,,R,S,
1313_27122,,,,,,,S,,S,,,,S,,R,S,
1313_10120,,R,,,S,,,,,,,,,,,R,
1313_27267,,,,,,,S,,S,,,,R,,R,R,
1313_29752,,,,,,,,,S,,,,S,,S,S,
1313_17319,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_6965,,,,,,,,,,,S,,,S,,,
1313_32897,,,,,,,,,S,,,,S,,R,R,
1313_23452,,,,,,,S,,R,,,,S,,R,R,
1313_12139,,R,,,S,,,,,,,,,,,R,
1313_26522,,,,,,,S,,S,,,,S,,R,R,
1313_33555,,,,,,,S,,R,,,,R,,S,R,
1313_32501,,,,,,,R,,R,,,,S,,R,S,
1313_24436,,,,,,,R,,S,,,,S,,R,R,
1313_25317,,,,,,,S,,S,,,,S,,S,S,
1313_10025,,S,,,S,,,,,,,,,,,S,
1313_33837,,,,,,,S,,S,,,,S,,S,S,
1313_29748,,,,,,,,,R,,,,R,,R,R,
1313_23364,,,,,,,S,,S,,,,,,,R,
1313_27177,,,,,,,S,,S,,,,S,,S,S,
1313_31824,,,,,,,S,,S,,,,S,,S,S,
1313_32969,,,,,,,,,S,,,,S,,S,,
1313_20649,,,,,,,S,,S,,,,,,S,R,
760840_3,S,,,S,S,S,S,S,R,S,S,S,R,S,R,R,S
1313_30121,,,,,,,S,,S,,,,S,,S,R,
1313_30973,,,,,,,S,,S,,,,S,,S,S,
1313_33455,,,,,,,S,,S,,,,S,,S,R,
1313_12816,,R,,,S,,,,,,,,,,,R,
1313_46569,,,,,S,,S,S,R,S,,,,,S,R,
1313_9070,,,,,,,S,,S,,,,S,,S,S,
1313_17407,,,S,S,S,,,S,S,,,R,S,,S,S,
1313_25747,,,,,,,S,,S,,,,R,,R,R,
1313_31883,,,,,,,S,,S,,,,S,,S,S,
1313_12733,,S,,,S,,,,,,,,,,,S,
1313_30763,,,,,,,S,,S,,,,S,,S,S,
1313_17334,,,S,S,S,,,R,R,,,S,R,,R,S,
1313_33042,,,,,,,S,,S,,,,R,,R,R,
1313_30762,,,,,,,S,,S,,,,R,,S,R,
1313_12142,,R,,,S,,,,,,,,,,,R,
1313_33780,,,,,,,S,,S,,,,S,,R,S,
1313_41965,,,S,S,S,,,S,R,,,S,S,,S,S,
1313_24840,,,,,,,S,,S,,,,S,,R,S,
1313_10179,,S,,,S,,,,,,,,,,,R,
1313_6428,,S,,,S,,,,,,,,,,,R,
1313_24056,,,,,,,S,,S,,,,,,S,R,
1313_24173,,,,,,,S,,R,,,,,,R,,
1313_24129,,,,,,,,,R,,,,R,,,,
1313_42049,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_47259,,,,,S,,R,R,R,S,,,,,R,S,
1313_24935,,,,,,,S,,S,,,,S,,R,S,
1313_33835,,,,,,,S,,S,,,,S,,S,S,
1313_32796,,,,,,,S,,S,,,,S,,S,S,
1313_32032,,,,,,,S,,R,,,,S,,S,R,
1313_17387,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_30568,,,,,,,,,R,,,,R,,,,
1313_29738,,,,,,,,,R,,,,S,,R,R,
1313_11991,,R,,,S,,,,,,,,,,,R,
1313_27374,,,,,,,S,,S,,,,S,,S,R,
1313_26674,,,,,,,S,,S,,,,S,,R,R,
1313_23503,,,,,,,S,,R,,,,R,,R,S,
1313_31920,,,,,,,S,,S,,,,R,,S,R,
1313_25660,,,,,,,,,,,,,,,,S,
1313_22935,,,,,,,S,,S,,,,S,,S,,
1313_27033,,,,,,,S,,S,,,,S,,R,R,
1313_25700,,,,,,,S,,S,,,,S,,R,R,
1313_26722,,,,,,,S,,R,,,,S,,R,R,
1313_20053,,,,,,,S,,S,,,,S,,R,R,
1313_31990,,,,,,,S,,S,,,,S,,S,R,
1313_26767,,,,,,,S,,S,,,,S,,S,S,
1313_23497,,,,,,,S,,R,,,,R,,R,R,
1313_22069,,,,,,,,,S,,,,S,,S,S,
1313_5635,,,,,S,,S,,S,,,,,,S,,
1313_10997,,R,,,S,,,,,,,,,,,R,
1313_6545,,,,,R,,S,,R,,,,,,R,,
1313_25900,,,,,,,,,,,,,S,,,R,
1313_30065,,,,,,,,,S,,,,S,,S,R,
1313_30020,,,,,,,R,,S,,,,S,,R,R,
1313_42042,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_32666,,,,,,,,,R,,,,R,,R,R,
1313_23059,,,,,,,S,,S,,,,S,,R,S,
1313_22758,,,,,,,,,S,,,,S,,,,
1313_32899,,,,,,,,,S,,,,S,,S,,
1313_29831,,,,,,,,,S,,,,S,,S,S,
1313_26087,,,,,,,,,,,,,S,,,R,
1313_25094,,,,,,,,,,,,,S,,,R,
1313_32724,,,,,,,S,,S,,,,S,,R,S,
1313_12776,,R,,,S,,,,,,,,,,,R,
1313_34162,,,,,,,S,,S,,,,S,,S,S,
1313_25731,,,,,,,,,,,,,,,,S,
1313_27101,,,,,,,S,,S,,,,S,,R,R,
1313_9189,,,,,,,R,,R,,,,R,,R,R,
1313_32023,,,,,,,S,,S,,,,S,,S,S,
1313_31224,,,,,,,S,,S,,,,,,R,R,
1313_11093,,R,,,S,,,,,,,,,,,R,
1313_22982,,,,,,,S,,S,,,,R,,R,,
1313_34164,,,,,,,S,,S,,,,S,,S,S,
1313_42044,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_41968,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_24837,,,,,,,S,,R,,,,R,,R,R,
1313_12041,,S,,,S,,,,,,,,,,,R,
1313_25772,,,,,,,S,,R,,,,R,,R,R,
1313_33849,,,,,,,S,,S,,,,S,,S,S,
1313_32828,,,,,,,S,,S,,,,S,,S,S,
1313_12835,,R,,,S,,,,,,,,,,,R,
1313_32178,,,,,,,S,,S,,,,S,,R,S,
1313_33855,,,,,,,S,,S,,,,S,,R,S,
1313_12740,,R,,,S,,,,,,,,,,,R,
760833_3,S,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1313_27295,,,,,,,S,,S,,,,S,,R,S,
1313_33287,,,,,,,S,,R,,,,R,,R,R,
760819_3,S,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1313_33518,,,,,,,S,,S,,,,S,,S,S,
1313_24845,,,,,,,S,,S,,,,S,,R,S,
1313_24048,,,,,,,S,,S,,,,,,R,R,
1313_10480,,R,,,R,,,,,,,,,,,R,
1313_11913,,R,,,S,,,,,,,,,,,R,
1313_20736,,,,,,,R,,S,,,,,,S,R,
1313_9335,,,,,,,S,,S,,,,S,,S,S,
1313_27401,,,,,,,S,,S,,,,S,,R,R,
1313_32323,,,,,,,,,,,,,,,,S,
1313_12077,,R,,,S,,,,,,,,,,,R,
1313_27312,,,,,,,S,,S,,,,S,,R,R,
1313_42019,,,S,S,S,,,S,S,,,S,S,,S,S,
1313_23414,,,,,,,S,,S,,,,S,,S,R,
1313_10367,,R,,,S,,,,,,,,,,,R,
1313_31963,,,,,,,S,,S,,,,S,,S,S,
1313_46784,,,,,R,,S,S,S,S,,,,,R,R,
1313_30336,,,,,,,R,,R,,,,R,,R,,
1313_23379,,,,,,,S,,R,,,,R,,R,R,
1313_20572,,,,,,,S,,S,,,,,,S,S,
1313_10369,,S,,,S,,,,,,,,,,,R,
1313_33637,,,,,,,S,,S,,,,S,,S,R,
1313_30722,,,,,,,S,,S,,,,R,,S,R,
1313_31515,,,,,,,S,,S,,,,S,,S,R,
1313_33727,,,,,,,S,,S,,,,S,,R,R,
1313_25293,,,,,,,S,,S,,,,S,,S,S,
1313_10856,,R,,,S,,,,,,,,,,,R,
1313_10131,,S,,,S,,,,,,,,,,,R,
1313_29950,,,,,,,S,,S,,,,S,,S,S,
1313_24852,,,,,,,S,,S,,,,S,,R,S,
1313_17430,,,S,S,S,,,S,R,,,S,S,,S,S,
1313_24780,,,,,,,S,,S,,,,S,,R,,
1313_11725,,R,,,S,,,,,,,,,,,R,
1313_23236,,,,,,,,,R,,,,S,,,,
1313_26936,,,,,,,S,,S,,,,S,,S,R,
1313_33386,,,,,,,S,,S,,,,S,,S,S,
1313_26986,,,,,,,S,,S,,,,S,,S,R,
1313_33821,,,,,,,S,,S,,,,R,,S,R,
1313_17440,,,,,,,,S,S,,,,S,,S,S,
1313_46584,,,,,R,,S,S,R,S,,,,,S,S,
1313_24085,,,,,,,S,,S,,,,S,,R,S,
1313_30321,,,,,,,,,R,,,,S,,,,
1313_46630,,,,,S,,S,S,S,S,,,,,S,S,
1313_27684,,,,,,,S,,S,,,,S,,S,R,
1313_24428,,,,,,,S,,R,,,,R,,R,R,
1313_26596,,,,,,,S,,S,,,,R,,R,R,
1313_25128,,,,,,,,,,,,,R,,,R,
1313_23560,,,,,,,S,,S,,,,S,,R,S,
1313_24643,,,,,,,S,,S,,,,S,,R,R,
