,Carbapenem,Cephem,Fluoroquinolone,Folate,Glycopeptide,Lincosamide,Macrolide,Oxazolidinone,Penicilin,Phenicol,Streptogramin,Tetracycline
1313_10889,,S,,R,,,,,,,,
1313_27129,,,,R,,,S,,S,S,,R
1313_33096,,,,S,,,S,,S,S,,R
1313_42085,S,S,,S,,S,S,,S,,,S
1313_31247,,,,R,,,S,,,S,,R
1313_33256,,,,S,,,,,,,,
1313_46725,,S,S,R,,R,R,,,R,,R
1313_33668,,,,R,,,S,,S,S,,S
760822_3,R,R,S,R,S,R,R,S,R,S,S,R
1313_41999,S,S,,S,,S,S,,S,,,S
1313_31198,,,,S,,,S,,,S,,R
1313_24629,,,,R,,,S,,S,S,,S
1313_6941,S,S,S,S,S,S,S,S,S,S,S,S
1313_31039,,,,S,,,S,,S,S,,S
1313_22962,,,,,,,S,,S,S,,S
1313_33112,,,,R,,,S,,S,S,,R
1313_46651,,S,S,S,,S,S,,,S,,S
1313_22991,,,,,,,S,,R,S,,R
1313_5737,,R,,,,,R,,,,,
760772_3,S,S,S,S,S,S,R,,S,R,S,R
1313_24339,,,,R,,,R,,R,S,,R
1313_30730,,,,S,,,S,,S,S,,R
1313_11602,,S,,S,,,,,,,,
1313_34245,,,,S,,,R,,S,S,,S
1313_11920,,S,,R,,,,,,,,
1313_26976,,,,R,,,S,,R,S,,S
1313_31132,,,,R,,,S,,,S,,R
1313_24381,,,,S,,,S,,S,S,,S
1313_26394,,,,,,,S,,S,S,,S
1313_24035,,,,S,,,S,,,S,,S
1313_12557,,S,,R,,,,,,,,
1313_27287,,,,R,,,S,,S,S,,S
1313_47116,,S,S,S,,S,S,,,S,,S
1313_31232,,,,R,,,S,,R,S,,R
1313_25947,,,,,,,S,,S,,,R
1313_33360,,,,S,,,S,,S,S,,R
1313_30862,,,,R,,,S,,S,S,,S
1313_29761,,,,S,,,S,,S,,,S
1313_32225,,,,R,,,R,,S,S,,R
1313_27225,,,,R,,,S,,S,S,,S
1313_33471,,,,S,,,S,,S,S,,S
1313_24044,,,,R,,,S,,,S,,R
1313_32460,,,,S,,,S,,S,S,,R
1313_30754,,,,R,,,S,,R,S,,S
1313_27998,,,,S,,,S,,S,R,,R
1313_46576,,R,S,R,,R,R,,,S,,R
1313_21041,,,,S,,,S,,R,S,,S
1313_46778,,S,S,S,,S,S,,,S,,S
1313_10936,,S,,R,,,,,,,,
1313_20180,,,,S,,,S,,,S,,S
1313_24616,,,,R,,,S,,S,S,,R
1313_6956,,,,,,,,S,,,S,
1313_27209,,,,R,,,S,,S,S,,S
1313_47205,,S,S,S,,S,S,,,S,,S
1313_31504,,,,S,,,S,,S,S,,R
1313_23556,,,,R,,,R,,R,S,,R
760826_3,R,R,S,R,S,S,R,S,R,S,S,S
1313_30965,,,,S,,,S,,S,S,,S
1313_30525,,,,,,,R,,R,,,
1313_25703,,,,R,,,S,,S,S,,R
1313_25418,,,,S,,,,,,,,
1313_24881,,,,S,,,S,,S,S,,R
1313_26147,,,,R,,,S,,S,S,,R
1313_25572,,,,S,,,,,,,,
1313_23880,,,,S,,,S,,R,S,,S
1313_6189,,S,,,,,S,,,,,
1313_33862,,,,S,,,S,,S,S,,S
1313_12693,,S,,R,,,,,,,,
1313_27952,,,,S,,,R,,R,S,,S
1313_23688,,,,S,,,S,,,S,,S
1313_33716,,,,S,,,S,,S,S,,R
1313_31995,,,,R,,,R,,R,S,,R
1313_33548,,,,R,,,R,,R,S,,S
1313_30847,,,,R,,,S,,S,S,,S
1313_31877,,,,R,,,S,,R,S,,S
1313_23558,,,,S,,,S,,S,S,,S
1313_24993,,,,R,,,,,R,,,
1313_25231,,,,,,,S,,S,S,,R
1313_32044,,,,R,,,S,,R,S,,R
1313_24621,,,,R,,,R,,R,S,,R
1313_21806,,,,S,,,S,,S,,,S
1313_10417,,S,,R,,,,,,,,
1313_46997,,S,S,S,,S,S,,,S,,S
1313_46982,,S,S,R,,S,S,,,S,,S
1313_12799,,S,,R,,,,,,,,
1313_33340,,,,R,,,R,,S,S,,R
1313_32532,,,,S,,,S,,S,S,,S
1313_30809,,,,R,,,S,,R,S,,S
1313_27080,,,,S,,,S,,S,S,,R
1313_30411,,,,S,,,S,,S,S,,R
1313_30609,,,,R,,,S,,R,S,,S
760802_3,R,R,S,R,S,S,R,S,R,S,S,S
1313_22908,,,,S,,,S,,R,S,,R
1313_42061,S,S,,S,,S,S,,S,,,S
1313_26928,,,,S,,,S,,S,S,,S
1313_27097,,,,S,,,S,,S,S,,R
1313_12016,,S,,R,,,,,,,,
1313_46578,,S,S,S,,R,R,,,R,,R
1313_10478,,S,,R,,,,,,,,
1313_25343,,,,S,,,S,,S,S,,S
1313_26639,,,,R,,,S,,S,S,,R
1313_34121,,,,R,,,R,,S,S,,S
1313_33290,,,,R,,,S,,R,S,,R
1313_20586,,,,S,,,S,,,S,,S
1313_30736,,,,R,,,S,,R,S,,S
1313_26543,,,,S,,,S,,S,S,,R
1313_24843,,,,S,,,S,,S,S,,R
1313_31309,,,,R,,,S,,R,S,,S
1313_9021,,,,R,,,R,,R,S,,R
1313_32072,,,,R,,,S,,R,R,,R
1313_31018,,,,S,,,S,,S,S,,S
1313_21792,,,,S,,,S,,S,,,S
1313_11232,,S,,R,,,,,,,,
1313_33329,,,,S,,,S,,S,S,,R
1313_8612,,,,S,,,S,,S,S,,S
1313_31956,,,,S,,,S,,S,S,,S
1313_25353,,,,S,,,R,,S,S,,S
1313_5885,,S,,,,,R,,,,,R
1313_25775,,,,R,,,,,R,,,
1313_31103,,,,S,,,S,,S,S,,S
1313_30111,,,,,,,R,,R,,,R
1313_23526,,,,R,,,R,,R,S,,R
1313_47074,,S,S,S,,R,R,,,R,,R
1313_46768,,S,S,S,,S,R,,,S,,S
1313_13046,,S,,R,,,,,,,,
1313_23779,,,,R,,,S,,R,S,,S
1313_25359,,,,R,,,R,,S,S,,R
1313_17441,,,,S,,S,S,,S,,,S
1313_6306,,S,,,,,S,,,,,S
1313_24509,,,,S,,,R,,S,S,,S
1313_33108,,,,S,,,S,,S,S,,R
1313_17350,,,,S,,S,S,,S,,,S
