Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
1313_22664,2009,Qatar,Human,,,QAT
1313_10889,2010,Thailand,Human,Human,Human,THA
1313_27129,2012,South Africa,Human,,,ZAF
1313_33096,2010,South Africa,Human,,,ZAF
1313_42085,2008,Canada,Human,,,CAN
1313_31247,2012,Israel,Human,,,ISR
1313_33256,2007,South Africa,Human,,,ZAF
1313_46725,2015,USA,Human,,,USA
1313_33668,2009,Mozambique,Human,,,MOZ
760822_3,2005,USA,Human,Human,Human,USA
1313_41999,2013,Canada,Human,,,CAN
1313_31198,2011,Israel,Human,,,ISR
1313_24629,2012,South Africa,Human,,,ZAF
1313_6941,2012,USA,Human,Human,Human,USA
1313_31039,2009,Israel,Human,,,ISR
1313_22962,2009,Peru,Human,,,PER
1313_33112,2010,South Africa,Human,,,ZAF
1313_46651,2015,USA,Human,,,USA
1313_22991,2009,Peru,Human,,,PER
1313_5737,2007,Türkiye,Human,Human,Human,TUR
760772_3,1999,USA,Human,Human,Human,USA
1313_24339,2009,USA,Human,,,USA
1313_30730,2008,Brazil,Human,,,BRA
1313_11602,2008,Thailand,Human,Human,Human,THA
1313_34245,2014,Slovenia,Human,,,SVN
1313_11920,2010,Thailand,Human,Human,Human,THA
1313_26976,2008,Mozambique,Human,,,MOZ
1313_31132,2009,Israel,Human,,,ISR
1313_24381,1998,USA,Human,,,USA
1313_26394,2012,Niger,Human,,,NER
1313_24035,2012,Israel,Human,,,ISR
1313_12557,2008,Thailand,Human,Human,Human,THA
1313_27287,2013,South Africa,Human,,,ZAF
1313_47116,2015,USA,Human,,,USA
1313_31232,2013,Israel,Human,,,ISR
1313_25947,2009,Gambia,Human,,,GMB
1313_33360,2011,South Africa,Human,,,ZAF
1313_30862,2009,Brazil,Human,,,BRA
1313_29761,2014,South Africa,Human,,,ZAF
1313_32225,2009,USA,Human,,,USA
1313_27225,2013,South Africa,Human,,,ZAF
1313_33471,2003,USA,Human,,,USA
1313_24044,2012,Israel,Human,,,ISR
1313_32460,2009,USA,Human,,,USA
1313_30754,2008,Brazil,Human,,,BRA
1313_27998,2010,Poland,Human,,,POL
1313_46576,2015,USA,Human,,,USA
1313_46534,2015,USA,Human,,,USA
1313_21041,2012,Israel,Human,Human,Human,ISR
1313_46778,2015,USA,Human,,,USA
1313_45062,2018,Denmark,Human,,,DNK
1313_10936,2009,Thailand,Human,Human,Human,THA
1313_20180,2009,Israel,Human,Human,Human,ISR
1313_24616,2012,South Africa,Human,,,ZAF
1313_6956,2010,USA,Human,Human,Human,USA
1313_27209,2013,South Africa,Human,,,ZAF
1313_47205,2015,USA,Human,,,USA
1313_31504,2011,Israel,Human,,,ISR
1313_23556,2013,Brazil,Human,,,BRA
760826_3,2005,USA,Human,Human,Human,USA
1313_30965,2013,Brazil,Human,,,BRA
1313_30525,2010,China,Human,,,CHN
1313_25703,2009,South Africa,Human,,,ZAF
1313_25418,2007,South Africa,Human,,,ZAF
1313_24881,2012,South Africa,Human,,,ZAF
1313_26147,2010,South Africa,Human,,,ZAF
1313_25572,2007,South Africa,Human,,,ZAF
1313_23880,2014,Israel,Human,,,ISR
1313_6189,2007,USA,Human,Human,Human,USA
1313_33862,2013,South Africa,Human,,,ZAF
1313_12693,2009,Thailand,Human,Human,Human,THA
1313_27952,2013,Slovenia,Human,,,SVN
1313_23688,2010,Israel,Human,,,ISR
1313_33716,2011,South Africa,Human,,,ZAF
1313_31995,2009,USA,Human,,,USA
1313_33548,2009,USA,Human,,,USA
1313_30847,2009,Brazil,Human,,,BRA
1313_31877,2009,USA,Human,,,USA
1313_23558,2013,Brazil,Human,,,BRA
1313_24993,2005,South Africa,Human,,,ZAF
1313_25231,2009,Peru,Human,,,PER
1313_32044,2012,South Africa,Human,,,ZAF
1313_24621,2012,South Africa,Human,,,ZAF
1313_21806,2014,South Africa,Human,,,ZAF
1313_10417,2008,Thailand,Human,Human,Human,THA
1313_46997,2015,USA,Human,,,USA
1313_46982,2015,USA,Human,,,USA
1313_11975,2008,Thailand,Human,Human,Human,THA
1313_26930,2010,Mozambique,Human,,,MOZ
1313_12799,2009,Thailand,Human,Human,Human,THA
1313_33340,2010,South Africa,Human,,,ZAF
1313_32532,2012,USA,Human,,,USA
1313_30809,2008,Brazil,Human,,,BRA
1313_27080,2011,South Africa,Human,,,ZAF
1313_30411,2009,USA,Human,,,USA
1313_30609,2013,India,Human,,,IND
760802_3,2004,USA,Human,Human,Human,USA
1313_22908,2007,Peru,Human,,,PER
1313_42061,2011,Canada,Human,,,CAN
1313_26928,2010,Mozambique,Human,,,MOZ
1313_27097,2011,South Africa,Human,,,ZAF
1313_12016,2008,Thailand,Human,Human,Human,THA
1313_46578,2015,USA,Human,,,USA
1313_45063,2018,Denmark,Human,,,DNK
1313_10478,2010,Thailand,Human,Human,Human,THA
1313_25343,2012,USA,Human,,,USA
1313_26639,2011,South Africa,Human,,,ZAF
1313_34121,1998,USA,Human,,,USA
1313_33290,2009,South Africa,Human,,,ZAF
1313_20586,2013,Israel,Human,Human,Human,ISR
1313_30736,2008,Brazil,Human,,,BRA
1313_26543,2010,South Africa,Human,,,ZAF
1313_24843,2009,USA,Human,,,USA
1313_31309,2014,Israel,Human,,,ISR
1313_11112,2008,Thailand,Human,Human,Human,THA
1313_9021,2009,USA,Human,Human,Human,USA
1313_32072,2012,South Africa,Human,,,ZAF
1313_31018,2006,Israel,Human,,,ISR
1313_21792,2014,South Africa,Human,,,ZAF
1313_11232,2010,Thailand,Human,Human,Human,THA
1313_33329,2010,South Africa,Human,,,ZAF
1313_8612,2012,USA,Human,Human,Human,USA
1313_31956,1999,USA,Human,,,USA
1313_25353,2012,USA,Human,,,USA
1313_5885,1999,Germany,Human,Human,Human,DEU
1313_25775,2006,South Africa,Human,,,ZAF
1313_31103,2008,Israel,Human,,,ISR
1313_30111,2008,Egypt,Human,,,EGY
1313_23526,2013,Brazil,Human,,,BRA
1313_47074,2015,USA,Human,,,USA
1313_46768,2015,USA,Human,,,USA
1313_13046,2010,Thailand,Human,Human,Human,THA
