Genome ID,amoxicillin,doxycycline,erythromycin,tetracycline
1307_7560,S,R,R,R
1307_7946,S,R,S,R
1307_8032,S,R,R,R
1307_7727,S,S,R,S
1307_7865,S,S,S,S
1307_7960,S,R,R,R
1307_7974,S,R,R,R
1307_7821,S,R,R,R
1307_7987,S,R,S,R
1307_8063,S,S,R,S
1307_8058,S,R,S,R
1307_7961,S,R,S,R
1307_7863,S,R,S,R
1307_7637,S,R,R,R
1307_7970,S,R,S,R
1307_7813,S,R,R,R
1307_7542,S,S,S,S
1307_7603,S,R,R,R
1307_8057,S,R,S,R
1307_7579,S,R,R,R
1307_7677,S,R,R,R
1307_8130,S,S,S,S
1307_8064,S,S,R,S
1307_7922,S,R,S,R
1307_8040,S,R,S,R
1307_8018,S,R,R,R
1307_8142,S,R,S,R
1307_7771,S,R,R,R
1307_8109,S,R,S,R
1307_7740,S,S,S,
1307_7691,S,R,S,R
1307_7696,S,R,R,R
1307_7595,S,R,S,R
1307_7510,S,R,R,R
1307_7867,S,R,S,R
1307_8055,S,R,S,R
1307_7951,S,R,R,R
1307_8099,S,R,S,R
1307_7648,S,S,S,S
1307_8073,S,S,S,S
1307_8120,S,S,S,S
1307_7897,S,R,S,R
1307_7621,S,R,S,R
1307_7703,S,R,R,R
1307_7965,S,S,S,R
1307_7976,S,R,S,R
1307_7841,S,R,R,R
1307_8114,S,S,S,S
1307_7551,S,R,R,R
1307_7805,S,R,R,R
1307_7694,S,R,S,R
1307_7714,S,R,R,R
1307_8143,S,R,R,R
1307_7544,S,S,S,S
1307_7826,S,R,R,R
1307_8132,S,S,S,S
1307_8095,S,R,S,R
1307_7868,S,R,S,R
1307_7673,S,R,R,R
1307_8151,S,S,S,S
1307_7535,S,S,S,S
1307_8002,S,R,R,R
1307_7943,S,R,S,R
1307_7824,S,R,S,R
1307_7765,S,R,R,R
1307_7881,S,R,S,R
1307_7902,S,R,S,R
1307_8172,S,R,S,R
1307_7527,S,R,R,R
1307_8005,S,R,R,R
1307_7622,S,S,S,S
1307_8089,S,S,S,S
1307_7808,S,R,R,R
1307_7994,S,R,R,R
1307_7769,S,R,R,R
1307_7686,S,R,S,R
1307_8011,S,R,R,R
1307_7739,S,R,R,R
1307_7814,S,R,R,R
1307_7719,S,R,R,R
1307_7507,S,S,S,S
1307_7766,S,R,R,R
1307_8023,S,R,R,R
1307_7561,S,R,R,R
1307_7837,S,R,S,R
1307_7988,S,R,R,R
1307_8021,S,R,R,R
1307_7522,S,S,S,S
1307_7792,S,R,S,R
1307_7528,S,R,R,R
1307_8072,S,R,R,R
1307_7643,S,R,R,R
1307_7685,S,R,R,R
1307_8137,S,S,S,S
1307_8147,S,R,R,R
1307_7871,S,R,R,R
1307_7912,S,R,S,R
1307_7574,S,R,S,R
1307_8001,S,R,R,R
1307_8093,S,R,R,R
1307_7770,S,R,R,R
1307_7888,S,R,S,R
1307_7921,S,R,S,R
1307_8173,S,R,S,R
1307_7671,S,R,R,R
1307_7548,S,R,R,R
1307_7926,S,R,R,R
1307_8041,S,S,S,S
1307_8134,S,R,R,R
1307_7541,S,R,R,R
1307_8179,S,R,S,R
1307_7720,S,R,R,R
1307_8024,S,R,R,R
1307_7562,S,R,R,R
1307_7858,S,R,S,R
1307_7948,S,R,R,R
1307_7850,S,R,R,R
1307_7915,S,S,S,S
1307_7992,S,R,R,R
1307_8067,S,S,S,S
1307_7819,S,R,R,R
1307_8094,S,R,S,R
1307_8153,S,S,S,S
1307_7767,S,S,S,
1307_7570,S,R,R,R
1307_7683,S,R,R,R
1307_7945,S,R,S,R
1307_8146,S,R,S,R
1307_8068,S,R,R,R
1307_7991,S,R,R,R
1307_7611,S,R,S,R
1307_8019,S,R,R,R
1307_8081,S,S,S,S
1307_7629,S,R,R,R
1307_7511,S,R,S,R
1307_8115,S,R,R,R
1307_7855,S,S,R,S
1307_8144,S,R,R,R
1307_7632,S,R,R,R
1307_7565,S,R,R,R
1307_7859,S,R,R,R
1307_8026,S,R,R,R
1307_7533,S,S,S,S
1307_7662,S,S,S,S
1307_7777,S,R,R,R
1307_7958,S,R,S,R
1307_7609,S,R,R,R
1307_7838,S,R,R,R
1307_7861,S,R,S,R
1307_7692,S,R,S,R
1307_7678,S,R,R,R
1307_7722,S,R,R,R
1307_7883,S,R,S,R
1307_7639,S,R,R,R
1307_7830,S,R,R,R
1307_7957,S,R,S,R
1307_7642,S,R,S,R
1307_7526,S,R,R,R
1307_8168,S,R,R,R
1307_7809,S,R,R,R
1307_7514,S,R,S,R
1307_8105,S,R,S,R
1307_7998,S,R,S,R
1307_7516,S,R,R,R
1307_7605,S,R,R,R
1307_7675,S,R,R,R
1307_7732,S,R,R,R
1307_7556,S,R,R,R
1307_7872,S,R,S,R
1307_7939,S,R,S,R
1307_7571,S,R,S,R
1307_7844,S,R,R,R
1307_7799,S,R,R,R
1307_7745,S,R,S,R
1307_7569,S,R,R,R
1307_7669,S,R,R,R
1307_7812,,R,R,R
1307_7910,S,S,S,S
1307_7693,S,R,S,R
1307_8113,S,R,R,R
1307_7580,S,S,S,S
1307_7783,S,R,R,R
1307_7986,S,R,R,R
1307_7661,S,S,S,S
1307_7985,S,R,S,R
1307_8016,S,R,R,R
1307_8123,S,R,S,R
1307_7734,S,R,S,R
1307_7630,S,R,R,R
1307_7638,S,R,R,R
1307_7793,S,S,S,S
1307_7503,S,R,R,R
1307_7862,S,R,S,
1307_7893,S,R,S,R
1307_7588,S,S,S,S
1307_7959,S,R,R,R
1307_7641,S,R,R,R
1307_8045,S,S,S,S
1307_8088,S,R,S,R
