,Macrolide,Penicilin,Tetracycline
1307_7560,R,S,R
1307_7946,S,S,R
1307_8032,R,S,R
1307_7727,R,S,S
1307_7865,S,S,S
1307_7960,R,S,R
1307_7974,R,S,R
1307_7821,R,S,R
1307_7987,S,S,R
1307_8063,R,S,S
1307_8058,S,S,R
1307_7961,S,S,R
1307_7863,S,S,R
1307_7637,R,S,R
1307_7970,S,S,R
1307_7813,R,S,R
1307_7542,S,S,S
1307_7603,R,S,R
1307_8057,S,S,R
1307_7579,R,S,R
1307_7677,R,S,R
1307_8130,S,S,S
1307_8064,R,S,S
1307_7922,S,S,R
1307_8040,S,S,R
1307_8018,R,S,R
1307_8142,S,S,R
1307_7771,R,S,R
1307_8109,S,S,R
1307_7740,S,S,S
1307_7691,S,S,R
1307_7696,R,S,R
1307_7595,S,S,R
1307_7510,R,S,R
1307_7867,S,S,R
1307_8055,S,S,R
1307_7951,R,S,R
1307_8099,S,S,R
1307_7648,S,S,S
1307_8073,S,S,S
1307_8120,S,S,S
1307_7897,S,S,R
1307_7621,S,S,R
1307_7703,R,S,R
1307_7965,S,S,R
1307_7976,S,S,R
1307_7841,R,S,R
1307_8114,S,S,S
1307_7551,R,S,R
1307_7805,R,S,R
1307_7694,S,S,R
1307_7714,R,S,R
1307_8143,R,S,R
1307_7544,S,S,S
1307_7826,R,S,R
1307_8132,S,S,S
1307_8095,S,S,R
1307_7868,S,S,R
1307_7673,R,S,R
1307_8151,S,S,S
1307_7535,S,S,S
1307_8002,R,S,R
1307_7943,S,S,R
1307_7824,S,S,R
1307_7765,R,S,R
1307_7881,S,S,R
1307_7902,S,S,R
1307_8172,S,S,R
1307_7527,R,S,R
1307_8005,R,S,R
1307_7622,S,S,S
1307_8089,S,S,S
1307_7808,R,S,R
1307_7994,R,S,R
1307_7769,R,S,R
1307_7686,S,S,R
1307_8011,R,S,R
1307_7739,R,S,R
1307_7814,R,S,R
1307_7719,R,S,R
1307_7507,S,S,S
1307_7766,R,S,R
1307_8023,R,S,R
1307_7561,R,S,R
1307_7837,S,S,R
1307_7988,R,S,R
1307_8021,R,S,R
1307_7522,S,S,S
1307_7792,S,S,R
1307_7528,R,S,R
1307_8072,R,S,R
1307_7643,R,S,R
1307_7685,R,S,R
1307_8137,S,S,S
1307_8147,R,S,R
1307_7871,R,S,R
1307_7912,S,S,R
1307_7574,S,S,R
1307_8001,R,S,R
1307_8093,R,S,R
1307_7770,R,S,R
1307_7888,S,S,R
1307_7921,S,S,R
1307_8173,S,S,R
1307_7671,R,S,R
1307_7548,R,S,R
1307_7926,R,S,R
1307_8041,S,S,S
1307_8134,R,S,R
1307_7541,R,S,R
1307_8179,S,S,R
1307_7720,R,S,R
1307_8024,R,S,R
1307_7562,R,S,R
1307_7858,S,S,R
1307_7948,R,S,R
1307_7850,R,S,R
1307_7915,S,S,S
1307_7992,R,S,R
1307_8067,S,S,S
1307_7819,R,S,R
1307_8094,S,S,R
1307_8153,S,S,S
1307_7767,S,S,S
1307_7570,R,S,R
1307_7683,R,S,R
1307_7945,S,S,R
1307_8146,S,S,R
