rep_type(s)_dropduplicate,"Inc11,rep_cluster_1018,rep_cluster_1118,rep_cluster_185","Inc11,rep_cluster_1093,rep_cluster_1118","Inc11,rep_cluster_1118","Inc11,rep_cluster_1118,rep_cluster_185",Inc18,"Inc18,rep_cluster_1018","Inc18,rep_cluster_1118","Inc18,rep_cluster_1118,rep_cluster_185","Inc18,rep_cluster_1763,rep_cluster_889,rep_cluster_893","Inc18,rep_cluster_185","Inc18,rep_cluster_889","Inc18,rep_cluster_889,rep_cluster_893","Inc18,rep_cluster_893",rep_cluster_1018,"rep_cluster_1018,rep_cluster_1093","rep_cluster_1018,rep_cluster_1093,rep_cluster_185","rep_cluster_1018,rep_cluster_1118","rep_cluster_1018,rep_cluster_150","rep_cluster_1018,rep_cluster_150,rep_cluster_185","rep_cluster_1018,rep_cluster_185","rep_cluster_1018,rep_cluster_893",rep_cluster_1093,"rep_cluster_1093,rep_cluster_1763,rep_cluster_889","rep_cluster_1093,rep_cluster_185","rep_cluster_1093,rep_cluster_185,rep_cluster_889","rep_cluster_1093,rep_cluster_185,rep_cluster_889,rep_cluster_943","rep_cluster_1093,rep_cluster_889","rep_cluster_1093,rep_cluster_889,rep_cluster_893","rep_cluster_1093,rep_cluster_893",rep_cluster_1118,"rep_cluster_1118,rep_cluster_185","rep_cluster_1118,rep_cluster_185,rep_cluster_943",rep_cluster_1197,"rep_cluster_1197,rep_cluster_1742,rep_cluster_1763,rep_cluster_889","rep_cluster_1197,rep_cluster_1742,rep_cluster_889","rep_cluster_1197,rep_cluster_1763","rep_cluster_1197,rep_cluster_1763,rep_cluster_185,rep_cluster_889,rep_cluster_943","rep_cluster_1197,rep_cluster_1763,rep_cluster_889","rep_cluster_1197,rep_cluster_1763,rep_cluster_889,rep_cluster_943","rep_cluster_1197,rep_cluster_185","rep_cluster_1197,rep_cluster_2146,rep_cluster_889","rep_cluster_1197,rep_cluster_889","rep_cluster_1249,rep_cluster_185",rep_cluster_1291,rep_cluster_150,"rep_cluster_150,rep_cluster_185","rep_cluster_150,rep_cluster_889",rep_cluster_1742,"rep_cluster_1742,rep_cluster_185,rep_cluster_943","rep_cluster_1742,rep_cluster_889",rep_cluster_1763,"rep_cluster_1763,rep_cluster_185","rep_cluster_1763,rep_cluster_185,rep_cluster_889","rep_cluster_1763,rep_cluster_185,rep_cluster_889,rep_cluster_943","rep_cluster_1763,rep_cluster_185,rep_cluster_943","rep_cluster_1763,rep_cluster_889","rep_cluster_1763,rep_cluster_889,rep_cluster_893","rep_cluster_1763,rep_cluster_889,rep_cluster_943","rep_cluster_1763,rep_cluster_893","rep_cluster_1763,rep_cluster_943",rep_cluster_183,"rep_cluster_183,rep_cluster_185",rep_cluster_185,"rep_cluster_185,rep_cluster_1968","rep_cluster_185,rep_cluster_1968,rep_cluster_889,rep_cluster_935","rep_cluster_185,rep_cluster_2351","rep_cluster_185,rep_cluster_889","rep_cluster_185,rep_cluster_889,rep_cluster_893","rep_cluster_185,rep_cluster_889,rep_cluster_935,rep_cluster_943","rep_cluster_185,rep_cluster_889,rep_cluster_943","rep_cluster_185,rep_cluster_893","rep_cluster_185,rep_cluster_943","rep_cluster_1968,rep_cluster_889","rep_cluster_1968,rep_cluster_889,rep_cluster_893","rep_cluster_1968,rep_cluster_893","rep_cluster_1968,rep_cluster_893,rep_cluster_935",rep_cluster_2351,"rep_cluster_554,rep_cluster_889",rep_cluster_889,"rep_cluster_889,rep_cluster_893","rep_cluster_889,rep_cluster_893,rep_cluster_935","rep_cluster_889,rep_cluster_893,rep_cluster_943","rep_cluster_889,rep_cluster_935","rep_cluster_889,rep_cluster_943",rep_cluster_893,"rep_cluster_893,rep_cluster_935",rep_cluster_935,rep_cluster_943
1352_10938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1352_10939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1352_10940,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352_10942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1352_10944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1352_10947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1352_10948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352_10951,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1352_10952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352_10953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
