ARG,AAC(2')-Ic,CfxA,Erm(37),PC1_blaZ,Rv1877,Rv2856,TEM-116,blaC,efpA,mfpA,msrA,patB,vgaA
1295720_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295721_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295723_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295724_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295725_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295726_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295727_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295739_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295740_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295742_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295744_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295745_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295746_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295747_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295751_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295753_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295756_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295757_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295758_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295759_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295760_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295763_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295764_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295765_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295766_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295767_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295769_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295771_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295772_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295773_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295774_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295775_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295776_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295781_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295782_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295790_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295791_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295792_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295795_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1295796_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324218_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324219_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324220_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324221_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324222_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324223_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324224_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324225_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324226_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324227_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324228_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324229_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324230_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324231_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324232_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324233_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1324234_4,1,0,1,0,1,1,0,1,1,1,0,0,0
1324235_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324236_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324237_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324238_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324239_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324240_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324241_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324242_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324243_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324244_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324245_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324246_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324247_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324248_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324249_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324250_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324252_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324253_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324254_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324255_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324256_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324257_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324258_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324259_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324260_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324262_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324263_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324264_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324265_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324266_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324267_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324268_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324270_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324271_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324272_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324273_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324274_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324275_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324276_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324277_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324278_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324279_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324280_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324281_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324282_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324283_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324284_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324285_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324286_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324287_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324288_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324289_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324290_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324291_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324292_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324293_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324294_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324295_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324296_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324297_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324298_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324300_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1324301_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397853_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397854_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397855_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397856_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397857_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397858_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397859_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397860_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397861_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397862_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397863_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397864_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397865_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397866_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397867_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397868_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397869_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397871_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397872_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397873_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397874_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397875_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397876_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397877_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397878_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397879_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397880_3,1,0,1,0,0,1,0,1,1,1,0,0,0
1397881_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397882_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397883_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397884_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397885_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397886_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397887_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397888_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397889_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397890_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397891_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397892_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397893_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397894_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397895_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397896_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397897_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397899_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397900_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397901_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397902_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397903_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397904_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397905_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397906_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397907_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397908_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397909_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397910_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397912_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397913_3,1,0,1,0,1,1,0,1,1,1,0,0,0
1397914_3,1,0,1,0,1,1,0,1,1,1,0,0,0
