ARG,ErmC,TEM-104,TEM-135,TEM-34,catA1,farA,farB,macA,macB,mtrA,mtrC,mtrD,mtrE,tet(M)
485_100,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_101,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_102,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_103,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_104,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_105,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_106,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_107,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_108,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_109,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_110,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_111,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_112,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_113,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_114,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_115,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_116,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_117,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_118,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_119,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_120,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_121,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_122,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_123,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_124,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_125,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_126,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_127,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_128,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12874,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12875,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12876,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12877,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12878,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12879,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12880,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12881,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12882,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_12883,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12884,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12885,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_12886,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12887,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_12888,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12889,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12890,0,0,0,0,0,1,0,1,1,1,0,0,1,0
485_12891,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12892,0,0,0,0,0,1,0,1,1,1,0,1,1,0
485_12893,0,0,1,0,0,1,0,1,1,1,0,1,1,0
485_12894,0,0,0,0,0,1,0,1,1,1,0,1,1,0
