Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code,PP cluster,,,,,
287_7842,2010,USA,Human,Human,Human,USA,197,,,,,
287_7834,2015,USA,Human,Human,Human,USA,205,,,,,
287_8500,2016,USA,Human,Human,Human,USA,156,,,,,
287_1036,2008,India,Human,Human,Human,IND,501,,,,,
287_1049,2007,Croatia,Human,Human,Human,HRV,490,,,,,
287_32653,2020,India,Human,Human,Human,IND,307,,,,,
287_4063,2008,USA,Human,Human,Human,USA,265,,,,,
287_879,2012,Germany,Human,Human,Human,DEU,124,,,,,
287_917,2011,Colombia,Human,Human,Human,COL,90,,,,,
287_1172,2010,Spain,Human,Human,Human,ESP,19,,,,,
1402539_3,2013,USA,Human,Human,Human,USA,543,,,,,
287_7820,2013,USA,Human,Human,Human,USA,219,,,,,
287_910,2010,Spain,Human,Human,Human,ESP,95,,,,,
287_34446,2018,Denmark,Human,,,DNK,280,,,,,
287_1185,2009,Portugal,Human,Human,Human,PRT,366,,,,,
1402504_3,2013,USA,Human,Human,Human,USA,574,,,,,
287_1138,2012,Venezuela,Human,Human,Human,VEN,21,,,,,
287_7806,2015,USA,Human,Human,Human,USA,230,,,,,
287_5956,2013,Sweden,Human,Human,Human,SWE,258,,,,,
287_1160,2012,USA,Human,Human,Human,USA,390,,,,,
287_34436,2018,Denmark,Human,,,DNK,290,,,,,
287_1080,2006,France,Human,Human,Human,FRA,459,,,,,
287_34440,2018,Denmark,Human,,,DNK,286,,,,,
287_8032,2013,USA,Human,Human,Human,USA,171,,,,,
287_4076,2008,USA,Human,Human,Human,USA,260,,,,,
287_32667,2020,India,Human,Human,Human,IND,1,,,,,
287_32666,2020,India,Human,Human,Human,IND,297,,,,,
287_1166,2010,Germany,Human,Human,Human,DEU,384,,,,,
287_7780,2012,USA,Human,Human,Human,USA,251,,,,,
287_1243,2005,USA,Human,Human,Human,USA,318,,,,,
287_8507,2015,USA,Human,Human,Human,USA,151,,,,,
287_1108,2004,Brazil,Human,Human,Human,BRA,431,,,,,
287_8495,2015,USA,Human,Human,Human,USA,161,,,,,
287_887,2011,Germany,Human,Human,Human,DEU,116,,,,,
287_8033,2010,USA,Human,Human,Human,USA,170,,,,,
287_1124,2012,Italy,Human,Human,Human,ITA,415,,,,,
287_1200,2010,France,Human,Human,Human,FRA,353,,,,,
1418241_3,2013,USA,Human,Human,Human,USA,535,,,,,
287_32647,2020,India,Human,Human,Human,IND,13,,,,,
287_1189,2011,France,Human,Human,Human,FRA,362,,,,,
287_34442,2018,Denmark,Human,,,DNK,284,,,,,
287_32678,2020,India,Human,Human,Human,IND,294,,,,,
287_1217,2007,USA,Human,Human,Human,USA,15,,,,,
287_966,2009,Croatia,Human,Human,Human,HRV,26,,,,,
287_877,2012,Germany,Human,Human,Human,DEU,126,,,,,
287_32668,2020,India,Human,Human,Human,IND,1,,,,,
287_32648,2020,India,Human,Human,Human,IND,2,,,,,
287_4055,2008,USA,Human,Human,Human,USA,272,,,,,
287_1130,2012,Italy,Human,Human,Human,ITA,23,,,,,
287_1188,2011,France,Human,Human,Human,FRA,363,,,,,
287_4065,2008,USA,Human,Human,Human,USA,264,,,,,
287_7784,2010,USA,Human,Human,Human,USA,248,,,,,
287_1093,2006,China,Human,Human,Human,CHN,446,,,,,
287_32658,2019,India,Human,Human,Human,IND,12,,,,,
287_34824,2018,Denmark,Human,,,DNK,277,,,,,
287_7786,2011,USA,Human,Human,Human,USA,246,,,,,
287_987,2009,USA,Human,Human,Human,USA,46,,,,,
287_4059,2008,USA,Human,Human,Human,USA,268,,,,,
287_1184,2009,USA,Human,Human,Human,USA,367,,,,,
287_34433,2018,Denmark,Human,,,DNK,292,,,,,
287_7775,2012,USA,Human,Human,Human,USA,255,,,,,
287_1031,2008,Argentina,Human,Human,Human,ARG,27,,,,,
287_979,2009,France,Human,Human,Human,FRA,52,,,,,
287_885,2011,France,Human,Human,Human,FRA,118,,,,,
287_7855,2012,USA,Human,Human,Human,USA,184,,,,,
287_1230,2007,USA,Human,Human,Human,USA,330,,,,,
287_7817,2010,USA,Human,Human,Human,USA,221,,,,,
287_846,2004,Germany,Human,Human,Human,DEU,168,,,,,
287_1183,2010,Canada,Human,Human,Human,CAN,368,,,,,
287_894,2011,Spain,Human,Human,Human,ESP,110,,,,,
287_7851,2015,USA,Human,Human,Human,USA,188,,,,,
1447538_3,2013,USA,Human,Human,Human,USA,530,,,,,
1447543_3,2013,USA,Human,Human,Human,USA,526,,,,,
287_1063,2007,Argentina,Human,Human,Human,ARG,478,,,,,
287_994,2009,Colombia,Human,Human,Human,COL,40,,,,,
287_7832,2016,USA,Human,Human,Human,USA,207,,,,,
287_1210,2010,India,Human,Human,Human,IND,16,,,,,
287_4060,2008,USA,Human,Human,Human,USA,267,,,,,
287_1209,2010,India,Human,Human,Human,IND,344,,,,,
287_8031,2011,USA,Human,Human,Human,USA,172,,,,,
287_7858,2012,USA,Human,Human,Human,USA,181,,,,,
287_960,2010,Germany,Human,Human,Human,DEU,65,,,,,
1418244_3,2013,USA,Human,Human,Human,USA,534,,,,,
287_7853,2012,USA,Human,Human,Human,USA,186,,,,,
287_7799,2010,USA,Human,Human,Human,USA,235,,,,,
287_34443,2018,Denmark,Human,,,DNK,283,,,,,
1418245_3,2013,USA,Human,Human,Human,USA,533,,,,,
287_931,2010,Germany,Human,Human,Human,DEU,76,,,,,
287_8506,2017,USA,Human,Human,Human,USA,152,,,,,
287_7839,2013,USA,Human,Human,Human,USA,200,,,,,
287_923,2010,Spain,Human,Human,Human,ESP,84,,,,,
287_8501,2016,USA,Human,Human,Human,USA,155,,,,,
287_34830,2018,Denmark,Human,,,DNK,274,,,,,
287_1104,2005,USA,Human,Human,Human,USA,435,,,,,
1402534_3,2013,USA,Human,Human,Human,USA,548,,,,,
287_7826,2010,USA,Human,Human,Human,USA,213,,,,,
287_34432,2018,Denmark,Human,,,DNK,293,,,,,
287_7841,2010,USA,Human,Human,Human,USA,198,,,,,
1402514_3,2013,USA,Human,Human,Human,USA,566,,,,,
287_872,2012,Argentina,Human,Human,Human,ARG,130,,,,,
287_1140,2012,Venezuela,Human,Human,Human,VEN,403,,,,,
287_34438,2018,Denmark,Human,,,DNK,288,,,,,
287_1065,2007,China,Human,Human,Human,CHN,474,,,,,
287_7827,2010,USA,Human,Human,Human,USA,212,,,,,
287_7829,2010,USA,Human,Human,Human,USA,210,,,,,
287_1098,2005,Argentina,Human,Human,Human,ARG,441,,,,,
287_8503,2016,USA,Human,Human,Human,USA,153,,,,,
287_1013,2008,Spain,Human,Human,Human,ESP,516,,,,,
287_1039,2008,France,Human,Human,Human,FRA,498,,,,,
1402502_3,2013,USA,Human,Human,Human,USA,576,,,,,
287_7835,2015,USA,Human,Human,Human,USA,204,,,,,
287_911,2010,Spain,Human,Human,Human,ESP,94,,,,,
287_8034,2013,USA,Human,Human,Human,USA,169,,,,,
1402529_3,2013,USA,Human,Human,Human,USA,553,,,,,
1402536_3,2013,USA,Human,Human,Human,USA,546,,,,,
